dataset,network,strategy,strategy_label,info_label,info_name,mean_num_shared,mean_total_shared_ratio,mean_num_viewed,mean_total_viewed_ratio,mean_num_fst_viewed,mean_total_fst_viewed_ratio
ba1000_topology,ba1000,balance,"Balance (0.8, 0.8)",0,misinformation,441.95,0.44195,4778.78,4.77878,2459.61,2.45961
ba1000_topology,ba1000,balance,"Balance (0.8, 0.8)",1,corrective,645.13,0.64513,7464.92,7.46492,4704.0,4.704
ba1000_topology,ba1000,balance,"Balance (0.8, 0.8)",2,observational,290.3333333333333,0.29033333333333333,2892.4,2.8924000000000003,845.0666666666667,0.8450666666666667
ba1000_topology,ba1000,balance,"Balance (0.8, 0.8)",3,behavior-guiding,152.19,0.15219,2097.11,2.0971100000000003,1736.64,1.7366400000000002
ba1000_topology,ba1000,certainty_high,"Certainty high (0.9, 0.5)",0,misinformation,436.97,0.43697,4718.71,4.71871,2434.94,2.43494
ba1000_topology,ba1000,certainty_high,"Certainty high (0.9, 0.5)",1,corrective,651.24,0.65124,7570.64,7.570640000000001,4680.66,4.68066
ba1000_topology,ba1000,certainty_high,"Certainty high (0.9, 0.5)",2,observational,336.84615384615387,0.33684615384615385,3400.9615384615386,3.4009615384615386,979.2307692307693,0.9792307692307693
ba1000_topology,ba1000,certainty_high,"Certainty high (0.9, 0.5)",3,behavior-guiding,212.97,0.21297,2689.8,2.6898000000000004,2138.65,2.13865
ba1000_topology,ba1000,effective_high,"Effectiveness high (0.5, 0.9)",0,misinformation,443.12,0.44312,4788.9,4.7889,2463.74,2.46374
ba1000_topology,ba1000,effective_high,"Effectiveness high (0.5, 0.9)",1,corrective,790.19,0.7901900000000001,9261.07,9.26107,5501.09,5.5010900000000005
ba1000_topology,ba1000,effective_high,"Effectiveness high (0.5, 0.9)",2,observational,318.6190476190476,0.3186190476190476,3197.4761904761904,3.1974761904761904,955.7619047619048,0.9557619047619048
ba1000_topology,ba1000,effective_high,"Effectiveness high (0.5, 0.9)",3,behavior-guiding,131.48,0.13147999999999999,1877.56,1.87756,1585.48,1.58548
ba1000_topology,ba1000_seed2,balance,"Balance (0.8, 0.8)",0,misinformation,421.22,0.42122000000000004,4539.04,4.53904,2396.76,2.3967600000000004
ba1000_topology,ba1000_seed2,balance,"Balance (0.8, 0.8)",1,corrective,763.95,0.76395,8788.93,8.78893,5365.02,5.36502
