candidate_id,network,method,optimizer_replicate,optimizer_seed,source_simulator_seed,source_run_key,source_final_best,source_best_trial,source_first_final_best_evaluation,proposed_certainty,proposed_effectiveness,applied_certainty,applied_effectiveness
cand_bo_gp_r01,ba1000,bo_gp,1,60101,30001,ba1000:bo_gp:optseed1,0.26606,37,38,0.5764745055309827,1.0,0.5765,1.0
cand_bo_gp_r02,ba1000,bo_gp,2,60201,30001,ba1000:bo_gp:optseed2,0.2656,32,33,0.5033615497771549,0.9926924454418162,0.5034,0.9927
cand_bo_gp_r03,ba1000,bo_gp,3,60301,30001,ba1000:bo_gp:optseed3,0.26558,34,35,0.8076335193844605,0.8164770990982843,0.8076,0.8165
cand_bo_gp_r04,ba1000,bo_gp,4,60401,30001,ba1000:bo_gp:optseed4,0.2653,49,50,0.6969418475296586,0.9927965192309388,0.6969,0.9928
cand_bo_gp_r05,ba1000,bo_gp,5,60501,30001,ba1000:bo_gp:optseed5,0.26605,24,25,0.5607083479369074,1.0,0.5607,1.0
cand_bo_gp_r06,ba1000,bo_gp,6,60601,30001,ba1000:bo_gp:optseed6,0.26612,29,30,0.9347366661142904,0.991103593199703,0.9347,0.9911
cand_cma_es_r01,ba1000,cma_es,1,60102,30001,ba1000:cma_es:optseed1,0.26852,27,28,0.7339624430956715,0.8085382748376723,0.734,0.8085
cand_cma_es_r02,ba1000,cma_es,2,60202,30001,ba1000:cma_es:optseed2,0.26811,35,36,0.7862850167693745,0.8142663536945065,0.7863,0.8143
cand_cma_es_r03,ba1000,cma_es,3,60302,30001,ba1000:cma_es:optseed3,0.2667,43,44,0.7946580468159177,0.8156889324157145,0.7947,0.8157
cand_cma_es_r04,ba1000,cma_es,4,60402,30001,ba1000:cma_es:optseed4,0.27011,38,39,0.8118629212839156,0.7434132737907508,0.8119,0.7434
cand_cma_es_r05,ba1000,cma_es,5,60502,30001,ba1000:cma_es:optseed5,0.26837,7,8,0.597565159201667,0.8148742762279679,0.5976,0.8149
cand_cma_es_r06,ba1000,cma_es,6,60602,30001,ba1000:cma_es:optseed6,0.26789,46,47,0.6423263977150904,0.9940482192905472,0.6423,0.994
cand_random_search_r01,ba1000,random_search,1,60103,30001,ba1000:random_search:optseed1,0.2692,48,49,0.9493290845767688,0.8440697632658298,0.9493,0.8441
cand_random_search_r02,ba1000,random_search,2,60203,30001,ba1000:random_search:optseed2,0.26651,8,9,0.8190180111680314,0.99113568648942,0.819,0.9911
cand_random_search_r03,ba1000,random_search,3,60303,30001,ba1000:random_search:optseed3,0.26857,29,30,0.8131926738487597,0.807510940498774,0.8132,0.8075
cand_random_search_r04,ba1000,random_search,4,60403,30001,ba1000:random_search:optseed4,0.26783,48,49,0.6324281829183993,0.9906828746810048,0.6324,0.9907
cand_random_search_r05,ba1000,random_search,5,60503,30001,ba1000:random_search:optseed5,0.26823,12,13,0.7849472638081731,0.8062116441891038,0.7849,0.8062
cand_random_search_r06,ba1000,random_search,6,60603,30001,ba1000:random_search:optseed6,0.26893,28,29,0.623239292521031,0.9835296293894012,0.6232,0.9835
cand_bo_gp_r01,facebook,bo_gp,1,60101,30001,facebook:bo_gp:optseed1,0.2474003466204506,7,8,0.6613603584613027,0.8815230704836129,0.6614,0.8815
cand_bo_gp_r02,facebook,bo_gp,2,60201,30001,facebook:bo_gp:optseed2,0.2423966328299084,42,43,0.5798418842240857,0.5459750301800015,0.5798,0.546
cand_bo_gp_r03,facebook,bo_gp,3,60301,30001,facebook:bo_gp:optseed3,0.2424709086407526,47,48,0.621144731159982,0.5428256778355113,0.6211,0.5428
cand_bo_gp_r04,facebook,bo_gp,4,60401,30001,facebook:bo_gp:optseed4,0.2430750185689526,48,49,1.0,0.5396764663397966,1.0,0.5397
cand_bo_gp_r05,facebook,bo_gp,5,60501,30001,facebook:bo_gp:optseed5,0.2428670462985888,43,44,1.0,0.5490455608132558,1.0,0.549
cand_bo_gp_r06,facebook,bo_gp,6,60601,30001,facebook:bo_gp:optseed6,0.2455310720475365,5,6,0.7108514236003718,0.8575364621394135,0.7109,0.8575
