network,strategy,misinformation,corrective,observational,behavior-guiding
pld_deg20_seed1,balance,0.41441000000000006,0.82064,0.30691666666666667,0.15583000000000002
pld_deg20_seed1,certainty_high,0.4159,0.6405700000000001,0.34045454545454545,0.21814
pld_deg20_seed1,effective_high,0.41614,0.8132400000000001,0.31845454545454543,0.13926
pld_deg20_seed2,balance,0.42249000000000003,0.75264,0.31645,0.15396
pld_deg20_seed2,certainty_high,0.42247,0.6695800000000001,0.33360869565217394,0.21626
pld_deg20_seed2,effective_high,0.42463,0.9268,0.31426666666666664,0.1338
pld_deg20_seed3,balance,0.41157,0.7947200000000001,0.3096538461538461,0.16969
pld_deg20_seed3,certainty_high,0.41962,0.59902,0.33143478260869563,0.22798
pld_deg20_seed3,effective_high,0.42276,0.7980499999999999,0.30877272727272725,0.14556
pld_deg30_seed1,balance,0.59774,0.64528,0.32085714285714284,0.15146
pld_deg30_seed1,certainty_high,0.60014,0.60261,0.3392631578947368,0.20824
pld_deg30_seed1,effective_high,0.6030700000000001,0.8378200000000001,0.3215652173913044,0.13437000000000002
pld_deg30_seed2,balance,0.6153,0.70453,0.3257,0.1497
pld_deg30_seed2,certainty_high,0.61614,0.70326,0.3375588235294118,0.2099
pld_deg30_seed2,effective_high,0.61584,0.8687100000000001,0.31174074074074076,0.13301
pld_deg30_seed3,balance,0.59376,0.70051,0.32081818181818184,0.15217
pld_deg30_seed3,certainty_high,0.5949,0.5474800000000001,0.35033333333333333,0.21379
pld_deg30_seed3,effective_high,0.59753,0.80677,0.31675000000000003,0.13237000000000002
pld_deg40_seed1,balance,0.68092,0.9551900000000001,0.3108181818181818,0.14373
pld_deg40_seed1,certainty_high,0.68541,0.6997300000000001,0.3396,0.19322999999999999
pld_deg40_seed1,effective_high,0.68063,0.87536,0.30926086956521737,0.12679
pld_deg40_seed2,balance,0.7058200000000001,0.84511,0.31635714285714284,0.1347
pld_deg40_seed2,certainty_high,0.70811,0.66511,0.3355,0.18603
pld_deg40_seed2,effective_high,0.7050599999999999,0.95856,0.31212903225806454,0.1208
pld_deg40_seed3,balance,0.6969299999999999,0.7022999999999999,0.3197,0.13717
pld_deg40_seed3,certainty_high,0.7012,0.63188,0.34228,0.18633000000000002
pld_deg40_seed3,effective_high,0.6994600000000001,0.82052,0.311,0.11937
