network,strategy,misinformation,corrective,observational,behavior-guiding
pdc_deg40_high_seed1,balance,0.62495,0.57472,0.3278235294117647,0.13632
pdc_deg40_high_seed1,certainty_high,0.62802,0.48691,0.34950000000000003,0.18502000000000002
pdc_deg40_high_seed1,effective_high,0.62738,0.81455,0.3104230769230769,0.1203
pdc_deg40_high_seed2,balance,0.66466,0.7589199999999999,0.31613793103448273,0.12783
pdc_deg40_high_seed2,certainty_high,0.66755,0.45480000000000004,0.34652941176470586,0.17353000000000002
pdc_deg40_high_seed2,effective_high,0.66504,0.7102999999999999,0.31389999999999996,0.11019
pdc_deg40_high_seed3,balance,0.65238,0.7189099999999999,0.30596,0.12916
pdc_deg40_high_seed3,certainty_high,0.65497,0.5253099999999999,0.34,0.17819000000000002
pdc_deg40_high_seed3,effective_high,0.65391,0.8501900000000001,0.3171785714285715,0.11437000000000001
pdc_deg40_low_seed1,balance,0.69803,0.66561,0.3103157894736842,0.14112
pdc_deg40_low_seed1,certainty_high,0.70164,0.5973400000000001,0.341962962962963,0.19235
pdc_deg40_low_seed1,effective_high,0.69956,0.70226,0.303875,0.12488
pdc_deg40_low_seed2,balance,0.70575,0.70669,0.31752380952380954,0.13141999999999998
pdc_deg40_low_seed2,certainty_high,0.7130599999999999,0.59514,0.34265384615384614,0.17887
pdc_deg40_low_seed2,effective_high,0.7074,0.91971,0.31217857142857147,0.11634
pdc_deg40_low_seed3,balance,0.6984600000000001,0.73512,0.3165,0.14002
pdc_deg40_low_seed3,certainty_high,0.70223,0.6317200000000001,0.3434516129032258,0.19218000000000002
pdc_deg40_low_seed3,effective_high,0.7008800000000001,0.8754700000000001,0.3055,0.12128
