network,strategy,misinformation,corrective,observational,behavior-guiding
pnc_n2000_deg40_high_seed1,balance,0.84736,1.2037200000000001,0.33984615384615385,0.03519
pnc_n2000_deg40_high_seed1,certainty_high,0.845765,1.202975,0.3374111111111111,0.054405
pnc_n2000_deg40_high_seed1,effective_high,0.85028,1.346435,0.3415,0.03034
pnc_n2000_deg40_high_seed2,balance,0.80027,1.516945,0.32883962264150945,0.11825000000000001
pnc_n2000_deg40_high_seed2,certainty_high,0.8005650000000001,1.1750450000000001,0.3353333333333333,0.156865
pnc_n2000_deg40_high_seed2,effective_high,0.799175,1.504645,0.3313111111111111,0.108205
pnc_n2000_deg40_high_seed3,balance,0.8763500000000001,1.424475,0.3394375,0.032060000000000005
pnc_n2000_deg40_high_seed3,certainty_high,0.873115,1.1603050000000001,0.33874358974358976,0.049815
pnc_n2000_deg40_high_seed3,effective_high,0.878385,1.6044200000000002,0.33826923076923077,0.028050000000000002
pnc_n2000_deg40_low_seed1,balance,0.7925449999999999,1.7767750000000002,0.32859302325581397,0.125425
pnc_n2000_deg40_low_seed1,certainty_high,0.7940349999999999,1.3581800000000002,0.33939772727272727,0.175345
pnc_n2000_deg40_low_seed1,effective_high,0.795975,1.8254100000000002,0.3267738095238095,0.10969
pnc_n2000_deg40_low_seed2,balance,0.8095549999999999,1.6687100000000001,0.32722500000000004,0.1218
pnc_n2000_deg40_low_seed2,certainty_high,0.80969,1.257615,0.3353333333333333,0.16821
pnc_n2000_deg40_low_seed2,effective_high,0.81076,2.028185,0.3225,0.10616
pnc_n2000_deg40_low_seed3,balance,0.77167,1.89806,0.3281354166666667,0.130085
pnc_n2000_deg40_low_seed3,certainty_high,0.773795,1.493385,0.3432959183673469,0.181285
pnc_n2000_deg40_low_seed3,effective_high,0.77324,2.0162,0.32238095238095243,0.11531000000000001
pnc_n3000_deg40_high_seed1,balance,0.8771499999999999,2.305153333333333,0.33798387096774196,0.03206333333333333
pnc_n3000_deg40_high_seed1,certainty_high,0.87396,2.2113933333333335,0.3441611111111111,0.04800333333333333
pnc_n3000_deg40_high_seed1,effective_high,0.8765599999999999,2.03213,0.3371939393939394,0.02761
pnc_n3000_deg40_high_seed2,balance,0.7636733333333333,2.57922,0.33290384615384616,0.12836666666666666
