dataset,network,strategy,strategy_label,info_label,info_name,mean_num_shared,mean_total_shared_ratio,mean_num_viewed,mean_total_viewed_ratio,mean_num_fst_viewed,mean_total_fst_viewed_ratio,cluster_level,attachment_edges_m,target_avg_degree,triad_probability,target_clustering,requested_seed,actual_seed,community_source,config_path,graph_path,comm_path,num_nodes,num_edges,avg_degree,avg_clustering,transitivity,largest_connected_component_ratio,max_degree
powerlaw_cluster_c06,plc06_seed1,balance,"Balance (0.8, 0.8)",0,misinformation,25.31,0.02531,148.3,0.14830000000000002,108.07,0.10807,c06,3,6,1.0,0.6,20261656,20261656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed1.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed1/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed1/comm.csv,1000,2991,5.982,0.5932956245748388,0.16169544740973313,1.0,119
powerlaw_cluster_c06,plc06_seed1,balance,"Balance (0.8, 0.8)",1,corrective,102.4,0.1024,566.7,0.5667000000000001,417.02,0.41702,c06,3,6,1.0,0.6,20261656,20261656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed1.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed1/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed1/comm.csv,1000,2991,5.982,0.5932956245748388,0.16169544740973313,1.0,119
powerlaw_cluster_c06,plc06_seed1,balance,"Balance (0.8, 0.8)",2,observational,4.4,0.0044,25.8,0.0258,16.4,0.016399999999999998,c06,3,6,1.0,0.6,20261656,20261656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed1.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed1/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed1/comm.csv,1000,2991,5.982,0.5932956245748388,0.16169544740973313,1.0,119
powerlaw_cluster_c06,plc06_seed1,balance,"Balance (0.8, 0.8)",3,behavior-guiding,22.11,0.02211,254.57,0.25457,222.84,0.22284,c06,3,6,1.0,0.6,20261656,20261656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed1.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed1/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed1/comm.csv,1000,2991,5.982,0.5932956245748388,0.16169544740973313,1.0,119
powerlaw_cluster_c06,plc06_seed1,certainty_high,"Certainty high (0.9, 0.5)",0,misinformation,25.46,0.02546,149.48,0.14948,109.17,0.10917,c06,3,6,1.0,0.6,20261656,20261656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed1.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed1/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed1/comm.csv,1000,2991,5.982,0.5932956245748388,0.16169544740973313,1.0,119
powerlaw_cluster_c06,plc06_seed1,certainty_high,"Certainty high (0.9, 0.5)",1,corrective,101.37,0.10137,559.9,0.5599,412.84,0.41284,c06,3,6,1.0,0.6,20261656,20261656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed1.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed1/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed1/comm.csv,1000,2991,5.982,0.5932956245748388,0.16169544740973313,1.0,119
powerlaw_cluster_c06,plc06_seed1,certainty_high,"Certainty high (0.9, 0.5)",2,observational,2.0,0.002,17.0,0.017,11.5,0.0115,c06,3,6,1.0,0.6,20261656,20261656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed1.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed1/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed1/comm.csv,1000,2991,5.982,0.5932956245748388,0.16169544740973313,1.0,119
powerlaw_cluster_c06,plc06_seed1,certainty_high,"Certainty high (0.9, 0.5)",3,behavior-guiding,27.25,0.02725,281.66,0.28166,240.7,0.2407,c06,3,6,1.0,0.6,20261656,20261656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed1.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed1/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed1/comm.csv,1000,2991,5.982,0.5932956245748388,0.16169544740973313,1.0,119
powerlaw_cluster_c06,plc06_seed1,effective_high,"Effectiveness high (0.5, 0.9)",0,misinformation,24.59,0.02459,145.06,0.14506,105.9,0.10590000000000001,c06,3,6,1.0,0.6,20261656,20261656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed1.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed1/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed1/comm.csv,1000,2991,5.982,0.5932956245748388,0.16169544740973313,1.0,119
powerlaw_cluster_c06,plc06_seed1,effective_high,"Effectiveness high (0.5, 0.9)",1,corrective,105.83,0.10583000000000001,585.99,0.58599,430.9,0.4309,c06,3,6,1.0,0.6,20261656,20261656,v2/test_2/network/ba/ba1000/comm.csv,v2/test_2/network/network-plc06_seed1.toml,v2/test_2/network/powerlaw_cluster_c06/plc06_seed1/edgelist.txt,v2/test_2/network/powerlaw_cluster_c06/plc06_seed1/comm.csv,1000,2991,5.982,0.5932956245748388,0.16169544740973313,1.0,119
