network,strategy,misinformation,corrective,observational,behavior-guiding
pncba_n2000_deg40_high_seed1,balance,0.743075,1.6045,0.3320714285714286,0.08415
pncba_n2000_deg40_high_seed1,certainty_high,0.744465,1.16434,0.3396219512195122,0.12066500000000001
pncba_n2000_deg40_high_seed1,effective_high,0.74438,1.506065,0.3308095238095238,0.0737
pncba_n2000_deg40_high_seed2,balance,0.7335349999999999,1.406695,0.3332857142857143,0.08706
pncba_n2000_deg40_high_seed2,certainty_high,0.734035,1.1608150000000002,0.3424230769230769,0.123545
pncba_n2000_deg40_high_seed2,effective_high,0.73289,1.54458,0.3347307692307692,0.076765
pncba_n2000_deg40_high_seed3,balance,0.769025,1.270875,0.33554285714285714,0.07212
pncba_n2000_deg40_high_seed3,certainty_high,0.768275,1.17469,0.3412790697674419,0.104515
pncba_n2000_deg40_high_seed3,effective_high,0.7719600000000001,1.548855,0.3344642857142857,0.06303
pncba_n2000_deg40_low_seed1,balance,0.846375,1.544375,0.3350609756097561,0.076085
pncba_n2000_deg40_low_seed1,certainty_high,0.8476950000000001,1.51441,0.33879591836734696,0.11193000000000002
pncba_n2000_deg40_low_seed1,effective_high,0.84916,1.547905,0.3312083333333333,0.06643
pncba_n2000_deg40_low_seed2,balance,0.83411,1.79071,0.3335444444444444,0.08304500000000001
pncba_n2000_deg40_low_seed2,certainty_high,0.8351649999999999,1.460595,0.34045555555555557,0.12134
pncba_n2000_deg40_low_seed2,effective_high,0.83651,1.799995,0.3318720930232558,0.071505
pncba_n2000_deg40_low_seed3,balance,0.85045,1.5825,0.33230232558139533,0.07184
pncba_n2000_deg40_low_seed3,certainty_high,0.84793,1.2571350000000001,0.3411463414634146,0.10461000000000001
pncba_n2000_deg40_low_seed3,effective_high,0.8512050000000001,1.844135,0.3334893617021277,0.06212
pncba_n3000_deg40_high_seed1,balance,0.7751666666666667,2.5801066666666665,0.33470833333333333,0.08226
pncba_n3000_deg40_high_seed1,certainty_high,0.7778633333333334,2.21752,0.34234408602150534,0.11675666666666666
pncba_n3000_deg40_high_seed1,effective_high,0.77655,2.6202199999999998,0.3349097222222222,0.07200333333333332
pncba_n3000_deg40_high_seed2,balance,0.8181166666666666,2.2712999999999997,0.33616326530612245,0.06529666666666666
pncba_n3000_deg40_high_seed2,certainty_high,0.81642,2.2253266666666662,0.3422923976608187,0.09715333333333333
pncba_n3000_deg40_high_seed2,effective_high,0.8192733333333334,2.6256733333333333,0.3384615384615384,0.056729999999999996
pncba_n3000_deg40_high_seed3,balance,0.7968933333333332,2.69806,0.33810919540229883,0.07089333333333334
pncba_n3000_deg40_high_seed3,certainty_high,0.79514,2.251983333333333,0.3389462365591398,0.10265333333333332
pncba_n3000_deg40_high_seed3,effective_high,0.7964266666666667,2.69623,0.33872619047619046,0.06252666666666667
pncba_n3000_deg40_low_seed1,balance,0.87926,2.7527033333333333,0.33605128205128204,0.07544999999999999
pncba_n3000_deg40_low_seed1,certainty_high,0.8776833333333334,2.235986666666667,0.3405490196078431,0.10951333333333334
pncba_n3000_deg40_low_seed1,effective_high,0.8810033333333334,2.7799766666666668,0.33832666666666666,0.06574333333333333
pncba_n3000_deg40_low_seed2,balance,0.8826166666666666,2.87778,0.33702976190476186,0.06848666666666667
pncba_n3000_deg40_low_seed2,certainty_high,0.8828533333333333,2.4855066666666668,0.3385344827586207,0.10043
pncba_n3000_deg40_low_seed2,effective_high,0.88389,2.56678,0.3363787878787879,0.06013333333333333
pncba_n3000_deg40_low_seed3,balance,0.8958033333333333,3.132146666666667,0.33626455026455027,0.06595666666666666
pncba_n3000_deg40_low_seed3,certainty_high,0.89511,2.5376766666666666,0.34186885245901644,0.09666
pncba_n3000_deg40_low_seed3,effective_high,0.8977866666666667,2.898676666666667,0.33884848484848484,0.056729999999999996
pncba_n4000_deg40_high_seed1,balance,0.8354900000000001,4.118575,0.33980479452054796,0.0642075
pncba_n4000_deg40_high_seed1,certainty_high,0.8308375,3.2017550000000004,0.3420346153846154,0.09543750000000001
pncba_n4000_deg40_high_seed1,effective_high,0.8362324999999999,3.88204,0.33994444444444444,0.056055
pncba_n4000_deg40_high_seed2,balance,0.8270375000000001,4.0735725,0.33985714285714286,0.06968250000000001
pncba_n4000_deg40_high_seed2,certainty_high,0.8247450000000001,3.7596,0.3427857142857143,0.10324250000000001
pncba_n4000_deg40_high_seed2,effective_high,0.8264025,3.8575925000000004,0.33715476190476196,0.0617575
pncba_n4000_deg40_high_seed3,balance,0.81088,3.75902,0.3373560606060606,0.067725
pncba_n4000_deg40_high_seed3,certainty_high,0.8107375,3.38965,0.34180281690140846,0.09942000000000001
pncba_n4000_deg40_high_seed3,effective_high,0.8137975000000001,4.41912,0.33928819444444447,0.058955
pncba_n4000_deg40_low_seed1,balance,0.89703,4.8424525,0.3381095890410959,0.0690425
pncba_n4000_deg40_low_seed1,certainty_high,0.894725,3.9292425,0.3455902777777778,0.1022
pncba_n4000_deg40_low_seed1,effective_high,0.8992475,4.7031625,0.34018014705882355,0.059975
pncba_n4000_deg40_low_seed2,balance,0.9213375,4.722765000000001,0.340483552631579,0.061915
pncba_n4000_deg40_low_seed2,certainty_high,0.9173075,3.80439,0.3420281690140845,0.09341500000000001
pncba_n4000_deg40_low_seed2,effective_high,0.922125,4.35306,0.3395390625,0.054445
pncba_n4000_deg40_low_seed3,balance,0.9127200000000001,4.265005,0.34082954545454547,0.0629125
pncba_n4000_deg40_low_seed3,certainty_high,0.9088425,3.830505,0.34348972602739725,0.0951575
pncba_n4000_deg40_low_seed3,effective_high,0.911895,5.1269275,0.3406948051948052,0.0554725
