node_level,cluster_level,strategy,strategy_label,avg_final_selfish_ratio,std_final_selfish_ratio,avg_peak_selfish_ratio,avg_shared_misinformation,avg_shared_corrective,avg_shared_observational,avg_shared_behavior_guiding
n2000,high,balance,"Balance (0.8, 0.8)",5e-6,8.660254037844387e-6,0.143865,0.748545,1.4273566666666666,0.3336333333333334,0.08111
n2000,high,certainty_high,"Certainty high (0.9, 0.5)",1.6666666666666669e-6,2.886751345948129e-6,0.14538166666666666,0.748925,1.166615,0.34110803263667694,0.11624166666666667
n2000,high,effective_high,"Effectiveness high (0.5, 0.9)",8.333333333333334e-6,2.886751345948129e-6,0.14341833333333334,0.7497433333333334,1.5331666666666666,0.33333485958485953,0.07116499999999999
n2000,low,balance,"Balance (0.8, 0.8)",1.6666666666666669e-6,2.886751345948129e-6,0.15625,0.843645,1.639195,0.3336359152118653,0.07699
n2000,low,certainty_high,"Certainty high (0.9, 0.5)",5e-6,0.0,0.15780333333333332,0.8435966666666667,1.4107133333333335,0.34013260512877236,0.11262666666666667
n2000,low,effective_high,"Effectiveness high (0.5, 0.9)",0.0,0.0,0.15601833333333334,0.8456250000000001,1.7306783333333335,0.3321899293529056,0.06668500000000001
n3000,high,balance,"Balance (0.8, 0.8)",0.0,0.0,0.14462111111111112,0.7967255555555556,2.5164888888888886,0.3363269313472515,0.07281666666666665
n3000,high,certainty_high,"Certainty high (0.9, 0.5)",1.111111111111111e-6,1.9245008972987525e-6,0.14582333333333333,0.7964744444444444,2.23161,0.34119424008048793,0.10552111111111111
n3000,high,effective_high,"Effectiveness high (0.5, 0.9)",1.111111111111111e-6,1.9245008972987525e-6,0.1441744444444444,0.7974166666666668,2.6473744444444445,0.337365817053317,0.06375333333333333
n3000,low,balance,"Balance (0.8, 0.8)",1.111111111111111e-6,1.9245008972987525e-6,0.15760444444444444,0.8858933333333333,2.9208766666666666,0.33644853140686476,0.06996444444444444
n3000,low,certainty_high,"Certainty high (0.9, 0.5)",0.0,0.0,0.1585388888888889,0.8852155555555555,2.4197233333333332,0.3403174516084934,0.10220111111111112
n3000,low,effective_high,"Effectiveness high (0.5, 0.9)",1.111111111111111e-6,1.9245008972987525e-6,0.15734777777777778,0.88756,2.748477777777778,0.33785131313131317,0.06086888888888889
n4000,high,balance,"Balance (0.8, 0.8)",0.0,0.0,0.14503833333333335,0.8244691666666668,3.9837225000000003,0.33900599932791714,0.067205
n4000,high,certainty_high,"Certainty high (0.9, 0.5)",0.0,0.0,0.14601833333333336,0.8221066666666667,3.4503350000000004,0.3422077155239127,0.09936666666666667
n4000,high,effective_high,"Effectiveness high (0.5, 0.9)",8.333333333333334e-7,1.4433756729740645e-6,0.14475000000000002,0.8254775,4.0529175,0.3387958002645503,0.058922499999999996
n4000,low,balance,"Balance (0.8, 0.8)",0.0,0.0,0.15704916666666666,0.9103625000000001,4.610074166666667,0.3398075623757401,0.06462333333333332
n4000,low,certainty_high,"Certainty high (0.9, 0.5)",8.333333333333334e-7,1.4433756729740645e-6,0.157945,0.9069583333333333,3.8547125,0.3437027242730865,0.09692416666666666
n4000,low,effective_high,"Effectiveness high (0.5, 0.9)",0.0,0.0,0.15692333333333333,0.9110891666666667,4.727716666666667,0.3401380049178762,0.05663083333333333
