network,strategy,misinformation,corrective,observational,behavior-guiding
ba1000,balance,0.44195,0.64513,0.29033333333333333,0.15219
ba1000,certainty_high,0.43697,0.65124,0.33684615384615385,0.21297
ba1000,effective_high,0.44312,0.7901900000000001,0.3186190476190476,0.13147999999999999
ba1000_seed2,balance,0.42122000000000004,0.76395,0.3244761904761905,0.15228
ba1000_seed2,certainty_high,0.42211000000000004,0.59454,0.3245882352941176,0.21259
ba1000_seed2,effective_high,0.41789,0.8166100000000001,0.31769565217391305,0.13845
ba1000_seed3,balance,0.41636,0.72389,0.3178,0.16903
ba1000_seed3,certainty_high,0.41712,0.5612400000000001,0.33292307692307693,0.22609
ba1000_seed3,effective_high,0.4137,0.80315,0.31140909090909097,0.14827
ba1000_seed4,balance,0.43671,0.7812100000000001,0.32108,0.14804
ba1000_seed4,certainty_high,0.43911,0.5769,0.3402352941176471,0.20601
ba1000_seed4,effective_high,0.43677,0.7821699999999999,0.308625,0.13031
