dataset,network,strategy,strategy_label,info_label,info_name,mean_num_shared,mean_total_shared_ratio,mean_num_viewed,mean_total_viewed_ratio,mean_num_fst_viewed,mean_total_fst_viewed_ratio,community_level,mu,tau1,tau2,target_average_degree,max_degree_parameter,min_community_parameter,max_community_parameter,requested_seed,actual_seed,config_path,graph_path,comm_path,lfr_community_path,num_nodes,num_edges,avg_degree,median_degree,p90_degree,p99_degree,avg_clustering,transitivity,largest_connected_component_ratio,max_degree,lfr_communities,lfr_modularity,lfr_internal_edges,lfr_external_edges,lfr_internal_edge_ratio,lfr_external_edge_ratio,lfr_comm_size_min,lfr_comm_size_q10,lfr_comm_size_q25,lfr_comm_size_median,lfr_comm_size_q75,lfr_comm_size_q90,lfr_comm_size_max,comm_mean,comm_std,comm_min,comm_q10,comm_q25,comm_median,comm_q75,comm_q90,comm_max,comm_count_zero,comm_count_one,top20_count,top20_degree_mean,top20_degree_median,top20_degree_p90,top20_max_degree,top20_communities_touched,top20_largest_comm_count,top20_largest_comm_ratio,middle20_count,middle20_degree_mean,middle20_degree_median,middle20_degree_p90,middle20_max_degree,middle20_communities_touched,middle20_largest_comm_count,middle20_largest_comm_ratio,bottom20_count,bottom20_degree_mean,bottom20_degree_median,bottom20_degree_p90,bottom20_max_degree,bottom20_communities_touched,bottom20_largest_comm_count,bottom20_largest_comm_ratio
lfr_community,lfr_middle_seed1,balance,"Balance (0.8, 0.8)",0,misinformation,620.89,0.62089,12485.93,12.48593,5310.58,5.31058,middle,0.2,2.5,1.5,30.0,120,40,150,20361602,20361602,v2/test_2/network/network-lfr_middle_seed1.toml,v2/test_2/network/lfr_community/lfr_middle_seed1/edgelist.txt,v2/test_2/network/lfr_community/lfr_middle_seed1/comm.csv,v2/test_2/network/lfr_community/lfr_middle_seed1/lfr_communities.csv,1000,19941,39.882,34.0,65.0,103.00999999999999,0.23548135259603659,0.21174546984770465,1.0,121,12,0.6026002561324525,14014,5927,0.7027731808836066,0.29722681911639337,41,51.099999999999994,66.25,71.0,98.25,130.8,138,0.5296436151551,0.40590024998557755,2.2405703635825767e-48,0.02642045104264142,0.10060222184962046,0.7645944709714734,0.9084756555855253,0.9984305993488336,1.0,0,33,200,39.82,33.5,66.1,121,8,51,0.255,200,34.22,31.0,50.0,94,11,38,0.19,200,43.96,37.0,69.1,113,5,57,0.285
lfr_community,lfr_middle_seed1,balance,"Balance (0.8, 0.8)",1,corrective,718.65,0.71865,15630.72,15.63072,8071.63,8.07163,middle,0.2,2.5,1.5,30.0,120,40,150,20361602,20361602,v2/test_2/network/network-lfr_middle_seed1.toml,v2/test_2/network/lfr_community/lfr_middle_seed1/edgelist.txt,v2/test_2/network/lfr_community/lfr_middle_seed1/comm.csv,v2/test_2/network/lfr_community/lfr_middle_seed1/lfr_communities.csv,1000,19941,39.882,34.0,65.0,103.00999999999999,0.23548135259603659,0.21174546984770465,1.0,121,12,0.6026002561324525,14014,5927,0.7027731808836066,0.29722681911639337,41,51.099999999999994,66.25,71.0,98.25,130.8,138,0.5296436151551,0.40590024998557755,2.2405703635825767e-48,0.02642045104264142,0.10060222184962046,0.7645944709714734,0.9084756555855253,0.9984305993488336,1.0,0,33,200,39.82,33.5,66.1,121,8,51,0.255,200,34.22,31.0,50.0,94,11,38,0.19,200,43.96,37.0,69.1,113,5,57,0.285
lfr_community,lfr_middle_seed1,balance,"Balance (0.8, 0.8)",2,observational,332.42105263157896,0.33242105263157895,6619.684210526316,6.619684210526316,1067.9473684210527,1.0679473684210528,middle,0.2,2.5,1.5,30.0,120,40,150,20361602,20361602,v2/test_2/network/network-lfr_middle_seed1.toml,v2/test_2/network/lfr_community/lfr_middle_seed1/edgelist.txt,v2/test_2/network/lfr_community/lfr_middle_seed1/comm.csv,v2/test_2/network/lfr_community/lfr_middle_seed1/lfr_communities.csv,1000,19941,39.882,34.0,65.0,103.00999999999999,0.23548135259603659,0.21174546984770465,1.0,121,12,0.6026002561324525,14014,5927,0.7027731808836066,0.29722681911639337,41,51.099999999999994,66.25,71.0,98.25,130.8,138,0.5296436151551,0.40590024998557755,2.2405703635825767e-48,0.02642045104264142,0.10060222184962046,0.7645944709714734,0.9084756555855253,0.9984305993488336,1.0,0,33,200,39.82,33.5,66.1,121,8,51,0.255,200,34.22,31.0,50.0,94,11,38,0.19,200,43.96,37.0,69.1,113,5,57,0.285
lfr_community,lfr_middle_seed1,balance,"Balance (0.8, 0.8)",3,behavior-guiding,95.14,0.09514,2396.9,2.3969,1920.57,1.9205699999999999,middle,0.2,2.5,1.5,30.0,120,40,150,20361602,20361602,v2/test_2/network/network-lfr_middle_seed1.toml,v2/test_2/network/lfr_community/lfr_middle_seed1/edgelist.txt,v2/test_2/network/lfr_community/lfr_middle_seed1/comm.csv,v2/test_2/network/lfr_community/lfr_middle_seed1/lfr_communities.csv,1000,19941,39.882,34.0,65.0,103.00999999999999,0.23548135259603659,0.21174546984770465,1.0,121,12,0.6026002561324525,14014,5927,0.7027731808836066,0.29722681911639337,41,51.099999999999994,66.25,71.0,98.25,130.8,138,0.5296436151551,0.40590024998557755,2.2405703635825767e-48,0.02642045104264142,0.10060222184962046,0.7645944709714734,0.9084756555855253,0.9984305993488336,1.0,0,33,200,39.82,33.5,66.1,121,8,51,0.255,200,34.22,31.0,50.0,94,11,38,0.19,200,43.96,37.0,69.1,113,5,57,0.285
lfr_community,lfr_middle_seed1,certainty_high,"Certainty high (0.9, 0.5)",0,misinformation,620.96,0.6209600000000001,12491.56,12.49156,5331.66,5.33166,middle,0.2,2.5,1.5,30.0,120,40,150,20361602,20361602,v2/test_2/network/network-lfr_middle_seed1.toml,v2/test_2/network/lfr_community/lfr_middle_seed1/edgelist.txt,v2/test_2/network/lfr_community/lfr_middle_seed1/comm.csv,v2/test_2/network/lfr_community/lfr_middle_seed1/lfr_communities.csv,1000,19941,39.882,34.0,65.0,103.00999999999999,0.23548135259603659,0.21174546984770465,1.0,121,12,0.6026002561324525,14014,5927,0.7027731808836066,0.29722681911639337,41,51.099999999999994,66.25,71.0,98.25,130.8,138,0.5296436151551,0.40590024998557755,2.2405703635825767e-48,0.02642045104264142,0.10060222184962046,0.7645944709714734,0.9084756555855253,0.9984305993488336,1.0,0,33,200,39.82,33.5,66.1,121,8,51,0.255,200,34.22,31.0,50.0,94,11,38,0.19,200,43.96,37.0,69.1,113,5,57,0.285
lfr_community,lfr_middle_seed1,certainty_high,"Certainty high (0.9, 0.5)",1,corrective,720.77,0.72077,15674.21,15.674209999999999,8017.96,8.01796,middle,0.2,2.5,1.5,30.0,120,40,150,20361602,20361602,v2/test_2/network/network-lfr_middle_seed1.toml,v2/test_2/network/lfr_community/lfr_middle_seed1/edgelist.txt,v2/test_2/network/lfr_community/lfr_middle_seed1/comm.csv,v2/test_2/network/lfr_community/lfr_middle_seed1/lfr_communities.csv,1000,19941,39.882,34.0,65.0,103.00999999999999,0.23548135259603659,0.21174546984770465,1.0,121,12,0.6026002561324525,14014,5927,0.7027731808836066,0.29722681911639337,41,51.099999999999994,66.25,71.0,98.25,130.8,138,0.5296436151551,0.40590024998557755,2.2405703635825767e-48,0.02642045104264142,0.10060222184962046,0.7645944709714734,0.9084756555855253,0.9984305993488336,1.0,0,33,200,39.82,33.5,66.1,121,8,51,0.255,200,34.22,31.0,50.0,94,11,38,0.19,200,43.96,37.0,69.1,113,5,57,0.285
lfr_community,lfr_middle_seed1,certainty_high,"Certainty high (0.9, 0.5)",2,observational,344.61538461538464,0.34461538461538466,6871.0,6.871,1114.0,1.114,middle,0.2,2.5,1.5,30.0,120,40,150,20361602,20361602,v2/test_2/network/network-lfr_middle_seed1.toml,v2/test_2/network/lfr_community/lfr_middle_seed1/edgelist.txt,v2/test_2/network/lfr_community/lfr_middle_seed1/comm.csv,v2/test_2/network/lfr_community/lfr_middle_seed1/lfr_communities.csv,1000,19941,39.882,34.0,65.0,103.00999999999999,0.23548135259603659,0.21174546984770465,1.0,121,12,0.6026002561324525,14014,5927,0.7027731808836066,0.29722681911639337,41,51.099999999999994,66.25,71.0,98.25,130.8,138,0.5296436151551,0.40590024998557755,2.2405703635825767e-48,0.02642045104264142,0.10060222184962046,0.7645944709714734,0.9084756555855253,0.9984305993488336,1.0,0,33,200,39.82,33.5,66.1,121,8,51,0.255,200,34.22,31.0,50.0,94,11,38,0.19,200,43.96,37.0,69.1,113,5,57,0.285
lfr_community,lfr_middle_seed1,certainty_high,"Certainty high (0.9, 0.5)",3,behavior-guiding,128.26,0.12825999999999999,3027.71,3.02771,2328.18,2.3281799999999997,middle,0.2,2.5,1.5,30.0,120,40,150,20361602,20361602,v2/test_2/network/network-lfr_middle_seed1.toml,v2/test_2/network/lfr_community/lfr_middle_seed1/edgelist.txt,v2/test_2/network/lfr_community/lfr_middle_seed1/comm.csv,v2/test_2/network/lfr_community/lfr_middle_seed1/lfr_communities.csv,1000,19941,39.882,34.0,65.0,103.00999999999999,0.23548135259603659,0.21174546984770465,1.0,121,12,0.6026002561324525,14014,5927,0.7027731808836066,0.29722681911639337,41,51.099999999999994,66.25,71.0,98.25,130.8,138,0.5296436151551,0.40590024998557755,2.2405703635825767e-48,0.02642045104264142,0.10060222184962046,0.7645944709714734,0.9084756555855253,0.9984305993488336,1.0,0,33,200,39.82,33.5,66.1,121,8,51,0.255,200,34.22,31.0,50.0,94,11,38,0.19,200,43.96,37.0,69.1,113,5,57,0.285
lfr_community,lfr_middle_seed1,effective_high,"Effectiveness high (0.5, 0.9)",0,misinformation,623.14,0.62314,12525.01,12.52501,5334.63,5.334630000000001,middle,0.2,2.5,1.5,30.0,120,40,150,20361602,20361602,v2/test_2/network/network-lfr_middle_seed1.toml,v2/test_2/network/lfr_community/lfr_middle_seed1/edgelist.txt,v2/test_2/network/lfr_community/lfr_middle_seed1/comm.csv,v2/test_2/network/lfr_community/lfr_middle_seed1/lfr_communities.csv,1000,19941,39.882,34.0,65.0,103.00999999999999,0.23548135259603659,0.21174546984770465,1.0,121,12,0.6026002561324525,14014,5927,0.7027731808836066,0.29722681911639337,41,51.099999999999994,66.25,71.0,98.25,130.8,138,0.5296436151551,0.40590024998557755,2.2405703635825767e-48,0.02642045104264142,0.10060222184962046,0.7645944709714734,0.9084756555855253,0.9984305993488336,1.0,0,33,200,39.82,33.5,66.1,121,8,51,0.255,200,34.22,31.0,50.0,94,11,38,0.19,200,43.96,37.0,69.1,113,5,57,0.285
lfr_community,lfr_middle_seed1,effective_high,"Effectiveness high (0.5, 0.9)",1,corrective,863.29,0.86329,18770.68,18.770680000000002,9087.75,9.08775,middle,0.2,2.5,1.5,30.0,120,40,150,20361602,20361602,v2/test_2/network/network-lfr_middle_seed1.toml,v2/test_2/network/lfr_community/lfr_middle_seed1/edgelist.txt,v2/test_2/network/lfr_community/lfr_middle_seed1/comm.csv,v2/test_2/network/lfr_community/lfr_middle_seed1/lfr_communities.csv,1000,19941,39.882,34.0,65.0,103.00999999999999,0.23548135259603659,0.21174546984770465,1.0,121,12,0.6026002561324525,14014,5927,0.7027731808836066,0.29722681911639337,41,51.099999999999994,66.25,71.0,98.25,130.8,138,0.5296436151551,0.40590024998557755,2.2405703635825767e-48,0.02642045104264142,0.10060222184962046,0.7645944709714734,0.9084756555855253,0.9984305993488336,1.0,0,33,200,39.82,33.5,66.1,121,8,51,0.255,200,34.22,31.0,50.0,94,11,38,0.19,200,43.96,37.0,69.1,113,5,57,0.285
