network,strategy,misinformation,corrective,observational,behavior-guiding
lfr_middle_seed1,balance,0.62089,0.71865,0.33242105263157895,0.09514
lfr_middle_seed1,certainty_high,0.6209600000000001,0.72077,0.34461538461538466,0.12825999999999999
lfr_middle_seed1,effective_high,0.62314,0.86329,0.3312916666666667,0.08261
lfr_middle_seed2,balance,0.6218400000000001,0.6591,0.3308125,0.0947
lfr_middle_seed2,certainty_high,0.62209,0.61903,0.33936363636363637,0.13075
lfr_middle_seed2,effective_high,0.62506,0.7494,0.3275909090909091,0.08506999999999999
lfr_middle_seed3,balance,0.66285,0.79065,0.3227037037037037,0.09361
lfr_middle_seed3,certainty_high,0.66365,0.64778,0.3527777777777778,0.12259
lfr_middle_seed3,effective_high,0.66428,0.85738,0.33152,0.08301
lfr_strong_seed1,balance,0.44333,0.62078,0.333,0.11011
lfr_strong_seed1,certainty_high,0.44433,0.5802200000000001,0.3428076923076923,0.14641
lfr_strong_seed1,effective_high,0.44451999999999997,0.636,0.33108,0.09892000000000001
lfr_strong_seed2,balance,0.39616,0.6545,0.3469,0.11192
lfr_strong_seed2,certainty_high,0.39841000000000004,0.5808099999999999,0.341,0.14415
lfr_strong_seed2,effective_high,0.39783999999999997,0.71848,0.32792857142857146,0.10108
lfr_strong_seed3,balance,0.45133999999999996,0.58755,0.3322857142857143,0.11821
lfr_strong_seed3,certainty_high,0.45031,0.50619,0.34913636363636363,0.15063
lfr_strong_seed3,effective_high,0.44905,0.6304,0.33053846153846156,0.10502
lfr_weak_seed1,balance,0.71905,0.7229800000000001,0.32604761904761903,0.08893000000000001
lfr_weak_seed1,certainty_high,0.71853,0.685,0.35068,0.12418000000000001
lfr_weak_seed1,effective_high,0.71914,0.8798300000000001,0.32475,0.07845
lfr_weak_seed2,balance,0.72436,0.77578,0.33141379310344826,0.09166
lfr_weak_seed2,certainty_high,0.7251000000000001,0.59333,0.34085000000000004,0.12825
lfr_weak_seed2,effective_high,0.72373,0.78101,0.31444,0.08117
lfr_weak_seed3,balance,0.7361900000000001,0.7310700000000001,0.3302380952380953,0.07998000000000001
lfr_weak_seed3,certainty_high,0.73768,0.76198,0.34654285714285715,0.11179000000000001
lfr_weak_seed3,effective_high,0.7360700000000001,0.8533700000000001,0.32873913043478264,0.06972
