condition,network,pool,node_count,communities_touched,largest_comm_ratio,degree_mean,degree_median,degree_p90,degree_max,internal_degree_mean,internal_degree_median,internal_degree_p90,internal_degree_max,external_degree_mean,external_degree_median,external_degree_p90,external_degree_max,external_ratio_mean,external_ratio_median,external_ratio_p90,external_ratio_max,participation_mean,participation_median,participation_p90,participation_max,betweenness_mean,betweenness_median,betweenness_p90,betweenness_max
facebook,facebook,top20,808,8,0.4207920792079208,36.82920792079208,18.0,106.29999999999995,347.0,36.152227722772274,18.0,104.29999999999995,340.0,0.676980198019802,0.0,2.0,53.0,0.020244231715749645,0.0,0.047619047619047616,0.5,0.033670167111587275,0.0,0.09070294784580502,0.559895980552886,0.0003491744745923805,7.404610018328958e-07,5.700157512821723e-05,0.13728215970302862
facebook,facebook,middle20,808,11,0.6101485148514851,30.85891089108911,19.0,70.0,755.0,29.024752475247524,18.0,67.29999999999995,545.0,1.8341584158415842,0.0,4.0,333.0,0.03510512516468897,0.0,0.10124999999999981,0.65,0.05316823437123706,0.0,0.18510069444444432,0.7022222222222222,0.0010042383433255244,1.1672098826997594e-06,0.00013667198516971734,0.24037876509029577
facebook,facebook,bottom20,808,5,0.525990099009901,33.95173267326733,23.0,78.0,137.0,33.47029702970297,23.0,77.0,136.0,0.4814356435643564,0.0,1.0,19.0,0.018996130078641007,0.0,0.058823529411764705,0.3333333333333333,0.03358107968398146,0.0,0.11072664359861584,0.4444444444444444,3.573890346145241e-05,1.8106956530773778e-06,2.5873432682085284e-05,0.02021438413425809
lfr_strong_original,lfrpool_strong_original_seed1,top20,200,6,0.27,39.05,32.5,63.099999999999994,115.0,36.69,31.0,60.099999999999994,108.0,2.36,2.0,4.0,7.0,0.06178338411403624,0.058823529411764705,0.10256410256410256,0.16216216216216217,0.11644043055694896,0.11267301038062277,0.1906640368178829,0.29072315558802053,0.0014291331364438057,0.000976714182192612,0.003006908546471478,0.010291372358288612
lfr_strong_original,lfrpool_strong_original_seed1,middle20,200,8,0.26,34.53,31.0,52.19999999999999,96.0,31.28,29.0,48.099999999999994,88.0,3.25,3.0,5.0,8.0,0.09802507708413775,0.09090909090909091,0.15384615384615385,0.23076923076923078,0.18074438092142006,0.1694214876033059,0.2737629115251492,0.39644970414201186,0.0017709589383612004,0.0014194104997562436,0.0033549828217126873,0.0108386745787867
lfr_strong_original,lfrpool_strong_original_seed1,bottom20,200,6,0.245,34.185,30.0,51.0,107.0,32.125,29.0,47.099999999999994,101.0,2.06,2.0,3.0,7.0,0.06053819343267294,0.05517503805175038,0.10427631578947369,0.13636363636363635,0.11438418729492589,0.10503111927354353,0.19390581717451527,0.2479338842975206,0.0012962401784833235,0.0008050757601194268,0.0028081991133548177,0.01021821668497742
lfr_strong_original,lfrpool_strong_original_seed2,top20,200,8,0.3,36.395,30.5,59.099999999999994,106.0,34.14,28.0,54.099999999999994,100.0,2.255,2.0,5.0,7.0,0.06135590386270699,0.05714285714285714,0.10218156228008445,0.19047619047619047,0.11564744517481662,0.1093877551020408,0.19094124970719195,0.3310657596371882,0.0014015777694192317,0.0008903240328953235,0.0032905335624812838,0.008249041490726527
lfr_strong_original,lfrpool_strong_original_seed2,middle20,200,8,0.18,32.915,29.0,46.19999999999999,121.0,29.555,26.5,42.099999999999994,112.0,3.36,3.0,5.0,9.0,0.10568068987133933,0.10344827586206896,0.15,0.2631578947368421,0.1940141636031793,0.1926278240190249,0.27000000000000013,0.43767313019390586,0.0016535546652002872,0.0013265542525749175,0.0032824971900067127,0.01110990377883054
lfr_strong_original,lfrpool_strong_original_seed2,bottom20,200,6,0.35,39.07,33.0,66.1,103.0,36.805,31.0,63.0,98.0,2.265,2.0,4.099999999999994,7.0,0.057655115340232765,0.054804804804804805,0.09513513513513511,0.15625,0.10913183407049518,0.10510341422503588,0.17841831020209406,0.27734375,0.0014744572055992,0.0008885343377188556,0.003175004048626561,0.008961499587816418
lfr_strong_original,lfrpool_strong_original_seed3,top20,200,7,0.265,39.845,34.0,65.39999999999998,112.0,37.39,32.5,61.39999999999998,104.0,2.455,2.0,5.0,8.0,0.061308304239212685,0.05741758241758242,0.1,0.16666666666666666,0.11580831302116672,0.11016725033208546,0.1862916666666666,0.2977777777777777,0.0012893459257176576,0.0007540472233219446,0.003391649207903591,0.006779153642756233
lfr_strong_original,lfrpool_strong_original_seed3,middle20,200,8,0.2,38.665,34.0,60.0,118.0,35.105,31.0,55.0,109.0,3.56,3.0,5.0,9.0,0.0967499102123709,0.09375,0.14285714285714285,0.2,0.17952257830861676,0.17489711934156382,0.2602040816326532,0.35199999999999987,0.001826259061564311,0.0014210447000639302,0.003695447581994296,0.0112145538027753
lfr_strong_original,lfrpool_strong_original_seed3,bottom20,200,7,0.285,37.265,34.0,54.099999999999994,94.0,35.025,31.0,52.0,89.0,2.24,2.0,4.0,8.0,0.060225515190434134,0.05555555555555555,0.09803921568627451,0.16666666666666666,0.11371462177428962,0.10637442024804661,0.1838423683198769,0.2993827160493826,0.0013492487444385923,0.0009300658659584138,0.002911404327909643,0.007417305609751769
lfr_strong_facebook_like,lfrpool_strong_facebook_like_seed1,top20,200,3,0.645,38.28,33.0,64.19999999999999,119.0,35.545,30.0,61.0,111.0,2.735,2.5,5.0,8.0,0.07359541247675862,0.07142857142857142,0.11778711484593836,0.18518518518518517,0.13794553902001616,0.13605442176870752,0.2167166782006921,0.3264746227709191,0.001531607343860734,0.00101929926791791,0.0032925670443979286,0.011248206618085817
lfr_strong_facebook_like,lfrpool_strong_facebook_like_seed1,middle20,200,9,0.38,35.815,32.0,58.19999999999999,118.0,32.86,29.0,52.19999999999999,110.0,2.955,3.0,5.0,8.0,0.08473561012783234,0.07692307692307693,0.13802681992337162,0.23076923076923078,0.15731755165771483,0.14635108481262316,0.24973246135552923,0.39644970414201186,0.0017274549309656186,0.0012682464034387906,0.0034445334968035025,0.011464331544553823
lfr_strong_facebook_like,lfrpool_strong_facebook_like_seed1,bottom20,200,5,0.525,41.53,35.0,71.29999999999998,115.0,38.645,33.0,67.29999999999998,108.0,2.885,3.0,5.0,7.0,0.07225349756179203,0.06666666666666667,0.11778711484593836,0.21428571428571427,0.13527783378903568,0.12733333333333324,0.2176087074829932,0.3673469387755103,0.001841865953288442,0.0011394704487760227,0.004307925106710705,0.012052093426130688
lfr_strong_facebook_like,lfrpool_strong_facebook_like_seed2,top20,200,3,0.645,42.085,38.0,67.1,122.0,39.095,34.5,63.099999999999994,115.0,2.99,3.0,5.0,8.0,0.07244490904896048,0.06833748443337484,0.11788235294117645,0.21428571428571427,0.1358302782572931,0.13048097994320035,0.21827377162629757,0.3673469387755103,0.0017418384495312572,0.0012512231220489548,0.0036113992489739954,0.008422132722670169
lfr_strong_facebook_like,lfrpool_strong_facebook_like_seed2,middle20,200,9,0.38,36.815,32.0,59.0,115.0,33.81,28.5,54.0,107.0,3.005,3.0,6.0,8.0,0.08436051439236898,0.07767722473604827,0.14285714285714285,0.2608695652173913,0.15602547421067883,0.14742708198257842,0.2596938775510204,0.43100189035916836,0.0017988677886516832,0.0013971623248464496,0.0036236344099122757,0.011418353284050579
lfr_strong_facebook_like,lfrpool_strong_facebook_like_seed2,bottom20,200,5,0.525,39.965,34.0,63.19999999999999,103.0,36.975,31.5,60.099999999999994,98.0,2.99,3.0,5.0,8.0,0.07688286725163258,0.07362240289069558,0.12012121212121211,0.19047619047619047,0.14386101050612926,0.13956027545821975,0.2213854687880662,0.3310657596371882,0.0017249320685614857,0.0011467239812415694,0.0037757560583696215,0.00879940678246
lfr_strong_facebook_like,lfrpool_strong_facebook_like_seed3,top20,200,3,0.645,46.29,38.0,84.49999999999997,118.0,43.225,35.0,79.19999999999999,109.0,3.065,3.0,5.0,9.0,0.06724027465408768,0.0625,0.11136363636363635,0.17647058823529413,0.12665648121562068,0.11979166666666663,0.2062595653504745,0.31487889273356406,0.0019545699490949135,0.0012012796110081867,0.004764802649041391,0.0112145538027753
