network,pool,agent_idx,lfr_community,degree,external_ratio,participation,betweenness
lfr_mu01_seed1,middle20,788,7,31.0,0.03225806451612903,0.06243496357960443,0.002816579592303042
lfr_mu01_seed1,middle20,743,7,34.0,0.029411764705882353,0.05709342560553643,0.0032372776759788365
lfr_mu01_seed1,middle20,842,7,29.0,0.034482758620689655,0.06658739595719365,0.0051446395166293984
lfr_mu01_seed1,middle20,403,7,40.0,0.025,0.04875000000000007,0.0037263729913880315
lfr_mu01_seed1,middle20,440,7,43.0,0.023255813953488372,0.045429962141698255,0.005352727069713731
lfr_mu01_seed1,middle20,441,7,31.0,0.0,0.0,0.00011400340423467591
lfr_mu01_seed1,middle20,699,7,31.0,0.0,0.0,9.650424687094609e-05
lfr_mu01_seed1,middle20,413,7,31.0,0.0,0.0,6.70238180606228e-05
lfr_mu01_seed1,middle20,95,7,30.0,0.0,0.0,0.00017075574845523158
lfr_mu01_seed1,middle20,880,7,30.0,0.0,0.0,0.00011678181179601826
lfr_mu01_seed1,middle20,839,7,30.0,0.0,0.0,9.936423482027865e-05
lfr_mu01_seed1,middle20,900,7,30.0,0.0,0.0,9.660156316654597e-05
lfr_mu01_seed1,middle20,334,7,30.0,0.0,0.0,9.519686055024124e-05
lfr_mu01_seed1,middle20,480,7,30.0,0.0,0.0,7.858150315826372e-05
lfr_mu01_seed1,middle20,681,7,32.0,0.0,0.0,0.00016960951377839874
lfr_mu01_seed1,middle20,273,7,30.0,0.0,0.0,3.4384790091357636e-05
lfr_mu01_seed1,middle20,103,7,32.0,0.0,0.0,0.00011293797217895262
lfr_mu01_seed1,middle20,901,7,32.0,0.0,0.0,9.837507804327335e-05
lfr_mu01_seed1,middle20,830,7,32.0,0.0,0.0,9.095415310680752e-05
lfr_mu01_seed1,middle20,650,7,32.0,0.0,0.0,4.575451479901392e-05
lfr_mu01_seed1,middle20,259,7,29.0,0.0,0.0,0.0001382592255626605
lfr_mu01_seed1,middle20,395,7,29.0,0.0,0.0,0.00013685264912914244
lfr_mu01_seed1,middle20,365,7,29.0,0.0,0.0,0.00013229566888787938
lfr_mu01_seed1,middle20,610,7,29.0,0.0,0.0,0.00010354321857615755
lfr_mu01_seed1,middle20,105,7,29.0,0.0,0.0,9.493823705364815e-05
lfr_mu01_seed1,middle20,227,7,29.0,0.0,0.0,9.017021558980096e-05
lfr_mu01_seed1,middle20,458,7,33.0,0.0,0.0,0.00017224194472101613
lfr_mu01_seed1,middle20,294,7,29.0,0.0,0.0,8.017564762703186e-05
lfr_mu01_seed1,middle20,141,7,33.0,0.0,0.0,0.00015424105248937697
lfr_mu01_seed1,middle20,817,7,29.0,0.0,0.0,6.08252672454596e-05
lfr_mu01_seed1,middle20,641,7,33.0,0.0,0.0,0.0001110098554914759
lfr_mu01_seed1,middle20,644,7,33.0,0.0,0.0,9.835619176949161e-05
lfr_mu01_seed1,middle20,309,7,33.0,0.0,0.0,6.539062514550009e-05
lfr_mu01_seed1,middle20,315,7,28.0,0.0,0.0,0.00011252175298125987
lfr_mu01_seed1,middle20,709,7,34.0,0.0,0.0,0.0001616127744039325
lfr_mu01_seed1,middle20,477,7,28.0,0.0,0.0,6.181216390336527e-05
lfr_mu01_seed1,middle20,922,7,34.0,0.0,0.0,0.00015202970609227173
lfr_mu01_seed1,middle20,166,7,34.0,0.0,0.0,0.00014597830549945075
lfr_mu01_seed1,middle20,208,7,28.0,0.0,0.0,4.4836529219064177e-05
lfr_mu01_seed1,middle20,243,7,34.0,0.0,0.0,0.00012720822259019196
lfr_mu01_seed1,middle20,478,7,28.0,0.0,0.0,3.182980852722735e-05
lfr_mu01_seed1,middle20,630,7,34.0,0.0,0.0,9.548642684084021e-05
lfr_mu01_seed1,middle20,708,7,55.0,0.01818181818181818,0.03570247933884296,0.002516148214326793
lfr_mu01_seed1,middle20,567,7,35.0,0.0,0.0,0.00026029194405769113
lfr_mu01_seed1,middle20,888,7,27.0,0.0,0.0,0.00012136238034607958
lfr_mu01_seed1,middle20,702,7,27.0,0.0,0.0,0.00010751447027640961
lfr_mu01_seed1,middle20,878,7,27.0,0.0,0.0,7.59618995880408e-05
lfr_mu01_seed1,middle20,824,7,27.0,0.0,0.0,7.566264134088141e-05
lfr_mu01_seed1,middle20,337,7,27.0,0.0,0.0,5.534042903069991e-05
lfr_mu01_seed1,middle20,93,7,27.0,0.0,0.0,4.091979964604359e-05
lfr_mu01_seed1,middle20,512,7,35.0,0.0,0.0,0.00010824888448592323
lfr_mu01_seed1,middle20,718,7,35.0,0.0,0.0,9.825577421655529e-05
