network,pool,agent_idx,lfr_community,degree,external_ratio,participation,betweenness
lfr_mu02_seed4,bottom20,204,7,37.0,0.02702702702702703,0.0525931336742147,0.0005369689348999221
lfr_mu02_seed4,bottom20,895,7,35.0,0.02857142857142857,0.05551020408163265,0.0006223160092937184
lfr_mu02_seed4,bottom20,779,7,42.0,0.023809523809523808,0.046485260770975145,0.0005349104970123824
lfr_mu02_seed4,bottom20,343,7,42.0,0.023809523809523808,0.046485260770975145,0.0009031953054087786
lfr_mu02_seed4,bottom20,871,7,35.0,0.02857142857142857,0.05551020408163265,0.0011749991757952214
lfr_mu02_seed4,bottom20,20,7,39.0,0.02564102564102564,0.04996712689020377,0.0011398871530048872
lfr_mu02_seed4,bottom20,249,7,38.0,0.02631578947368421,0.05124653739612173,0.0011906619184334883
lfr_mu02_seed4,bottom20,931,7,33.0,0.030303030303030304,0.058769513314967714,0.0005915796613116376
lfr_mu02_seed4,bottom20,906,7,42.0,0.023809523809523808,0.046485260770975145,0.001110348896518024
lfr_mu02_seed4,bottom20,787,7,42.0,0.023809523809523808,0.046485260770975145,0.0012611935325517075
lfr_mu02_seed4,bottom20,397,7,36.0,0.027777777777777776,0.054012345679012475,0.0014872894777502828
lfr_mu02_seed4,bottom20,27,7,47.0,0.02127659574468085,0.041647804436396596,0.0008010555491845315
lfr_mu02_seed4,bottom20,816,7,44.0,0.022727272727272728,0.044421487603305776,0.0015267092320333376
lfr_mu02_seed4,bottom20,15,7,36.0,0.027777777777777776,0.054012345679012475,0.0019394319918180827
lfr_mu02_seed4,bottom20,192,7,41.0,0.024390243902439025,0.04759071980963725,0.0019391463654071862
lfr_mu02_seed4,bottom20,782,7,35.0,0.02857142857142857,0.05551020408163265,0.002124425498936601
lfr_mu02_seed4,bottom20,910,7,33.0,0.030303030303030304,0.058769513314967714,0.0015507571821624488
lfr_mu02_seed4,bottom20,290,7,42.0,0.023809523809523808,0.046485260770975145,0.002139113346344535
lfr_mu02_seed4,bottom20,263,7,31.0,0.03225806451612903,0.06243496357960443,0.0005631303806932446
lfr_mu02_seed4,bottom20,175,7,36.0,0.027777777777777776,0.054012345679012475,0.002664654372256547
lfr_mu02_seed4,bottom20,695,7,35.0,0.02857142857142857,0.05551020408163265,0.0027822271064622964
lfr_mu02_seed4,bottom20,766,7,32.0,0.03125,0.060546875,0.0015553293856136988
lfr_mu02_seed4,bottom20,222,7,34.0,0.0,0.0,0.00017504430054069014
lfr_mu02_seed4,bottom20,37,7,34.0,0.0,0.0,0.0002131615567404629
lfr_mu02_seed4,bottom20,86,7,31.0,0.03225806451612903,0.06243496357960443,0.0010857565969003618
lfr_mu02_seed4,bottom20,702,7,33.0,0.0,0.0,0.00017762353644698575
lfr_mu02_seed4,bottom20,802,7,49.0,0.02040816326530612,0.03998334027488548,0.002281111848932436
lfr_mu02_seed4,bottom20,687,7,35.0,0.0,0.0,0.00021899803739740473
lfr_mu02_seed4,bottom20,677,7,35.0,0.0,0.0,0.00025265836146068534
lfr_mu02_seed4,bottom20,370,7,31.0,0.03225806451612903,0.06243496357960443,0.0014070275959166053
lfr_mu02_seed4,bottom20,445,7,30.0,0.03333333333333333,0.06444444444444453,0.0007085066664731952
lfr_mu02_seed4,bottom20,18,7,36.0,0.0,0.0,0.00020026857091966595
lfr_mu02_seed4,bottom20,638,7,31.0,0.0,0.0,8.937300158172211e-05
lfr_mu02_seed4,bottom20,177,7,31.0,0.0,0.0,9.212949104220706e-05
lfr_mu02_seed4,bottom20,563,7,31.0,0.0,0.0,0.00014554584340050313
lfr_mu02_seed4,bottom20,706,7,31.0,0.03225806451612903,0.06243496357960443,0.0017943172485044955
lfr_mu02_seed4,bottom20,680,7,29.0,0.0,0.0,8.036828276220092e-05
lfr_mu02_seed4,bottom20,781,7,29.0,0.0,0.0,0.00010575725994860595
lfr_mu02_seed4,bottom20,648,7,58.0,0.017241379310344827,0.03388822829964333,0.0014410413318149855
lfr_mu02_seed4,bottom20,11,7,39.0,0.0,0.0,0.00029020578379622755
lfr_mu02_seed4,bottom20,407,7,28.0,0.03571428571428571,0.06887755102040805,0.0003091792479815543
lfr_mu02_seed4,bottom20,821,7,28.0,0.0,0.0,7.700679993712216e-05
lfr_mu02_seed4,bottom20,291,7,28.0,0.0,0.0,0.00013396738326882838
lfr_mu02_seed4,bottom20,216,7,27.0,0.0,0.0,0.00015421679220323282
lfr_mu02_seed4,bottom20,269,7,28.0,0.03571428571428571,0.06887755102040805,0.0009093879091643353
lfr_mu02_seed4,bottom20,324,7,26.0,0.0,0.0,3.279782881531451e-05
lfr_mu02_seed4,bottom20,200,7,26.0,0.0,0.0,9.072776692865699e-05
lfr_mu02_seed4,bottom20,699,7,29.0,0.034482758620689655,0.06658739595719365,0.0017865360432320332
lfr_mu02_seed4,bottom20,915,7,28.0,0.03571428571428571,0.06887755102040805,0.0011278476251283466
lfr_mu02_seed4,bottom20,833,7,29.0,0.034482758620689655,0.06658739595719365,0.001939604063134309
lfr_mu02_seed4,bottom20,978,7,53.0,0.018867924528301886,0.03702385190459245,0.003834860208975647
lfr_mu02_seed4,bottom20,322,7,25.0,0.0,0.0,6.562009509977877e-05
lfr_mu02_seed4,bottom20,851,7,24.0,0.0,0.0,5.592082123482251e-05
lfr_mu02_seed4,bottom20,810,7,24.0,0.0,0.0,3.0390228858861694e-05
lfr_mu02_seed4,bottom20,972,7,24.0,0.0,0.0,6.517549824906666e-05
lfr_mu02_seed4,bottom20,341,7,24.0,0.0,0.0,6.85144385283893e-05
lfr_mu02_seed4,bottom20,756,7,24.0,0.0,0.0,8.306498200800158e-05
lfr_mu02_seed4,bottom20,383,7,23.0,0.0,0.0,3.918656574857963e-05
lfr_mu02_seed4,bottom20,800,7,23.0,0.0,0.0,6.881149278650873e-05
lfr_mu02_seed4,bottom20,376,7,23.0,0.0,0.0,7.325697043026694e-05
lfr_mu02_seed4,bottom20,276,7,27.0,0.037037037037037035,0.07133058984910856,0.0011970931125807062
lfr_mu02_seed4,bottom20,480,7,22.0,0.0,0.0,2.4835202074838394e-05
lfr_mu02_seed4,bottom20,485,7,22.0,0.0,0.0,2.372842755435952e-05
lfr_mu02_seed4,bottom20,901,7,22.0,0.0,0.0,8.098123020629187e-05
lfr_mu02_seed4,bottom20,486,7,22.0,0.0,0.0,8.104345646504408e-05
lfr_mu02_seed4,bottom20,399,7,26.0,0.038461538461538464,0.07396449704142016,0.0007227932642696057
lfr_mu02_seed4,bottom20,384,7,21.0,0.0,0.0,2.3492720567503378e-05
lfr_mu02_seed4,bottom20,406,7,21.0,0.0,0.0,1.0469696328724393e-05
lfr_mu02_seed4,bottom20,950,7,20.0,0.0,0.0,3.89851629161962e-05
lfr_mu02_seed4,bottom20,317,7,31.0,0.03225806451612903,0.06243496357960443,0.004953999213031466
lfr_mu02_seed4,bottom20,428,7,19.0,0.0,0.0,3.313307641078246e-05
lfr_mu02_seed4,bottom20,272,7,25.0,0.04,0.07679999999999998,0.0004855367748677433
lfr_mu02_seed4,bottom20,398,7,18.0,0.0,0.0,3.743317124942416e-05
lfr_mu02_seed4,bottom20,958,7,18.0,0.0,0.0,2.3813318267886174e-05
lfr_mu02_seed4,bottom20,498,7,18.0,0.0,0.0,2.3655163967854515e-05
lfr_mu02_seed4,bottom20,998,7,18.0,0.0,0.0,1.9661066048124794e-05
lfr_mu02_seed4,bottom20,426,7,18.0,0.0,0.0,1.4986562799240393e-05
lfr_mu02_seed4,bottom20,386,7,18.0,0.0,0.0,7.571262156072987e-06
lfr_mu02_seed4,bottom20,267,7,67.0,0.014925373134328358,0.029405212742259046,0.0013316935824113857
lfr_mu02_seed4,bottom20,796,7,26.0,0.038461538461538464,0.07396449704142016,0.0026071465568655613
lfr_mu02_seed4,bottom20,77,7,65.0,0.015384615384615385,0.030295857988165587,0.003038653689309427
lfr_mu02_seed4,bottom20,981,7,24.0,0.041666666666666664,0.07986111111111094,0.0018360086156199323
lfr_mu02_seed4,bottom20,248,7,23.0,0.043478260869565216,0.08317580340264641,0.0012083065442849174
lfr_mu02_seed4,bottom20,432,7,22.0,0.045454545454545456,0.08677685950413205,0.00036219990051049783
lfr_mu02_seed4,bottom20,982,7,46.0,0.043478260869565216,0.0841209829867674,0.0017081675145412633
lfr_mu02_seed4,bottom20,262,7,39.0,0.05128205128205128,0.09861932938856022,0.0015481013719350594
lfr_mu02_seed4,bottom20,385,7,21.0,0.047619047619047616,0.09070294784580502,0.0010597127546660696
lfr_mu02_seed4,bottom20,292,7,38.0,0.05263157894736842,0.10110803324099737,0.001863205056996181
lfr_mu02_seed4,bottom20,365,7,41.0,0.04878048780487805,0.09399167162403332,0.002563827340530219
lfr_mu02_seed4,bottom20,289,7,41.0,0.04878048780487805,0.09399167162403332,0.003124760365087649
lfr_mu02_seed4,bottom20,742,7,46.0,0.043478260869565216,0.0841209829867674,0.003798887864319857
lfr_mu02_seed4,bottom20,209,7,57.0,0.03508771929824561,0.06832871652816253,0.0038720440881475386
lfr_mu02_seed4,bottom20,681,7,78.0,0.01282051282051282,0.025312294543063718,0.002682724178436402
lfr_mu02_seed4,bottom20,363,7,45.0,0.044444444444444446,0.08592592592592585,0.0041493643406954024
lfr_mu02_seed4,bottom20,336,7,19.0,0.05263157894736842,0.09972299168975085,0.0003531933090700242
lfr_mu02_seed4,bottom20,511,7,44.0,0.045454545454545456,0.0878099173553718,0.005054352695463934
lfr_mu02_seed4,bottom20,172,7,43.0,0.046511627906976744,0.08977825851811783,0.00549848650560369
lfr_mu02_seed4,bottom20,220,7,53.0,0.03773584905660377,0.07333570665717337,0.00665280760710292
lfr_mu02_seed4,bottom20,465,7,18.0,0.05555555555555555,0.1049382716049383,0.0008675512447680648
lfr_mu02_seed4,bottom20,866,7,69.0,0.028985507246376812,0.056710775047258966,0.005997921338289187
lfr_mu02_seed4,bottom20,745,7,82.0,0.024390243902439025,0.04788816180844746,0.005131895197334911
lfr_mu02_seed4,bottom20,868,7,29.0,0.06896551724137931,0.13079667063020217,0.001587244435871092
lfr_mu02_seed4,bottom20,21,7,85.0,0.023529411764705882,0.046228373702422165,0.005647807169908389
lfr_mu02_seed4,bottom20,897,7,28.0,0.07142857142857142,0.13520408163265307,0.001388110184525595
lfr_mu02_seed4,bottom20,863,7,89.0,0.02247191011235955,0.04418634010857225,0.005852456166296565
lfr_mu02_seed4,bottom20,195,8,38.0,0.02631578947368421,0.05124653739612173,0.0009835256499612698
lfr_mu02_seed4,bottom20,664,8,38.0,0.02631578947368421,0.05124653739612173,0.0012422485498098223
lfr_mu02_seed4,bottom20,605,8,34.0,0.029411764705882353,0.05709342560553643,0.0012290569953749455
lfr_mu02_seed4,bottom20,45,8,40.0,0.025,0.04875000000000007,0.00131077650543885
lfr_mu02_seed4,bottom20,691,8,47.0,0.02127659574468085,0.041647804436396596,0.001790338206302955
lfr_mu02_seed4,bottom20,548,8,38.0,0.02631578947368421,0.05124653739612173,0.0029120703757778447
lfr_mu02_seed4,bottom20,598,8,31.0,0.03225806451612903,0.06243496357960443,0.0010520724370075448
lfr_mu02_seed4,bottom20,83,8,47.0,0.02127659574468085,0.041647804436396596,0.0024981300790132264
lfr_mu02_seed4,bottom20,13,8,32.0,0.0,0.0,0.00017504486504507066
lfr_mu02_seed4,bottom20,760,8,53.0,0.018867924528301886,0.03702385190459245,0.002540755748443335
lfr_mu02_seed4,bottom20,633,8,44.0,0.022727272727272728,0.044421487603305776,0.0037696882893884353
lfr_mu02_seed4,bottom20,543,8,30.0,0.0,0.0,0.00025400234547740056
lfr_mu02_seed4,bottom20,358,8,51.0,0.0196078431372549,0.03844675124951946,0.0029573092011192345
lfr_mu02_seed4,bottom20,678,8,30.0,0.0,0.0,0.0002758079914395
lfr_mu02_seed4,bottom20,541,8,30.0,0.0,0.0,0.00034942442958155005
lfr_mu02_seed4,bottom20,916,8,51.0,0.0196078431372549,0.03844675124951946,0.003416713170600706
lfr_mu02_seed4,bottom20,98,8,28.0,0.0,0.0,0.0001844625417583575
lfr_mu02_seed4,bottom20,418,8,29.0,0.034482758620689655,0.06658739595719365,0.0013037894860154458
lfr_mu02_seed4,bottom20,831,8,27.0,0.0,0.0,0.0001782816788218744
lfr_mu02_seed4,bottom20,951,8,26.0,0.0,0.0,0.0002529212019746349
lfr_mu02_seed4,bottom20,663,8,25.0,0.0,0.0,0.00036894050668680265
lfr_mu02_seed4,bottom20,168,8,23.0,0.0,0.0,9.5883394694819e-05
lfr_mu02_seed4,bottom20,685,8,23.0,0.0,0.0,0.00012585039093428757
lfr_mu02_seed4,bottom20,435,8,29.0,0.034482758620689655,0.06658739595719365,0.0027785375471494735
