candidate_set,pool,avg_external_ratio_abs_error,avg_largest_comm_ratio_abs_error,avg_external_ratio_mean,target_external_ratio_mean,avg_largest_comm_ratio,target_largest_comm_ratio,ok_pool_count
lfr,bottom20,0.036402716015400086,0.000990099009900991,0.055398846094041096,0.018996130078641007,0.525,0.525990099009901,2
lfr,middle20,0.016865395260938842,0.00014851485148514865,0.05024643171294911,0.03338103645201027,0.61,0.6101485148514851,2
lfr,top20,0.061802559364519255,0.0007920792079207928,0.07074792090151102,0.008945361536991775,0.42,0.4207920792079208,2
mu01,bottom20,0.016453387068063045,0.000990099009900991,0.0025427430105779635,0.018996130078641007,0.525,0.525990099009901,3
mu01,middle20,0.022447514246636827,0.00014851485148514865,0.010933522205373447,0.03338103645201027,0.61,0.6101485148514851,3
mu01,top20,0.0067788491155884424,0.0007920792079207928,0.0021665124214033317,0.008945361536991775,0.42,0.4207920792079208,3
mu02,bottom20,0.0008459918839121335,0.000990099009900991,0.018150138194728875,0.018996130078641007,0.525,0.525990099009901,2
mu02,middle20,0.0063628236190446,0.00014851485148514865,0.027018212832965672,0.03338103645201027,0.61,0.6101485148514851,2
mu02,top20,0.0014176212999267822,0.0007920792079207928,0.010362982836918557,0.008945361536991775,0.42,0.4207920792079208,2
mu02_extra,bottom20,0.0007287604745517505,0.000990099009900991,0.018268762565256943,0.018996130078641007,0.525,0.525990099009901,3
mu02_extra,middle20,0.005516924096579885,0.00014851485148514865,0.027864112355430386,0.03338103645201027,0.61,0.6101485148514851,3
mu02_extra,top20,0.00118230260472964,0.0007920792079207928,0.009634577842827041,0.008945361536991775,0.42,0.4207920792079208,3
