network,pool,agent_idx,lfr_community,degree,external_ratio,participation,betweenness
lfr_strong_seed1,middle20,667,5,32.0,0.03125,0.060546875,0.000718883157596765
lfr_strong_seed1,middle20,142,5,31.0,0.03225806451612903,0.06243496357960443,0.0003540747080246486
lfr_strong_seed1,middle20,531,5,32.0,0.03125,0.060546875,0.0004925835417304223
lfr_strong_seed1,middle20,588,5,33.0,0.030303030303030304,0.058769513314967714,0.0004028383197695239
lfr_strong_seed1,middle20,983,5,29.0,0.034482758620689655,0.06658739595719365,0.00026082505993735473
lfr_strong_seed1,middle20,636,5,34.0,0.029411764705882353,0.05709342560553643,0.00021216136931222432
lfr_strong_seed1,middle20,23,5,35.0,0.02857142857142857,0.05551020408163265,0.0002829493530071624
lfr_strong_seed1,middle20,652,5,38.0,0.02631578947368421,0.05124653739612173,0.0002922337123571339
lfr_strong_seed1,middle20,895,5,27.0,0.037037037037037035,0.07133058984910856,0.0005140360960362321
lfr_strong_seed1,middle20,874,5,27.0,0.037037037037037035,0.07133058984910856,0.00019634349543082156
lfr_strong_seed1,middle20,637,5,26.0,0.038461538461538464,0.07396449704142016,0.0005627976884704889
lfr_strong_seed1,middle20,530,5,41.0,0.024390243902439025,0.04759071980963725,0.001272996293597643
lfr_strong_seed1,middle20,464,5,26.0,0.038461538461538464,0.07396449704142016,0.00030318969040720486
lfr_strong_seed1,middle20,989,5,26.0,0.038461538461538464,0.07396449704142016,0.0002733594336848855
lfr_strong_seed1,middle20,921,5,26.0,0.038461538461538464,0.07396449704142016,0.00020283787613583075
lfr_strong_seed1,middle20,971,5,26.0,0.038461538461538464,0.07396449704142016,0.0001771013680403951
lfr_strong_seed1,middle20,674,5,25.0,0.04,0.07679999999999998,0.0002232032289118411
lfr_strong_seed1,middle20,516,5,44.0,0.022727272727272728,0.044421487603305776,0.0006167512304127457
lfr_strong_seed1,middle20,178,5,45.0,0.044444444444444446,0.08493827160493828,0.0011758786809793905
lfr_strong_seed1,middle20,524,5,48.0,0.041666666666666664,0.08072916666666652,0.0012947789552022906
lfr_strong_seed1,middle20,536,5,44.0,0.045454545454545456,0.0878099173553718,0.0012176000071492138
lfr_strong_seed1,middle20,897,5,48.0,0.041666666666666664,0.08072916666666652,0.0006399083530428017
lfr_strong_seed1,middle20,344,5,41.0,0.04878048780487805,0.09399167162403332,0.0008444404549128179
lfr_strong_seed1,middle20,685,5,43.0,0.046511627906976744,0.08977825851811783,0.0015916958550883512
lfr_strong_seed1,middle20,107,5,39.0,0.05128205128205128,0.09861932938856022,0.0010647740133108178
lfr_strong_seed1,middle20,543,5,60.0,0.03333333333333333,0.06500000000000006,0.0013274348947706414
lfr_strong_seed1,middle20,537,5,39.0,0.05128205128205128,0.09861932938856022,0.0008169710034508441
lfr_strong_seed1,middle20,86,5,38.0,0.05263157894736842,0.10110803324099737,0.001444285395244827
lfr_strong_seed1,middle20,595,5,37.0,0.05405405405405406,0.10372534696859026,0.0009020513209028955
lfr_strong_seed1,middle20,27,5,56.0,0.03571428571428571,0.06951530612244894,0.0022164275119357763
lfr_strong_seed1,middle20,950,5,38.0,0.05263157894736842,0.10110803324099737,0.0015453241605764573
lfr_strong_seed1,middle20,518,5,38.0,0.05263157894736842,0.10110803324099737,0.0005038038601159499
lfr_strong_seed1,middle20,266,5,37.0,0.05405405405405406,0.10372534696859026,0.000548285341779921
lfr_strong_seed1,middle20,100,5,62.0,0.03225806451612903,0.06295525494276788,0.0015956914035647897
lfr_strong_seed1,middle20,862,5,35.0,0.05714285714285714,0.1093877551020408,0.0007888485744349436
lfr_strong_seed1,middle20,499,5,36.0,0.05555555555555555,0.10648148148148151,0.00048369425072205624
lfr_strong_seed1,middle20,122,5,35.0,0.05714285714285714,0.1093877551020408,0.00042664110534257164
lfr_strong_seed1,middle20,325,5,34.0,0.058823529411764705,0.11245674740484424,0.0007432824073309707
lfr_strong_seed1,middle20,292,5,34.0,0.058823529411764705,0.11245674740484424,0.000606516229806174
lfr_strong_seed1,middle20,342,5,32.0,0.0,0.0,8.007003846861616e-05
lfr_strong_seed1,middle20,698,5,33.0,0.06060606060606061,0.11570247933884292,0.0006003890692890189
lfr_strong_seed1,middle20,482,5,33.0,0.0,0.0,7.527886788442266e-05
lfr_strong_seed1,middle20,326,5,32.0,0.0625,0.119140625,0.0006646901145078079
