network,strategy,misinformation,corrective,observational,behavior-guiding
lfrpool_strong_facebook_like_seed1,balance,0.47617000000000004,0.64159,0.3243478260869565,0.1465
lfrpool_strong_facebook_like_seed1,certainty_high,0.47723000000000004,0.6098300000000001,0.34363333333333335,0.18251
lfrpool_strong_facebook_like_seed1,effective_high,0.47283,0.6894,0.33081818181818184,0.13712000000000002
lfrpool_strong_facebook_like_seed2,balance,0.49668,0.64847,0.3275806451612903,0.14054
lfrpool_strong_facebook_like_seed2,certainty_high,0.5034700000000001,0.52577,0.34308695652173915,0.17135
lfrpool_strong_facebook_like_seed2,effective_high,0.49769,0.66789,0.3298666666666667,0.1286
lfrpool_strong_facebook_like_seed3,balance,0.50453,0.6406000000000001,0.3357931034482759,0.14629
lfrpool_strong_facebook_like_seed3,certainty_high,0.5056200000000001,0.5649700000000001,0.31923333333333337,0.17485
lfrpool_strong_facebook_like_seed3,effective_high,0.50671,0.7170599999999999,0.3356764705882353,0.1328
lfrpool_strong_half_facebook_seed1,balance,0.47011000000000003,0.64744,0.33216666666666667,0.13434000000000001
lfrpool_strong_half_facebook_seed1,certainty_high,0.47191000000000005,0.57739,0.3368695652173913,0.16268000000000002
lfrpool_strong_half_facebook_seed1,effective_high,0.47061000000000003,0.68949,0.3296,0.12178
lfrpool_strong_half_facebook_seed2,balance,0.47311000000000003,0.6575,0.3342413793103448,0.13490000000000002
lfrpool_strong_half_facebook_seed2,certainty_high,0.4734,0.55384,0.34115384615384614,0.16753
lfrpool_strong_half_facebook_seed2,effective_high,0.47111000000000003,0.6384299999999999,0.32637037037037037,0.12469
lfrpool_strong_half_facebook_seed3,balance,0.49224,0.63902,0.3342333333333334,0.13779
lfrpool_strong_half_facebook_seed3,certainty_high,0.49132,0.5444800000000001,0.3500384615384616,0.17065
lfrpool_strong_half_facebook_seed3,effective_high,0.49043000000000003,0.5952999999999999,0.3284761904761905,0.12462000000000001
lfrpool_strong_original_seed1,balance,0.44333,0.62078,0.333,0.11011
lfrpool_strong_original_seed1,certainty_high,0.44433,0.5802200000000001,0.3428076923076923,0.14641
lfrpool_strong_original_seed1,effective_high,0.44451999999999997,0.636,0.33108,0.09892000000000001
lfrpool_strong_original_seed2,balance,0.39616,0.6545,0.3469,0.11192
lfrpool_strong_original_seed2,certainty_high,0.39841000000000004,0.5808099999999999,0.341,0.14415
lfrpool_strong_original_seed2,effective_high,0.39783999999999997,0.71848,0.32792857142857146,0.10108
lfrpool_strong_original_seed3,balance,0.45133999999999996,0.58755,0.3322857142857143,0.11821
lfrpool_strong_original_seed3,certainty_high,0.45031,0.50619,0.34913636363636363,0.15063
lfrpool_strong_original_seed3,effective_high,0.44905,0.6304,0.33053846153846156,0.10502
lfrpool_strong_random_seed1,balance,0.43102999999999997,0.63695,0.3289130434782609,0.12158000000000001
lfrpool_strong_random_seed1,certainty_high,0.43195,0.5630900000000001,0.3438,0.1574
lfrpool_strong_random_seed1,effective_high,0.43267,0.6717000000000001,0.3304705882352941,0.10937000000000001
lfrpool_strong_random_seed2,balance,0.44745,0.53692,0.327578947368421,0.12096
lfrpool_strong_random_seed2,certainty_high,0.45153,0.52179,0.3421724137931034,0.1595
lfrpool_strong_random_seed2,effective_high,0.44914,0.63427,0.32811538461538464,0.10803
lfrpool_strong_random_seed3,balance,0.42860000000000004,0.59712,0.31480769230769234,0.13034
lfrpool_strong_random_seed3,certainty_high,0.42893000000000003,0.50001,0.35000000000000003,0.16904
lfrpool_strong_random_seed3,effective_high,0.42875,0.64944,0.3247037037037037,0.11941
