comm_method,strategy,strategy_label,avg_final_selfish_ratio,std_final_selfish_ratio,avg_peak_selfish_ratio,avg_shared_misinformation,avg_shared_corrective,avg_shared_observational,avg_shared_behavior_guiding
facebook_like,balance,"Balance (0.8, 0.8)",0.00005333333333333334,0.00001527525231651947,0.09787333333333333,0.49246000000000006,0.6435533333333333,0.32924052489884087,0.14444333333333334
facebook_like,certainty_high,"Certainty high (0.9, 0.5)",0.00007000000000000001,0.000026457513110645906,0.09845666666666665,0.49544000000000005,0.5668566666666667,0.3353178743961353,0.17623666666666668
facebook_like,effective_high,"Effectiveness high (0.5, 0.9)",0.00005,0.00002,0.09753,0.49241,0.69145,0.33212043969102795,0.13283999999999999
half_facebook,balance,"Balance (0.8, 0.8)",0.00004333333333333334,0.000015275252316519466,0.10195333333333334,0.47848666666666667,0.6479866666666667,0.3335471264367816,0.13567666666666667
half_facebook,certainty_high,"Certainty high (0.9, 0.5)",0.00005,0.000026457513110645912,0.10262666666666666,0.4788766666666667,0.55857,0.3426872909698997,0.16695333333333337
half_facebook,effective_high,"Effectiveness high (0.5, 0.9)",0.00006,0.00003,0.10164333333333332,0.4773833333333333,0.6410733333333333,0.3281488536155203,0.12369666666666668
original,balance,"Balance (0.8, 0.8)",0.000060000000000000015,0.000050000000000000016,0.11334333333333334,0.43027666666666664,0.6209433333333333,0.3373952380952381,0.11341333333333332
original,certainty_high,"Certainty high (0.9, 0.5)",0.00006333333333333333,0.00001527525231651947,0.11449333333333334,0.43101666666666666,0.55574,0.3443146853146853,0.14706333333333332
original,effective_high,"Effectiveness high (0.5, 0.9)",0.00004333333333333334,5.773502691896257e-6,0.11267333333333333,0.43046999999999996,0.6616266666666667,0.32984901098901104,0.10167333333333334
random,balance,"Balance (0.8, 0.8)",0.00004,0.00002,0.11208333333333333,0.4356933333333333,0.5903299999999999,0.3237665610514581,0.12429333333333333
random,certainty_high,"Certainty high (0.9, 0.5)",0.00006666666666666667,5.77350269189626e-6,0.11315333333333333,0.43747,0.5282966666666667,0.3453241379310345,0.16198
random,effective_high,"Effectiveness high (0.5, 0.9)",0.000023333333333333332,0.00003214550253664318,0.11160000000000002,0.4368533333333333,0.6518033333333334,0.3277632255181275,0.11227
