network,strategy,misinformation,corrective,observational,behavior-guiding
lfrrustpool_mu02_original_seed3,balance,0.29414999999999997,0.51398,0.27248275862068966,0.12496
lfrrustpool_mu02_original_seed3,certainty_high,0.29276,0.5026,0.3419166666666667,0.15750999999999998
lfrrustpool_mu02_original_seed3,effective_high,0.29467000000000004,0.50601,0.32939999999999997,0.11606999999999999
lfrrustpool_mu02_original_seed4,balance,0.2762,0.56125,0.31663636363636366,0.15098
lfrrustpool_mu02_original_seed4,certainty_high,0.27816,0.49586,0.33870833333333333,0.1867
lfrrustpool_mu02_original_seed4,effective_high,0.27759,0.53965,0.30895833333333333,0.1409
lfrrustpool_mu02_original_seed5,balance,0.35151,0.45210000000000006,0.3108,0.13579
lfrrustpool_mu02_original_seed5,certainty_high,0.35358999999999996,0.43656,0.32865384615384613,0.16842
lfrrustpool_mu02_original_seed5,effective_high,0.34912,0.48362,0.32680000000000003,0.12305
lfrrustpool_mu02_random_seed3,balance,0.30627,0.47997000000000006,0.31976190476190475,0.14821
lfrrustpool_mu02_random_seed3,certainty_high,0.30391,0.43906,0.32915151515151514,0.18712
lfrrustpool_mu02_random_seed3,effective_high,0.30276,0.51564,0.29725,0.1366
lfrrustpool_mu02_random_seed4,balance,0.32444,0.49968,0.3083703703703704,0.14332
lfrrustpool_mu02_random_seed4,certainty_high,0.32625,0.44223,0.31677142857142854,0.18009
lfrrustpool_mu02_random_seed4,effective_high,0.32463000000000003,0.51213,0.2958076923076923,0.12794
lfrrustpool_mu02_random_seed5,balance,0.32539999999999997,0.51464,0.31109375,0.14336000000000002
lfrrustpool_mu02_random_seed5,certainty_high,0.32395999999999997,0.47066,0.3245882352941176,0.17899
lfrrustpool_mu02_random_seed5,effective_high,0.32256,0.5357000000000001,0.32012,0.12966999999999998
lfrrustpool_mu02_rust_target_seed3,balance,0.35395,0.41788000000000003,0.29424,0.18628
lfrrustpool_mu02_rust_target_seed3,certainty_high,0.35393,0.38771,0.3488965517241379,0.21132
lfrrustpool_mu02_rust_target_seed3,effective_high,0.35473000000000005,0.41636,0.30675,0.17882
lfrrustpool_mu02_rust_target_seed4,balance,0.31616000000000005,0.4913,0.3193333333333333,0.19085
lfrrustpool_mu02_rust_target_seed4,certainty_high,0.32068,0.44889,0.34572727272727277,0.21072
lfrrustpool_mu02_rust_target_seed4,effective_high,0.31660000000000005,0.49817,0.3092068965517241,0.18229
lfrrustpool_mu02_rust_target_seed5,balance,0.36158999999999997,0.4041,0.32785714285714285,0.18977000000000002
lfrrustpool_mu02_rust_target_seed5,certainty_high,0.36299000000000003,0.39992,0.32371428571428573,0.21377000000000002
lfrrustpool_mu02_rust_target_seed5,effective_high,0.36054,0.43109,0.30688888888888893,0.17677
