contrast,metric,seed_count,mean_diff,std_diff,min_diff,max_diff,positive_seed_count,negative_seed_count,zero_seed_count
certainty_high_minus_balance,peak_mean_selfish_ratio,10,9.804407031443057e-05,0.0001745406438469128,-0.00021787571180985343,0.00033671700916068636,7,3,0
certainty_high_minus_balance,mean_total_shared_ratio_misinformation,10,6.932409012117002e-06,0.0015346201926572014,-0.0021985640009903884,0.0022134191631592026,5,5,0
certainty_high_minus_balance,mean_total_shared_ratio_corrective,10,-0.001382025253775665,0.009030322327749822,-0.014355038375835572,0.015070562020302047,6,4,0
certainty_high_minus_balance,mean_total_shared_ratio_observational,10,0.0069441597763590605,0.02009572661047642,-0.03785110101879806,0.032203559157859996,6,4,0
certainty_high_minus_balance,mean_total_shared_ratio_behavior_guiding,10,0.013145085417182473,0.0008810415183557214,0.011099282000495148,0.014228769497400373,10,0,0
certainty_high_minus_balance,mean_total_fst_viewed_ratio_misinformation,10,-0.0015635058182716932,0.008114345535689762,-0.015097796484278003,0.011943550383758161,5,5,0
certainty_high_minus_balance,mean_total_fst_viewed_ratio_corrective,10,-0.04117256746719509,0.0581670613672311,-0.13506808615994093,0.060307006684822806,2,8,0
certainty_high_minus_balance,mean_total_fst_viewed_ratio_observational,10,0.01702195888571259,0.06177345781535461,-0.12047077014681157,0.08787566837370725,6,4,0
certainty_high_minus_balance,mean_total_fst_viewed_ratio_behavior_guiding,10,0.060226788809111295,0.007743872502318809,0.04458529338945283,0.0703614756127755,10,0,0
effective_high_minus_balance,peak_mean_selfish_ratio,10,-0.00018098539242386303,0.00011300975957101482,-0.0003094825451844391,3.46620450606544e-05,1,9,0
effective_high_minus_balance,mean_total_shared_ratio_misinformation,10,0.0001124040604109866,0.001137817119965076,-0.001289923248328828,0.00184699182966086,5,5,0
effective_high_minus_balance,mean_total_shared_ratio_corrective,10,0.012178757118098548,0.012879955156463565,-0.001317157712305006,0.03665016093092349,9,1,0
effective_high_minus_balance,mean_total_shared_ratio_observational,10,0.001426690049941086,0.02187103748105476,-0.03298031183664189,0.03596290335891722,5,5,0
effective_high_minus_balance,mean_total_shared_ratio_behavior_guiding,10,-0.004874226293637038,0.0009273903363345554,-0.006516464471403832,-0.003629611289923229,0,10,0
effective_high_minus_balance,mean_total_fst_viewed_ratio_misinformation,10,-0.0016083188908145197,0.005048815502843707,-0.008759593958900247,0.009108690269868713,2,8,0
effective_high_minus_balance,mean_total_fst_viewed_ratio_corrective,10,0.07318717504332742,0.09256080960265715,-0.03328299083931663,0.30190888833869733,9,1,0
effective_high_minus_balance,mean_total_fst_viewed_ratio_observational,10,0.004793328263569996,0.06156209364065971,-0.08855938158284593,0.10741855451019228,5,5,0
effective_high_minus_balance,mean_total_fst_viewed_ratio_behavior_guiding,10,-0.028406783857390393,0.008020775533380797,-0.039695469175538456,-0.015578113394404625,0,10,0
