network,variant,strategy,seed_count,peak_mean_selfish_ratio_mean,peak_mean_selfish_ratio_std,peak_mean_selfish_ratio_min,peak_mean_selfish_ratio_max,mean_total_shared_ratio_misinformation_mean,mean_total_shared_ratio_misinformation_std,mean_total_shared_ratio_misinformation_min,mean_total_shared_ratio_misinformation_max,mean_total_shared_ratio_corrective_mean,mean_total_shared_ratio_corrective_std,mean_total_shared_ratio_corrective_min,mean_total_shared_ratio_corrective_max,mean_total_shared_ratio_observational_mean,mean_total_shared_ratio_observational_std,mean_total_shared_ratio_observational_min,mean_total_shared_ratio_observational_max,mean_total_shared_ratio_behavior_guiding_mean,mean_total_shared_ratio_behavior_guiding_std,mean_total_shared_ratio_behavior_guiding_min,mean_total_shared_ratio_behavior_guiding_max,mean_total_fst_viewed_ratio_misinformation_mean,mean_total_fst_viewed_ratio_misinformation_std,mean_total_fst_viewed_ratio_misinformation_min,mean_total_fst_viewed_ratio_misinformation_max,mean_total_fst_viewed_ratio_corrective_mean,mean_total_fst_viewed_ratio_corrective_std,mean_total_fst_viewed_ratio_corrective_min,mean_total_fst_viewed_ratio_corrective_max,mean_total_fst_viewed_ratio_observational_mean,mean_total_fst_viewed_ratio_observational_std,mean_total_fst_viewed_ratio_observational_min,mean_total_fst_viewed_ratio_observational_max,mean_total_fst_viewed_ratio_behavior_guiding_mean,mean_total_fst_viewed_ratio_behavior_guiding_std,mean_total_fst_viewed_ratio_behavior_guiding_min,mean_total_fst_viewed_ratio_behavior_guiding_max
fbdeg_original,original,balance,5,0.06716464471403813,0.0008642426720144146,0.0656944788313939,0.06784600148551621,0.3493706362961129,0.004213668996802857,0.3447140381282496,0.3549418172815053,0.34684624907155237,0.016879676256880884,0.3338375835602872,0.37589254766031194,0.1429027144633134,0.014074664472567158,0.12665263679128497,0.16339499404614533,0.23562119336469425,0.004208370769451451,0.22895023520673435,0.23983411735578114,2.1931190888833867,0.019925896880282744,2.1676206981926223,2.214154493686556,3.5734870017331026,0.20571268409714202,3.378999752413964,3.9047660311958405,0.41099632429981436,0.04428395967309912,0.35674671948502107,0.4730111570913749,2.1651017578608567,0.02702134243054726,2.119641000247586,2.1878484773458777
fbdeg_original,original,certainty_high,5,0.06730774944293141,0.0007396663389627978,0.06603119584055459,0.06777172567467195,0.3492592225798465,0.0031204708179761167,0.34547660311958406,0.3536741767764298,0.34483585045803417,0.010439647224864013,0.33552612032681356,0.36153750928447637,0.14343838262598096,0.019949934740943653,0.11091854419410745,0.16232858660319946,0.24841445902451104,0.0037282419167118798,0.24202772963604852,0.25120079227531567,2.189639019559297,0.012268705447570834,2.179056697202278,2.206449616241644,3.5366154988858627,0.1793909189336689,3.325607823718742,3.796954691755385,0.4123693259404437,0.05830733950031732,0.31331474643960516,0.46146443147058114,2.225150779896014,0.02468228653778296,2.184132210943303,2.249492448625898
fbdeg_original,original,effective_high,5,0.06701460757613271,0.0008475264569007753,0.06552859618717505,0.0675835602871998,0.3490854171824709,0.00437165209708142,0.34363703887100766,0.3555236444664521,0.3584273334983907,0.032185118223708724,0.33527358256994305,0.41254270859123543,0.1378280791565007,0.017482423673665086,0.10824925724189156,0.15202216980927188,0.2309126021292399,0.004311158140494288,0.22405050755137412,0.2357563753404308,2.1893325080465464,0.018550963523590536,2.1664100024758604,2.2069621193364695,3.651640505075514,0.33480524848739907,3.3457167615746473,4.206674919534538,0.397899908756412,0.050556223411192834,0.3130454629858876,0.43886579533756404,2.1381955929685565,0.02768450536174629,2.0899925724189155,2.161020054468928
fbdeg_rewire_0p1,rewire_0p1,balance,5,0.10717801435999011,0.0006429504754931141,0.10619955434513494,0.10785838078732359,0.6692334736320872,0.0019186229350114487,0.6672171329537013,0.6715375092844764,2.318742758108443,0.160154357375317,2.1165139886110422,2.521906412478336,0.26067876086112773,0.0120037736322816,0.24834451400433077,0.27352714023346997,0.07345976726912602,0.0019167154065134152,0.07188660559544442,0.07670462985887597,6.441246843278039,0.03812871136011646,6.413481059668235,6.508266897746967,22.027585045803416,1.082841391728765,20.63501609309235,23.359841544936863,0.8489157338959716,0.03967636900975522,0.7974791239955885,0.8913396112045487,1.5437222084674425,0.030219681514495115,1.51541965833127,1.5917380539737558
fbdeg_rewire_0p1,rewire_0p1,certainty_high,5,0.10777865808368407,0.001045636177235454,0.10624907155236445,0.10873235949492449,0.6676395147313692,0.002134499368613628,0.6653503342411488,0.6702401584550631,2.0326452092102008,0.11024415657231419,1.903857390443179,2.1808195097796483,0.26279802860657825,0.014319056506873968,0.2453434090085435,0.28417074152017824,0.096406041099282,0.0018023409783648112,0.09458776924981431,0.09865560782371875,6.434981926219362,0.036648264656826995,6.41155979202773,6.499690517454815,20.12689774696707,0.8253021185328037,19.205229017083436,20.986627878187672,0.8615978683772484,0.05862992056255769,0.7665478971333842,0.92515938351077,1.8106991829660806,0.028884492115719432,1.7793463728645704,1.8407823718742262
fbdeg_rewire_0p1,rewire_0p1,effective_high,5,0.106924486258975,0.0008118847850918568,0.10588016835850457,0.10782371874226293,0.6694478831393911,0.002091290967347122,0.6666897746967072,0.6718494676900223,2.3968908145580587,0.25412661714483703,2.0135107699925725,2.6331542461005197,0.2606012581153753,0.017452382921294536,0.2421576199221767,0.2828244924486259,0.0659306759098787,0.001560089299142282,0.06414459024511017,0.06830155979202773,6.437400346620452,0.03711042504786865,6.409707848477346,6.502069819262194,22.718715523644466,1.546113842911146,20.306308492201037,24.189319138400595,0.8712520148462704,0.07715988290491894,0.7898253225085269,0.9692645147313691,1.4599608814062885,0.027588195130193956,1.4260212923991087,1.5024585293389454
fbdeg_rewire_1p0,rewire_1p0,balance,5,0.12164496162416438,0.0007897695736721129,0.1206189650903689,0.12265412230750185,0.8340539737558801,0.004040881193500647,0.8276380292151523,0.8376479326565982,2.744672938846249,0.1955877622199075,2.5142956177271603,2.9620079227531564,0.2748648910406028,0.007463698401942136,0.26338810631431264,0.28185637792715057,0.04090765040851696,0.001196056596183666,0.03911611785095321,0.04206981926219361,9.024614508541719,0.0943145788530371,8.879856400099033,9.134097548898243,28.962484278286706,1.325326466718063,27.10390938351077,30.22511760336717,0.9577261417667071,0.04659254633468935,0.9072681704260652,1.0064741900795602,1.3975003713790541,0.034802712287321166,1.353899480069324,1.4436816043575142
fbdeg_rewire_1p0,rewire_1p0,certainty_high,5,0.12247041346868037,0.000922136509943358,0.12146323347363208,0.12388710076751672,0.8319326565981677,0.0048903370975315495,0.8251695964347611,0.8360138648180242,2.64517801435999,0.2415122933149295,2.4696236692250557,3.0570487744491213,0.2864561632641511,0.0076119939405845825,0.27600341118538696,0.29745875153154183,0.0613904431790047,0.001753221737876381,0.05878682842287695,0.06302054964100025,9.020145580589254,0.09067060877716712,8.877531567219608,9.119180490220351,27.806546669967815,1.6432329383947195,26.258794256003963,30.468341173557814,0.9821901787515414,0.024154184441573114,0.9586679132192467,1.011727960081513,1.7645100272344638,0.04046461299491606,1.718177766773954,1.8138549145828176
fbdeg_rewire_1p0,rewire_1p0,effective_high,5,0.12137261698440208,0.0010453814271250224,0.11998266897746968,0.12264669472641743,0.8349690517454815,0.0045241540075154985,0.8281505323099777,0.8388561525129983,3.015404803169101,0.24378533151603107,2.7788586283733596,3.314315424610052,0.2820069157470636,0.0106642164589885,0.2709484168699443,0.2989339851936576,0.03532953701411241,0.0013437304161013064,0.03330032186184699,0.03669472641743006,9.029357266650162,0.09041236663849339,8.888729883634564,9.131864322852191,30.963488982421392,1.3110154623702175,29.83382520425848,32.70201287447388,0.987768711603396,0.056379272622852285,0.9376839701796374,1.0708215863076935,1.293313691507799,0.03878046514048609,1.2480341668729884,1.3432631839564249
fbdeg_rewire_5p0,rewire_5p0,balance,5,0.1219593958900718,0.0011134940786616206,0.12002971032433771,0.1228719980193117,0.8422069819262195,0.0031688375145571,0.8377494429314187,0.8455087893042833,2.884948254518445,0.24268185745833304,2.518437732111909,3.193258232235702,0.2746050636203713,0.008047184466888244,0.2655189488692148,0.2828568993298942,0.0396548650656103,0.0015032872826246004,0.03832879425600396,0.041426095568209954,9.172732359494924,0.09743127677276527,9.025075513741024,9.280591730626393,30.009115622678884,1.5375482018667856,27.840901213171577,32.006853181480565,0.9682510623762972,0.05384834472647908,0.9059890703323753,1.0157079585155842,1.4000099034414457,0.03529517691622592,1.3660930923495913,1.4394132210943302
