trial,state,auc,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec,network,method,rep,run_dir,best_so_far
0,TrialState.COMPLETE,0.0213498664553335,auc,optseed1,4202,0.8742579332046585,0.9845082456161168,5e-05,0.0213498664553335,0.09544,0.0004566666666666,1258,100,12.58,8,23,11.58,7,22,False,5.451121542020701,5.384486619965173,0.0143901669653132,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0213498664553335
1,TrialState.COMPLETE,0.0221744116784058,auc,optseed1,4202,0.8030626050964527,0.7703808952280999,8e-05,0.0221744116784058,0.09751,0.0004366666666666,1267,100,12.67,9,24,11.67,8,23,False,5.449099118937738,5.379755435977131,0.0124571939231827,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0213498664553335
2,TrialState.COMPLETE,0.0223862377654165,auc,optseed1,4202,0.830595804520376,0.6987322337778958,9e-05,0.0223862377654165,0.0974,0.0006633333333333,1273,100,12.73,9,22,11.73,8,21,False,5.646408934961073,5.580851595965214,0.0118538870010524,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0213498664553335
3,TrialState.COMPLETE,0.0222316185688064,auc,optseed1,4202,0.7718947127581575,0.5999762501027128,7.000000000000001e-05,0.0222316185688064,0.09798,0.00061,1309,100,13.09,8,25,12.09,7,24,False,5.297720844042487,5.237895970931277,0.0119446089956909,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0213498664553335
4,TrialState.COMPLETE,0.0218426696038739,auc,optseed1,4202,0.7873898929795423,0.8229371682829063,8e-05,0.0218426696038739,0.09682,0.0006133333333333,1293,100,12.93,9,22,11.93,8,21,False,5.5750170479295775,5.51011177606415,0.012376083061099,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0213498664553335
5,TrialState.COMPLETE,0.0223166852213833,auc,optseed1,4202,0.6869889462288848,0.710060365006258,0.00012,0.0223166852213833,0.0971799999999999,0.00066,1270,100,12.7,9,22,11.7,8,21,False,5.663180529023521,5.588030527927913,0.0175001230090856,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0213498664553335
6,TrialState.COMPLETE,0.0210633178642393,auc,optseed1,4202,0.7631859945247923,0.921790255085007,2e-05,0.0210633178642393,0.0974599999999999,0.0002866666666666,1365,100,13.65,9,22,12.65,8,21,False,5.951276337960735,5.8876229100860655,0.0118819969939067,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0210633178642393
7,TrialState.COMPLETE,0.0225103286841297,auc,optseed1,4202,0.7744890226332475,0.7479396060594576,9e-05,0.0225103286841297,0.09755,0.0007333333333333,1265,100,12.65,8,26,11.65,7,25,False,5.474074427969754,5.403485600021668,0.011946607963182,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0210633178642393
8,TrialState.COMPLETE,0.0214883040913764,auc,optseed1,4202,0.847986191914355,0.8481375502552957,5e-05,0.0214883040913764,0.09757,0.00035,1309,100,13.09,9,22,12.09,8,21,False,6.034821016015485,5.965441531036049,0.0123303530272096,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0210633178642393
9,TrialState.COMPLETE,0.0213143393829682,auc,optseed1,4202,0.8284768359982428,0.9865340027421068,5e-05,0.0213143393829682,0.0952799999999999,0.00042,1264,100,12.64,9,22,11.64,8,21,False,5.542507660924457,5.481248131021857,0.0118814980378374,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0210633178642393
10,TrialState.COMPLETE,0.0225756309182524,auc,optseed1,4202,0.8587106317586668,0.7291329949882354,8e-05,0.0225756309182524,0.0974599999999999,0.0007366666666666,1277,100,12.77,8,25,11.77,7,24,False,5.62088575900998,5.554799302946776,0.0123472429113462,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0210633178642393
11,TrialState.COMPLETE,0.0209207236153079,auc,optseed1,4202,0.7750399126232481,0.957529196179414,7.000000000000001e-05,0.0209207236153079,0.09554,0.0004033333333333,1340,100,13.4,9,22,12.4,8,21,False,6.06965196901001,6.0098491159733385,0.0118734069401398,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0209207236153079
12,TrialState.COMPLETE,0.0223239443858515,auc,optseed1,4202,0.6854770895305663,0.7357247124844077,7.000000000000001e-05,0.0223239443858515,0.0972699999999999,0.0006566666666666,1275,100,12.75,8,21,11.75,7,20,False,5.555187018006109,5.488704596995376,0.0119394690264016,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0209207236153079
13,TrialState.COMPLETE,0.0219970784104096,auc,optseed1,4202,0.6093459779590766,0.7700321247283674,8e-05,0.0219970784104096,0.09744,0.0004766666666666,1275,100,12.75,9,26,11.75,8,25,False,5.52963726199232,5.458732409984805,0.0123274230863899,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0209207236153079
14,TrialState.COMPLETE,0.0225848183398558,auc,optseed1,4202,0.9004920744443219,0.736058685707889,9e-05,0.0225848183398558,0.09719,0.0007599999999999,1263,100,12.63,8,20,11.63,7,19,False,5.537738046026789,5.4684161930345,0.0119454279774799,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0209207236153079
15,TrialState.COMPLETE,0.0225155106887007,auc,optseed1,4202,0.7438883333533509,0.6466087112961328,7.000000000000001e-05,0.0225155106887007,0.0973699999999999,0.0005066666666666,1256,100,12.56,9,20,11.56,8,19,False,5.538846879033372,5.469114989973605,0.0172095090383663,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0209207236153079
16,TrialState.COMPLETE,0.0225168601498316,auc,optseed1,4202,0.6364429324633145,0.5700708335520883,5e-05,0.0225168601498316,0.09774,0.0007166666666666,1321,100,13.21,9,26,12.21,8,25,False,5.426729188999161,5.362817749031819,0.0119032079819589,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0209207236153079
17,TrialState.COMPLETE,0.0214026386466056,auc,optseed1,4202,0.8176344989431734,0.8916771152083012,3e-05,0.0214026386466056,0.09729,0.0004266666666666,1310,100,13.1,9,24,12.1,8,23,False,5.952192477998324,5.890735546010546,0.0120475200237706,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0209207236153079
18,TrialState.COMPLETE,0.0215578142329806,auc,optseed1,4202,0.7484182512729536,0.8873560220649968,5e-05,0.0215578142329806,0.09732,0.00047,1312,100,13.12,9,21,12.12,8,20,False,5.940378401079215,5.870596822933294,0.0193733141059055,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0209207236153079
19,TrialState.COMPLETE,0.0213597834402869,auc,optseed1,4202,0.6818729856037313,0.9237352330084836,4e-05,0.0213597834402869,0.0972,0.00033,1355,100,13.55,10,21,12.55,9,20,False,5.8312727470183745,5.76169801002834,0.0124674050603061,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0209207236153079
20,TrialState.COMPLETE,0.0216379141130197,auc,optseed1,4202,0.7819410030466218,0.9000901376492878,3e-05,0.0216379141130197,0.09704,0.0004466666666666,1285,100,12.85,9,21,11.85,8,20,False,5.792508558020927,5.73092226497829,0.0122760320082306,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0209207236153079
21,TrialState.COMPLETE,0.0215588844072594,auc,optseed1,4202,0.795483424863819,0.8401428050060602,5e-05,0.0215588844072594,0.09716,0.0004733333333333,1303,100,13.03,9,21,12.03,8,20,False,5.900294536957517,5.8386233219644055,0.0120554789900779,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0209207236153079
22,TrialState.COMPLETE,0.0213532906807674,auc,optseed1,4202,0.7652108799967012,0.9057259681819724,7.000000000000001e-05,0.0213532906807674,0.0972799999999999,0.0004199999999999,1360,100,13.6,9,30,12.6,8,29,False,6.3139742609346285,6.230365661904216,0.0188703179592266,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0209207236153079
23,TrialState.COMPLETE,0.0210514578834907,auc,optseed1,4202,0.8373976452131129,0.9390154229696432,3e-05,0.0210514578834907,0.09623,0.00036,1343,100,13.43,8,26,12.43,7,25,False,5.805393717018887,5.737853024969809,0.015153705026023,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0209207236153079
24,TrialState.COMPLETE,0.0215438655215613,auc,optseed1,4202,0.838023026821167,0.9022162015657104,4e-05,0.0215438655215613,0.09714,0.0003833333333333,1309,100,13.09,9,22,12.09,8,21,False,5.936068600974977,5.86231909703929,0.019556216080673,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0209207236153079
25,TrialState.COMPLETE,0.0217204873593468,auc,optseed1,4202,0.8473579619510432,0.853828740652705,3e-05,0.0217204873593468,0.09753,0.0004366666666666,1321,100,13.21,9,22,12.21,8,21,False,5.868698141071945,5.794745953055099,0.0178875980200245,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0209207236153079
26,TrialState.COMPLETE,0.0218574789755823,auc,optseed1,4202,0.8207919254514346,0.8026418698358682,5e-05,0.0218574789755823,0.09701,0.0004933333333333,1231,100,12.31,9,25,11.31,8,24,False,5.163510579033755,5.104225412942469,0.0119120480958372,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0209207236153079
27,TrialState.COMPLETE,0.0208916027430097,auc,optseed1,4202,0.9369269613860032,0.9720796377860286,3e-05,0.0208916027430097,0.09548,0.00043,1361,100,13.61,9,23,12.61,8,22,False,5.60427479702048,5.536636073025875,0.0141253339825198,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0208916027430097
