network,certainty_bin,auc_mean,auc_std,auc_min,n,mid
BA1000,"(0.499, 0.55]",0.021067672900527627,0.0006768426742308059,0.0204644378774819,242,0.5245
BA1000,"(0.55, 0.6]",0.022014296474443338,0.0008636334660007166,0.0203789103922822,61,0.575
BA1000,"(0.6, 0.65]",0.021986694427530606,0.0007523540923762385,0.0204274741413986,68,0.625
BA1000,"(0.65, 0.7]",0.02183380376592234,0.000736070183910167,0.0203589207705778,87,0.675
BA1000,"(0.7, 0.75]",0.02151113580935033,0.0006916750011619027,0.0203995202842822,146,0.725
BA1000,"(0.75, 0.8]",0.021690489484300475,0.0008009783828816616,0.0204089821509012,130,0.775
BA1000,"(0.8, 0.85]",0.02152081125819249,0.0006355002950078618,0.0204388667892247,119,0.825
BA1000,"(0.85, 0.9]",0.02160590254054461,0.0008030444494001244,0.0204038914547354,115,0.875
BA1000,"(0.9, 0.95]",0.021529200431423128,0.0007825433319346121,0.0203622797465374,120,0.925
BA1000,"(0.95, 1.0]",0.021528708640494783,0.0007824255350218385,0.0206263257977757,112,0.975
Facebook,"(0.499, 0.55]",0.01652810596749696,0.00022435452978110214,0.0160098861466234,123,0.5245
Facebook,"(0.55, 0.6]",0.0164648406863715,0.0002530568190241414,0.0159437296111147,81,0.575
Facebook,"(0.6, 0.65]",0.016566450488374858,0.00024390036999935732,0.0159261380625246,87,0.625
Facebook,"(0.65, 0.7]",0.01654920385917527,0.00022403565140245908,0.0161204258672905,117,0.675
Facebook,"(0.7, 0.75]",0.01648790522738965,0.00023450519444988434,0.0159621261133941,170,0.725
Facebook,"(0.75, 0.8]",0.01655184507730876,0.00022815887053392734,0.0159562770103009,152,0.775
Facebook,"(0.8, 0.85]",0.01648663469462484,0.0002576170275909659,0.0158832618535734,123,0.825
Facebook,"(0.85, 0.9]",0.016486504350416084,0.00029128330654289896,0.0158747002150295,118,0.875
Facebook,"(0.9, 0.95]",0.016505152060867674,0.0002695326873902065,0.0158835493113189,98,0.925
Facebook,"(0.95, 1.0]",0.0164606092177485,0.00024925630872341586,0.0159445163168619,131,0.975
Wiki-vote,"(0.499, 0.55]",0.006562275953166201,0.0003034689575555631,0.0062091532867749,142,0.5245
Wiki-vote,"(0.55, 0.6]",0.006694106234892248,0.0003502514328087818,0.0062083862010582,69,0.575
Wiki-vote,"(0.6, 0.65]",0.006742434711294652,0.00031317327217993314,0.0062092914128605,75,0.625
Wiki-vote,"(0.65, 0.7]",0.006682946347830016,0.00030621130823788094,0.0062580159446222,88,0.675
Wiki-vote,"(0.7, 0.75]",0.00659472573721899,0.00028399714835788557,0.0062134409711643,110,0.725
Wiki-vote,"(0.75, 0.8]",0.006565625056328403,0.0002922020943834405,0.0061790730153185,166,0.775
Wiki-vote,"(0.8, 0.85]",0.006528314413023812,0.00027399160088044557,0.0062030457933705,124,0.825
Wiki-vote,"(0.85, 0.9]",0.006625116745186344,0.000316055884723314,0.0062058658315612,110,0.875
Wiki-vote,"(0.9, 0.95]",0.006533700113378471,0.00028710895395718945,0.0061626198042406,123,0.925
Wiki-vote,"(0.95, 1.0]",0.006469051793251714,0.00027625591433560906,0.00614150446487,193,0.975
