network,effectiveness_bin,auc_mean,auc_std,auc_min,n,mid
BA1000,"(0.499, 0.55]",0.0229834469269484,0.00031495843225949356,0.0224067603286638,60,0.5245
BA1000,"(0.55, 0.6]",0.022683686839887036,0.00022371154213793028,0.0220739160725755,62,0.575
BA1000,"(0.6, 0.65]",0.022614790658388416,0.0002110483417948483,0.0220937230002225,60,0.625
BA1000,"(0.65, 0.7]",0.02251042409728648,0.0001911528846559015,0.022053132494179,53,0.675
BA1000,"(0.7, 0.75]",0.022451458033805417,0.0001742246286105925,0.0219751462997693,71,0.725
BA1000,"(0.75, 0.8]",0.02209232556643039,0.0001897764467995992,0.0216484522946094,80,0.775
BA1000,"(0.8, 0.85]",0.02166515248982028,0.00031851309585584115,0.0210964415006647,87,0.825
BA1000,"(0.85, 0.9]",0.021447241329497286,0.00023401513680763612,0.0209451773540992,95,0.875
BA1000,"(0.9, 0.95]",0.02119093472720494,0.0003354640758884802,0.0204038914547354,144,0.925
BA1000,"(0.95, 1.0]",0.02083201559917186,0.00022571896853653263,0.0203589207705778,488,0.975
Facebook,"(0.499, 0.55]",0.016516777748313276,0.0001553406706520249,0.0161730219577213,79,0.5245
Facebook,"(0.55, 0.6]",0.016869118779630432,0.0001817062191304648,0.0163751197916726,70,0.575
Facebook,"(0.6, 0.65]",0.01666061354750257,0.00012238866497372164,0.0163229046241485,64,0.625
Facebook,"(0.65, 0.7]",0.01658764089926256,0.0001440658711957356,0.0162765030732198,70,0.675
Facebook,"(0.7, 0.75]",0.016626339977231976,0.0001804656703261669,0.0162055660730288,91,0.725
Facebook,"(0.75, 0.8]",0.01654989858749745,0.00018277617791991234,0.0161143491991477,100,0.775
Facebook,"(0.8, 0.85]",0.016660739822720858,0.00019217390884480596,0.0162514140059444,101,0.825
Facebook,"(0.85, 0.9]",0.016593534590153926,0.0002438681784788172,0.0161474809164969,149,0.875
Facebook,"(0.9, 0.95]",0.01634089993471028,0.0001658090256168992,0.0159562770103009,211,0.925
Facebook,"(0.95, 1.0]",0.016324203240327018,0.00021421601851964682,0.0158747002150295,265,0.975
Wiki-vote,"(0.499, 0.55]",0.007081026106105405,9.209376152070256e-05,0.0068727286019313,62,0.5245
Wiki-vote,"(0.55, 0.6]",0.0070655940189638155,6.830871547218829e-05,0.0068968745185516,65,0.575
Wiki-vote,"(0.6, 0.65]",0.007090890070372668,7.671007896011388e-05,0.0069321992284983,58,0.625
Wiki-vote,"(0.65, 0.7]",0.007014228285340862,8.09520604658412e-05,0.0068260101590086,53,0.675
Wiki-vote,"(0.7, 0.75]",0.006880109363024876,8.841384249449803e-05,0.0067330947891471,76,0.725
Wiki-vote,"(0.75, 0.8]",0.0067896528469301625,6.734838396239755e-05,0.0065943476318281,78,0.775
Wiki-vote,"(0.8, 0.85]",0.006619177213192382,6.098815623942356e-05,0.0064645418141594,85,0.825
Wiki-vote,"(0.85, 0.9]",0.006501821555812821,7.691063830122693e-05,0.0063015637457399,105,0.875
Wiki-vote,"(0.9, 0.95]",0.006364722206247727,8.639781561777614e-05,0.0061626198042406,204,0.925
Wiki-vote,"(0.95, 1.0]",0.006318258656917757,6.61062111501493e-05,0.00614150446487,414,0.975
