network,method,info_name,avg_shared_ratio,std_shared_ratio,n_runs
BA1000,GPR,misinformation,0.4414833333333333,0.000913582691021086,3
BA1000,GPR,corrective,0.7544033333333333,0.01837380290885189,3
BA1000,GPR,observational,0.05833666666666667,0.007535265976283336,3
BA1000,GPR,behavior-guiding,0.11764333333333332,0.005271976226552362,3
BA1000,CMAES,misinformation,0.4419199999999999,0.001420598465436345,3
BA1000,CMAES,corrective,0.7651266666666666,0.03344188142633926,3
BA1000,CMAES,observational,0.05966,0.010314567368532717,3
BA1000,CMAES,behavior-guiding,0.11758333333333333,0.003604529557838769,3
BA1000,RANDOM,misinformation,0.44202666666666673,0.0007953825075605486,3
BA1000,RANDOM,corrective,0.75137,0.0384452636874817,3
BA1000,RANDOM,observational,0.05502666666666667,0.007636310191010663,3
BA1000,RANDOM,behavior-guiding,0.11676666666666667,0.003329299225562841,3
BA1000,GA,misinformation,0.44284666666666667,0.0010625127450215961,3
BA1000,GA,corrective,0.7409166666666667,0.029505752546466826,3
BA1000,GA,observational,0.05562333333333333,0.006774395421979239,3
BA1000,GA,behavior-guiding,0.11573,0.0010966767983321257,3
Facebook,GPR,misinformation,0.3475629281175208,1.8909695861003776e-05,3
Facebook,GPR,corrective,0.3546636956342329,0.003848868339080238,3
Facebook,GPR,observational,0.08771230502599653,0.00038815774093946595,3
Facebook,GPR,behavior-guiding,0.2296187175043328,5.11611248323221e-05,3
Facebook,CMAES,misinformation,0.34706610547165145,0.00037635520698367736,3
Facebook,CMAES,corrective,0.345700255838904,0.008624328387940743,3
Facebook,CMAES,observational,0.08664273334983907,0.0026485145182396576,3
Facebook,CMAES,behavior-guiding,0.23136997606668316,0.0015104013140792368,3
Facebook,RANDOM,misinformation,0.34727985474952544,0.0005077526236640001,3
Facebook,RANDOM,corrective,0.33889246513163324,0.005327243982552525,3
Facebook,RANDOM,observational,0.08527853429066601,0.004471902110220941,3
Facebook,RANDOM,behavior-guiding,0.2315630931748783,0.0009584660600732318,3
Facebook,GA,misinformation,0.347761822233226,0.00032800244416422936,3
Facebook,GA,corrective,0.34494759428901545,0.010286237220248864,3
Facebook,GA,observational,0.08859618717504332,0.0012072148885454476,3
Facebook,GA,behavior-guiding,0.2302624411983164,0.0008977375442767089,3
Wiki-vote,GPR,misinformation,0.17457577887092998,7.856041640408639e-05,3
Wiki-vote,GPR,corrective,0.24330803466854065,0.016862623524283093,3
Wiki-vote,GPR,observational,0.016154134457718437,0.0014056052885176795,3
Wiki-vote,GPR,behavior-guiding,0.06871257905832748,0.0011685164057067736,3
Wiki-vote,CMAES,misinformation,0.17418224408526586,0.0007433047863562618,3
Wiki-vote,CMAES,corrective,0.21776715858514875,0.009598771603993137,3
Wiki-vote,CMAES,observational,0.011394706020145232,0.0011952058055196568,3
Wiki-vote,CMAES,behavior-guiding,0.07046474584211758,0.00031922171436014755,3
Wiki-vote,RANDOM,misinformation,0.17458608573436404,9.85942932244293e-05,3
Wiki-vote,RANDOM,corrective,0.2300576247364722,0.014939727382397973,3
Wiki-vote,RANDOM,observational,0.014457718435230733,0.0025650340618838924,3
Wiki-vote,RANDOM,behavior-guiding,0.07064417896462873,0.0006281988174431603,3
Wiki-vote,GA,misinformation,0.1742389318341532,0.0006585411452699486,3
Wiki-vote,GA,corrective,0.23063527758257205,0.017277658373878232,3
Wiki-vote,GA,observational,0.015457952682126961,0.004102813035680568,3
Wiki-vote,GA,behavior-guiding,0.07037713750292808,0.00042263956897124505,3
