network,info_name,avg_shared_ratio,std_shared_ratio,n_runs
BA1000,misinformation,0.4420691666666667,0.0010507093563470213,12
BA1000,corrective,0.7529541666666667,0.027801586108557114,12
BA1000,observational,0.057161666666666666,0.007251290585234819,12
BA1000,behavior-guiding,0.11693083333333333,0.0032101216582251287,12
Facebook,misinformation,0.3474176776429809,0.0004113384273720293,12
Facebook,corrective,0.3460510027234464,0.00867100226988724,12
Facebook,observational,0.08705743996038623,0.0026222887003792147,12
Facebook,behavior-guiding,0.23070355698605263,0.0011939304466043893,12
Wiki-vote,misinformation,0.17439576013117827,0.00046909840349044504,12
Wiki-vote,corrective,0.23044202389318344,0.01588455368586388,12
Wiki-vote,observational,0.014366127898805342,0.0029125713762095345,12
Wiki-vote,behavior-guiding,0.07004966034200047,0.0010154940647539462,12
