network,method,rep,sampler_seed,best_auc,certainty,effectiveness,info_label,info_name,mean_total_shared_ratio,mean_total_viewed_ratio,mean_total_fst_viewed_ratio,total_agents,run_dir
BA1000,GPR,optseed1,4201,0.020611549943950105,0.9350412373644952,0.9999999999999999,0,misinformation,0.44187,4.77327,2.45169,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/gpr_optseed1
BA1000,GPR,optseed1,4201,0.020611549943950105,0.9350412373644952,0.9999999999999999,1,corrective,0.7572300000000001,8.84025,5.38446,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/gpr_optseed1
BA1000,GPR,optseed1,4201,0.020611549943950105,0.9350412373644952,0.9999999999999999,2,observational,0.059340000000000004,0.59201,0.17221,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/gpr_optseed1
BA1000,GPR,optseed1,4201,0.020611549943950105,0.9350412373644952,0.9999999999999999,3,behavior-guiding,0.11401,1.6972,1.45873,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/gpr_optseed1
BA1000,GPR,optseed2,5201,0.020660806186404576,0.5,0.9999999999999999,0,misinformation,0.44214,4.77031,2.45073,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/gpr_optseed2
BA1000,GPR,optseed2,5201,0.020660806186404576,0.5,0.9999999999999999,1,corrective,0.73478,8.581700000000001,5.29858,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/gpr_optseed2
BA1000,GPR,optseed2,5201,0.020660806186404576,0.5,0.9999999999999999,2,observational,0.05035,0.50142,0.14547,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/gpr_optseed2
BA1000,GPR,optseed2,5201,0.020660806186404576,0.5,0.9999999999999999,3,behavior-guiding,0.11523,1.71128,1.46703,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/gpr_optseed2
BA1000,GPR,optseed3,6201,0.02062632579777576,0.9581297439405831,0.9346049723593363,0,misinformation,0.44044,4.76453,2.45081,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/gpr_optseed3
BA1000,GPR,optseed3,6201,0.02062632579777576,0.9581297439405831,0.9346049723593363,1,corrective,0.7712,8.99182,5.4421800000000005,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/gpr_optseed3
BA1000,GPR,optseed3,6201,0.02062632579777576,0.9581297439405831,0.9346049723593363,2,observational,0.06531999999999999,0.64548,0.20248,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/gpr_optseed3
BA1000,GPR,optseed3,6201,0.02062632579777576,0.9581297439405831,0.9346049723593363,3,behavior-guiding,0.12369,1.79259,1.52446,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/gpr_optseed3
BA1000,CMAES,optseed1,4202,0.02036227974653747,0.9355167595069338,0.9965880506041647,0,misinformation,0.44277,4.777010000000001,2.45107,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1
BA1000,CMAES,optseed1,4202,0.02036227974653747,0.9355167595069338,0.9965880506041647,1,corrective,0.74186,8.70658,5.32526,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1
BA1000,CMAES,optseed1,4202,0.02036227974653747,0.9355167595069338,0.9965880506041647,2,observational,0.053770000000000005,0.5333300000000001,0.16176,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1
BA1000,CMAES,optseed1,4202,0.02036227974653747,0.9355167595069338,0.9965880506041647,3,behavior-guiding,0.11531999999999999,1.7122899999999999,1.4684300000000001,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1
BA1000,CMAES,optseed2,5202,0.020480614208890528,0.7341905193486334,0.9970163093058111,0,misinformation,0.44271,4.77352,2.452,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed2
BA1000,CMAES,optseed2,5202,0.020480614208890528,0.7341905193486334,0.9970163093058111,1,corrective,0.75007,8.792819999999999,5.353800000000001,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed2
BA1000,CMAES,optseed2,5202,0.020480614208890528,0.7341905193486334,0.9970163093058111,2,observational,0.05364,0.53258,0.16185,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed2
BA1000,CMAES,optseed2,5202,0.020480614208890528,0.7341905193486334,0.9970163093058111,3,behavior-guiding,0.11569,1.71531,1.47089,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed2
BA1000,CMAES,optseed3,6202,0.020403891454735493,0.8763686440694214,0.9424193053760803,0,misinformation,0.44027999999999995,4.7538599999999995,2.44908,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed3
BA1000,CMAES,optseed3,6202,0.020403891454735493,0.8763686440694214,0.9424193053760803,1,corrective,0.80345,9.38214,5.585520000000001,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed3
BA1000,CMAES,optseed3,6202,0.020403891454735493,0.8763686440694214,0.9424193053760803,2,observational,0.07157,0.7135499999999999,0.21727000000000002,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed3
BA1000,CMAES,optseed3,6202,0.020403891454735493,0.8763686440694214,0.9424193053760803,3,behavior-guiding,0.12174,1.7766099999999998,1.51297,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed3
BA1000,RANDOM,optseed1,4203,0.02065905485888381,0.9125765842116024,0.999308877036269,0,misinformation,0.44192000000000004,4.77421,2.4523200000000003,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/random_optseed1
BA1000,RANDOM,optseed1,4203,0.02065905485888381,0.9125765842116024,0.999308877036269,1,corrective,0.74126,8.65541,5.31008,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/random_optseed1
BA1000,RANDOM,optseed1,4203,0.02065905485888381,0.9125765842116024,0.999308877036269,2,observational,0.05631,0.5610700000000001,0.16341,1000,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/random_optseed1
