network,method,auc_mean,auc_std,auc_min,auc_max,certainty_mean,effectiveness_mean,rank
BA1000,GPR,0.02063289397604348,2.527647284533239e-05,0.020611549943950105,0.020660806186404576,0.7977236604350262,0.9782016574531119,4.0
BA1000,CMAES,0.020415595136721164,6.002910439206151e-05,0.02036227974653747,0.020480614208890528,0.8486919743083295,0.9786745550953521,1.0
BA1000,RANDOM,0.020592706057143754,0.0001700154751363523,0.020399520284282283,0.020719543028265165,0.8662227633181413,0.9857218702705669,3.0
BA1000,GA,0.020563415336960097,0.00017968454604013246,0.020358920770577892,0.020696043787438913,0.7375428743357263,0.9963837530506506,2.0
Facebook,GPR,0.015880503793307355,5.0281008948262944e-06,0.01587470021502958,0.015883549311318988,0.873004003516381,0.9802794129801015,1.0
Facebook,CMAES,0.01596378373170766,5.6477097070491187e-05,0.01590815369107404,0.016021071390654833,0.7747006810068399,0.9354654637125087,2.0
Facebook,RANDOM,0.016070376868966785,0.00012621231712838164,0.01592613806252469,0.016160549638412302,0.7693868012811036,0.9549713608300938,4.0
Facebook,GA,0.016047135896024745,0.00010069044952103293,0.015943729611114704,0.016144870786280335,0.7094980918781891,0.9785916240872776,3.0
Wiki-vote,GPR,0.006171841380410867,3.462588985381707e-05,0.00614150446487006,0.006209564348035646,0.9999999999999999,0.9702088790641749,1.0
Wiki-vote,CMAES,0.006202475952318695,7.910452285947513e-06,0.006194295988015194,0.006210086075570364,0.8509648196468729,0.9524401452321366,3.0
Wiki-vote,RANDOM,0.006181371615700902,2.858438113892546e-05,0.006162619804240631,0.006214270786942319,0.9417081114528122,0.9465915910868961,2.0
Wiki-vote,GA,0.006222258756831674,2.1499434006522773e-05,0.006208386201058248,0.006247024499372036,0.621353815071979,0.9536915561461692,4.0
