network,parameter_bin,auc_mean,auc_std,auc_min,n,mid,auc_sem,variable,best_bin_auc,relative_degradation_pct
BA1000,"(0.499, 0.55]",0.0229834469269484,0.00031495843225949356,0.0224067603286638,60,0.5245,4.066095876295384e-05,Effectiveness,0.02083201559917186,10.327523601998777
BA1000,"(0.55, 0.6]",0.022683686839887036,0.00022371154213793028,0.0220739160725755,62,0.575,2.8411394262925614e-05,Effectiveness,0.02083201559917186,8.888584169401188
BA1000,"(0.6, 0.65]",0.022614790658388416,0.0002110483417948483,0.0220937230002225,60,0.625,2.7246223767204608e-05,Effectiveness,0.02083201559917186,8.557861579593991
BA1000,"(0.65, 0.7]",0.02251042409728648,0.0001911528846559015,0.022053132494179,53,0.675,2.6256868036753337e-05,Effectiveness,0.02083201559917186,8.056870397991352
BA1000,"(0.7, 0.75]",0.022451458033805417,0.0001742246286105925,0.0219751462997693,71,0.725,2.0676659364068722e-05,Effectiveness,0.02083201559917186,7.773815389702065
BA1000,"(0.75, 0.8]",0.02209232556643039,0.0001897764467995992,0.0216484522946094,80,0.775,2.121765177861381e-05,Effectiveness,0.02083201559917186,6.0498705046507
BA1000,"(0.8, 0.85]",0.02166515248982028,0.00031851309585584115,0.0210964415006647,87,0.825,3.414818825770393e-05,Effectiveness,0.02083201559917186,3.9993100364303737
BA1000,"(0.85, 0.9]",0.021447241329497286,0.00023401513680763612,0.0209451773540992,95,0.875,2.400944644248804e-05,Effectiveness,0.02083201559917186,2.9532703035700627
BA1000,"(0.9, 0.95]",0.02119093472720494,0.0003354640758884802,0.0204038914547354,144,0.925,2.795533965737335e-05,Effectiveness,0.02083201559917186,1.722920791434834
BA1000,"(0.95, 1.0]",0.02083201559917186,0.00022571896853653263,0.0203589207705778,488,0.975,1.0217817606201374e-05,Effectiveness,0.02083201559917186,0.0
Facebook,"(0.499, 0.55]",0.016516777748313276,0.0001553406706520249,0.0161730219577213,79,0.5245,1.747719090723275e-05,Effectiveness,0.016324203240327018,1.1796870276065023
Facebook,"(0.55, 0.6]",0.016869118779630432,0.0001817062191304648,0.0163751197916726,70,0.575,2.1718047159871604e-05,Effectiveness,0.016324203240327018,3.3380835271473766
Facebook,"(0.6, 0.65]",0.01666061354750257,0.00012238866497372164,0.0163229046241485,64,0.625,1.5298583121715205e-05,Effectiveness,0.016324203240327018,2.0608069026271933
Facebook,"(0.65, 0.7]",0.01658764089926256,0.0001440658711957356,0.0162765030732198,70,0.675,1.7219165088182696e-05,Effectiveness,0.016324203240327018,1.6137857086020082
Facebook,"(0.7, 0.75]",0.016626339977231976,0.0001804656703261669,0.0162055660730288,91,0.725,1.8917942575177742e-05,Effectiveness,0.016324203240327018,1.850851355235308
Facebook,"(0.75, 0.8]",0.01654989858749745,0.00018277617791991234,0.0161143491991477,100,0.775,1.8277617791991234e-05,Effectiveness,0.016324203240327018,1.3825810904686546
Facebook,"(0.8, 0.85]",0.016660739822720858,0.00019217390884480596,0.0162514140059444,101,0.825,1.912201862886063e-05,Effectiveness,0.016324203240327018,2.061580448609375
Facebook,"(0.85, 0.9]",0.016593534590153926,0.0002438681784788172,0.0161474809164969,149,0.875,1.9978459620868157e-05,Effectiveness,0.016324203240327018,1.649889711992539
Facebook,"(0.9, 0.95]",0.01634089993471028,0.0001658090256168992,0.0159562770103009,211,0.925,1.1414764068912515e-05,Effectiveness,0.016324203240327018,0.10228183352934221
Facebook,"(0.95, 1.0]",0.016324203240327018,0.00021421601851964682,0.0158747002150295,265,0.975,1.3159185412423029e-05,Effectiveness,0.016324203240327018,0.0
Wiki-vote,"(0.499, 0.55]",0.007081026106105405,9.209376152070256e-05,0.0068727286019313,62,0.5245,1.1695919409054482e-05,Effectiveness,0.006318258656917757,12.07243151326997
Wiki-vote,"(0.55, 0.6]",0.0070655940189638155,6.830871547218829e-05,0.0068968745185516,65,0.575,8.472653393722633e-06,Effectiveness,0.006318258656917757,11.82818562243907
Wiki-vote,"(0.6, 0.65]",0.007090890070372668,7.671007896011388e-05,0.0069321992284983,58,0.625,1.0072526832640209e-05,Effectiveness,0.006318258656917757,12.228549912387155
Wiki-vote,"(0.65, 0.7]",0.007014228285340862,8.09520604658412e-05,0.0068260101590086,53,0.675,1.1119620678396322e-05,Effectiveness,0.006318258656917757,11.015212675111028
Wiki-vote,"(0.7, 0.75]",0.006880109363024876,8.841384249449803e-05,0.0067330947891471,76,0.725,1.0141763280095761e-05,Effectiveness,0.006318258656917757,8.892492957564468
Wiki-vote,"(0.75, 0.8]",0.0067896528469301625,6.734838396239755e-05,0.0065943476318281,78,0.775,7.625702844737495e-06,Effectiveness,0.006318258656917757,7.4608245025911275
Wiki-vote,"(0.8, 0.85]",0.006619177213192382,6.098815623942356e-05,0.0064645418141594,85,0.825,6.615094327266942e-06,Effectiveness,0.006318258656917757,4.762681818116983
Wiki-vote,"(0.85, 0.9]",0.006501821555812821,7.691063830122693e-05,0.0063015637457399,105,0.875,7.505709752868562e-06,Effectiveness,0.006318258656917757,2.9052767362425627
Wiki-vote,"(0.9, 0.95]",0.006364722206247727,8.639781561777614e-05,0.0061626198042406,204,0.925,6.049057025654803e-06,Effectiveness,0.006318258656917757,0.7353853625333527
Wiki-vote,"(0.95, 1.0]",0.006318258656917757,6.61062111501493e-05,0.00614150446487,414,0.975,3.248943028655562e-06,Effectiveness,0.006318258656917757,0.0
BA1000,"(0.499, 0.55]",0.021067672900527627,0.0006768426742308059,0.0204644378774819,242,0.5245,4.350909497682184e-05,Certainty,0.021067672900527627,0.0
BA1000,"(0.55, 0.6]",0.022014296474443338,0.0008636334660007166,0.0203789103922822,61,0.575,0.00011057693439236455,Certainty,0.021067672900527627,4.493251715010267
BA1000,"(0.6, 0.65]",0.021986694427530606,0.0007523540923762385,0.0204274741413986,68,0.625,9.1236335021557e-05,Certainty,0.021067672900527627,4.362235598313101
BA1000,"(0.65, 0.7]",0.02183380376592234,0.000736070183910167,0.0203589207705778,87,0.675,7.891500706904508e-05,Certainty,0.021067672900527627,3.636523449989219
BA1000,"(0.7, 0.75]",0.02151113580935033,0.0006916750011619027,0.0203995202842822,146,0.725,5.724343039606404e-05,Certainty,0.021067672900527627,2.1049449121245707
BA1000,"(0.75, 0.8]",0.021690489484300475,0.0008009783828816616,0.0204089821509012,130,0.775,7.025045139979375e-05,Certainty,0.021067672900527627,2.956266630460404
BA1000,"(0.8, 0.85]",0.02152081125819249,0.0006355002950078618,0.0204388667892247,119,0.825,5.825621652946918e-05,Certainty,0.021067672900527627,2.1508704820147133
BA1000,"(0.85, 0.9]",0.02160590254054461,0.0008030444494001244,0.0204038914547354,115,0.875,7.488428102963114e-05,Certainty,0.021067672900527627,2.5547655052281635
BA1000,"(0.9, 0.95]",0.021529200431423128,0.0007825433319346121,0.0203622797465374,120,0.925,7.143610585430664e-05,Certainty,0.021067672900527627,2.1906906048647747
BA1000,"(0.95, 1.0]",0.021528708640494783,0.0007824255350218385,0.0206263257977757,112,0.975,7.393226375337295e-05,Certainty,0.021067672900527627,2.1883562657535336
Facebook,"(0.499, 0.55]",0.01652810596749696,0.00022435452978110214,0.0160098861466234,123,0.5245,2.0229366690370992e-05,Certainty,0.0164606092177485,0.41005013153267883
Facebook,"(0.55, 0.6]",0.0164648406863715,0.0002530568190241414,0.0159437296111147,81,0.575,2.8117424336015712e-05,Certainty,0.0164606092177485,0.025706634347627166
Facebook,"(0.6, 0.65]",0.016566450488374858,0.00024390036999935732,0.0159261380625246,87,0.625,2.61488643927887e-05,Certainty,0.0164606092177485,0.6429972865903082
Facebook,"(0.65, 0.7]",0.01654920385917527,0.00022403565140245908,0.0161204258672905,117,0.675,2.0712103299065178e-05,Certainty,0.0164606092177485,0.5382221292954568
Facebook,"(0.7, 0.75]",0.01648790522738965,0.00023450519444988434,0.0159621261133941,170,0.725,1.7985727384590597e-05,Certainty,0.0164606092177485,0.1658262417876787
Facebook,"(0.75, 0.8]",0.01655184507730876,0.00022815887053392734,0.0159562770103009,152,0.775,1.850612811080168e-05,Certainty,0.0164606092177485,0.5542678181186884
Facebook,"(0.8, 0.85]",0.01648663469462484,0.0002576170275909659,0.0158832618535734,123,0.825,2.32285451152056e-05,Certainty,0.0164606092177485,0.15810761638322435
Facebook,"(0.85, 0.9]",0.016486504350416084,0.00029128330654289896,0.0158747002150295,118,0.875,2.681480186208894e-05,Certainty,0.0164606092177485,0.15731576106953601
Facebook,"(0.9, 0.95]",0.016505152060867674,0.0002695326873902065,0.0158835493113189,98,0.925,2.7226913000721266e-05,Certainty,0.0164606092177485,0.27060264009636636
Facebook,"(0.95, 1.0]",0.0164606092177485,0.00024925630872341586,0.0159445163168619,131,0.975,2.1777624808000448e-05,Certainty,0.0164606092177485,0.0
Wiki-vote,"(0.499, 0.55]",0.006562275953166201,0.0003034689575555631,0.0062091532867749,142,0.5245,2.5466549200235775e-05,Certainty,0.006469051793251714,1.4410792013094496
Wiki-vote,"(0.55, 0.6]",0.006694106234892248,0.0003502514328087818,0.0062083862010582,69,0.575,4.216531753319817e-05,Certainty,0.006469051793251714,3.4789401728906015
Wiki-vote,"(0.6, 0.65]",0.006742434711294652,0.00031317327217993314,0.0062092914128605,75,0.625,3.616213459921606e-05,Certainty,0.006469051793251714,4.226012200553426
Wiki-vote,"(0.65, 0.7]",0.006682946347830016,0.00030621130823788094,0.0062580159446222,88,0.675,3.2642235136252425e-05,Certainty,0.006469051793251714,3.306428228035351
Wiki-vote,"(0.7, 0.75]",0.00659472573721899,0.00028399714835788557,0.0062134409711643,110,0.725,2.707806564116742e-05,Certainty,0.006469051793251714,1.9426949726755047
