t,selfish_ratio,network,method,rep,best_auc
0,0.00013000000000000002,BA1000,GPR,optseed1,0.020611549943950105
1,0.00307,BA1000,GPR,optseed1,0.020611549943950105
2,0.02098,BA1000,GPR,optseed1,0.020611549943950105
3,0.06933,BA1000,GPR,optseed1,0.020611549943950105
4,0.0916,BA1000,GPR,optseed1,0.020611549943950105
5,0.04482,BA1000,GPR,optseed1,0.020611549943950105
6,0.01426,BA1000,GPR,optseed1,0.020611549943950105
7,0.006,BA1000,GPR,optseed1,0.020611549943950105
8,0.00601,BA1000,GPR,optseed1,0.020611549943950105
9,0.006082474226804123,BA1000,GPR,optseed1,0.020611549943950105
10,0.005292134831460674,BA1000,GPR,optseed1,0.020611549943950105
11,0.004347826086956522,BA1000,GPR,optseed1,0.020611549943950105
12,0.002647058823529412,BA1000,GPR,optseed1,0.020611549943950105
13,0.0015555555555555557,BA1000,GPR,optseed1,0.020611549943950105
14,0.0006470588235294117,BA1000,GPR,optseed1,0.020611549943950105
15,0.00040909090909090913,BA1000,GPR,optseed1,0.020611549943950105
16,0.00010526315789473685,BA1000,GPR,optseed1,0.020611549943950105
17,7.692307692307693e-05,BA1000,GPR,optseed1,0.020611549943950105
18,0.0,BA1000,GPR,optseed1,0.020611549943950105
19,0.0,BA1000,GPR,optseed1,0.020611549943950105
20,0.0,BA1000,GPR,optseed1,0.020611549943950105
21,0.0,BA1000,GPR,optseed1,0.020611549943950105
0,0.00013000000000000002,BA1000,CMAES,optseed1,0.02036227974653747
1,0.00307,BA1000,CMAES,optseed1,0.02036227974653747
2,0.02098,BA1000,CMAES,optseed1,0.02036227974653747
3,0.0693,BA1000,CMAES,optseed1,0.02036227974653747
4,0.09167,BA1000,CMAES,optseed1,0.02036227974653747
5,0.04441,BA1000,CMAES,optseed1,0.02036227974653747
6,0.01451,BA1000,CMAES,optseed1,0.02036227974653747
7,0.00611,BA1000,CMAES,optseed1,0.02036227974653747
8,0.00545,BA1000,CMAES,optseed1,0.02036227974653747
9,0.00485,BA1000,CMAES,optseed1,0.02036227974653747
10,0.004031914893617022,BA1000,CMAES,optseed1,0.02036227974653747
11,0.003720588235294118,BA1000,CMAES,optseed1,0.02036227974653747
12,0.002150943396226415,BA1000,CMAES,optseed1,0.02036227974653747
13,0.0013428571428571428,BA1000,CMAES,optseed1,0.02036227974653747
14,0.0006071428571428572,BA1000,CMAES,optseed1,0.02036227974653747
15,0.0006521739130434782,BA1000,CMAES,optseed1,0.02036227974653747
16,0.0003333333333333333,BA1000,CMAES,optseed1,0.02036227974653747
17,8.333333333333333e-05,BA1000,CMAES,optseed1,0.02036227974653747
18,0.0006000000000000001,BA1000,CMAES,optseed1,0.02036227974653747
19,0.0,BA1000,CMAES,optseed1,0.02036227974653747
20,0.0,BA1000,CMAES,optseed1,0.02036227974653747
21,0.0,BA1000,CMAES,optseed1,0.02036227974653747
22,0.0,BA1000,CMAES,optseed1,0.02036227974653747
0,0.00013000000000000002,BA1000,RANDOM,optseed3,0.020399520284282283
1,0.00307,BA1000,RANDOM,optseed3,0.020399520284282283
2,0.02098,BA1000,RANDOM,optseed3,0.020399520284282283
3,0.0693,BA1000,RANDOM,optseed3,0.020399520284282283
4,0.09171,BA1000,RANDOM,optseed3,0.020399520284282283
5,0.044669999999999994,BA1000,RANDOM,optseed3,0.020399520284282283
6,0.01452,BA1000,RANDOM,optseed3,0.020399520284282283
7,0.0057599999999999995,BA1000,RANDOM,optseed3,0.020399520284282283
8,0.0046700000000000005,BA1000,RANDOM,optseed3,0.020399520284282283
9,0.004414141414141414,BA1000,RANDOM,optseed3,0.020399520284282283
10,0.0034838709677419357,BA1000,RANDOM,optseed3,0.020399520284282283
11,0.0031830985915492953,BA1000,RANDOM,optseed3,0.020399520284282283
12,0.001888888888888889,BA1000,RANDOM,optseed3,0.020399520284282283
13,0.0011515151515151514,BA1000,RANDOM,optseed3,0.020399520284282283
14,0.0006153846153846154,BA1000,RANDOM,optseed3,0.020399520284282283
15,0.0006470588235294117,BA1000,RANDOM,optseed3,0.020399520284282283
16,0.0007272727272727273,BA1000,RANDOM,optseed3,0.020399520284282283
17,0.0004285714285714286,BA1000,RANDOM,optseed3,0.020399520284282283
18,0.0003333333333333333,BA1000,RANDOM,optseed3,0.020399520284282283
19,0.00025,BA1000,RANDOM,optseed3,0.020399520284282283
20,0.0,BA1000,RANDOM,optseed3,0.020399520284282283
21,0.0,BA1000,RANDOM,optseed3,0.020399520284282283
0,0.00013000000000000002,BA1000,GA,optseed1,0.020358920770577892
1,0.00307,BA1000,GA,optseed1,0.020358920770577892
2,0.02098,BA1000,GA,optseed1,0.020358920770577892
3,0.0693,BA1000,GA,optseed1,0.020358920770577892
4,0.09169000000000001,BA1000,GA,optseed1,0.020358920770577892
5,0.044669999999999994,BA1000,GA,optseed1,0.020358920770577892
6,0.01462,BA1000,GA,optseed1,0.020358920770577892
7,0.00612,BA1000,GA,optseed1,0.020358920770577892
8,0.00604,BA1000,GA,optseed1,0.020358920770577892
9,0.00598,BA1000,GA,optseed1,0.020358920770577892
10,0.004968085106382979,BA1000,GA,optseed1,0.020358920770577892
11,0.0045694444444444446,BA1000,GA,optseed1,0.020358920770577892
12,0.003,BA1000,GA,optseed1,0.020358920770577892
13,0.0014166666666666668,BA1000,GA,optseed1,0.020358920770577892
14,0.0007666666666666667,BA1000,GA,optseed1,0.020358920770577892
15,0.0005200000000000001,BA1000,GA,optseed1,0.020358920770577892
16,0.00047058823529411766,BA1000,GA,optseed1,0.020358920770577892
17,0.0003076923076923077,BA1000,GA,optseed1,0.020358920770577892
18,0.0004,BA1000,GA,optseed1,0.020358920770577892
19,0.00016666666666666666,BA1000,GA,optseed1,0.020358920770577892
20,0.0,BA1000,GA,optseed1,0.020358920770577892
21,0.0,BA1000,GA,optseed1,0.020358920770577892
22,0.0,BA1000,GA,optseed1,0.020358920770577892
23,0.0,BA1000,GA,optseed1,0.020358920770577892
0,0.0001757860856647685,Facebook,GPR,optseed3,0.01587470021502958
1,0.009702896756622927,Facebook,GPR,optseed3,0.01587470021502958
2,0.04850458034166873,Facebook,GPR,optseed3,0.01587470021502958
3,0.06746719485021045,Facebook,GPR,optseed3,0.01587470021502958
4,0.04984154493686556,Facebook,GPR,optseed3,0.01587470021502958
5,0.029863827680118842,Facebook,GPR,optseed3,0.01587470021502958
6,0.0122233226046051,Facebook,GPR,optseed3,0.01587470021502958
7,0.0058752166377816295,Facebook,GPR,optseed3,0.01587470021502958
8,0.0050012379301807375,Facebook,GPR,optseed3,0.01587470021502958
9,0.004535776182223322,Facebook,GPR,optseed3,0.01587470021502958
10,0.003441195815545902,Facebook,GPR,optseed3,0.01587470021502958
11,0.003421188863129938,Facebook,GPR,optseed3,0.01587470021502958
12,0.0038776855238885654,Facebook,GPR,optseed3,0.01587470021502958
13,0.005129808924390699,Facebook,GPR,optseed3,0.01587470021502958
14,0.004908662281882084,Facebook,GPR,optseed3,0.01587470021502958
15,0.0043018073780638775,Facebook,GPR,optseed3,0.01587470021502958
16,0.003199573390214638,Facebook,GPR,optseed3,0.01587470021502958
17,0.002012430088686588,Facebook,GPR,optseed3,0.01587470021502958
18,0.001498899245866317,Facebook,GPR,optseed3,0.01587470021502958
19,0.0010823046723021964,Facebook,GPR,optseed3,0.01587470021502958
20,0.0006317712646523978,Facebook,GPR,optseed3,0.01587470021502958
21,0.0002926016790834815,Facebook,GPR,optseed3,0.01587470021502958
22,0.000233022151668293,Facebook,GPR,optseed3,0.01587470021502958
23,0.00019453188554451243,Facebook,GPR,optseed3,0.01587470021502958
24,0.0001733102253032929,Facebook,GPR,optseed3,0.01587470021502958
25,0.0001061083012060977,Facebook,GPR,optseed3,0.01587470021502958
26,0.00016505735743170752,Facebook,GPR,optseed3,0.01587470021502958
27,8.252867871585376e-05,Facebook,GPR,optseed3,0.01587470021502958
28,0.0,Facebook,GPR,optseed3,0.01587470021502958
29,4.126433935792688e-05,Facebook,GPR,optseed3,0.01587470021502958
30,6.189650903689032e-05,Facebook,GPR,optseed3,0.01587470021502958
31,0.0,Facebook,GPR,optseed3,0.01587470021502958
32,0.0,Facebook,GPR,optseed3,0.01587470021502958
0,0.0001757860856647685,Facebook,CMAES,optseed1,0.01590815369107404
1,0.009702896756622927,Facebook,CMAES,optseed1,0.01590815369107404
2,0.04850458034166873,Facebook,CMAES,optseed1,0.01590815369107404
3,0.06746719485021045,Facebook,CMAES,optseed1,0.01590815369107404
4,0.04984154493686556,Facebook,CMAES,optseed1,0.01590815369107404
5,0.029844020797227037,Facebook,CMAES,optseed1,0.01590815369107404
6,0.012218370883882147,Facebook,CMAES,optseed1,0.01590815369107404
7,0.0058999752413963855,Facebook,CMAES,optseed1,0.01590815369107404
8,0.0050012379301807375,Facebook,CMAES,optseed1,0.01590815369107404
9,0.0045184451596929935,Facebook,CMAES,optseed1,0.01590815369107404
10,0.0033736723511420216,Facebook,CMAES,optseed1,0.01590815369107404
11,0.003339598010308582,Facebook,CMAES,optseed1,0.01590815369107404
12,0.004176668783706686,Facebook,CMAES,optseed1,0.01590815369107404
13,0.005199306759098787,Facebook,CMAES,optseed1,0.01590815369107404
14,0.004830561598879015,Facebook,CMAES,optseed1,0.01590815369107404
15,0.0041304597249983395,Facebook,CMAES,optseed1,0.01590815369107404
16,0.0032902881119610114,Facebook,CMAES,optseed1,0.01590815369107404
17,0.0020719041972348546,Facebook,CMAES,optseed1,0.01590815369107404
18,0.0015267805562432946,Facebook,CMAES,optseed1,0.01590815369107404
19,0.0011359829893829282,Facebook,CMAES,optseed1,0.01590815369107404
20,0.0006189650903689032,Facebook,CMAES,optseed1,0.01590815369107404
21,0.0002926016790834815,Facebook,CMAES,optseed1,0.01590815369107404
22,0.000233022151668293,Facebook,CMAES,optseed1,0.01590815369107404
23,0.00019453188554451243,Facebook,CMAES,optseed1,0.01590815369107404
24,0.0001733102253032929,Facebook,CMAES,optseed1,0.01590815369107404
25,0.0001061083012060977,Facebook,CMAES,optseed1,0.01590815369107404
26,0.00016505735743170752,Facebook,CMAES,optseed1,0.01590815369107404
27,8.252867871585376e-05,Facebook,CMAES,optseed1,0.01590815369107404
28,0.0,Facebook,CMAES,optseed1,0.01590815369107404
29,4.126433935792688e-05,Facebook,CMAES,optseed1,0.01590815369107404
30,6.189650903689032e-05,Facebook,CMAES,optseed1,0.01590815369107404
31,0.0,Facebook,CMAES,optseed1,0.01590815369107404
32,0.0,Facebook,CMAES,optseed1,0.01590815369107404
0,0.0001757860856647685,Facebook,RANDOM,optseed1,0.01592613806252469
1,0.009702896756622927,Facebook,RANDOM,optseed1,0.01592613806252469
2,0.04850458034166873,Facebook,RANDOM,optseed1,0.01592613806252469
3,0.06743500866551128,Facebook,RANDOM,optseed1,0.01592613806252469
4,0.049905917306263925,Facebook,RANDOM,optseed1,0.01592613806252469
5,0.029744986382768013,Facebook,RANDOM,optseed1,0.01592613806252469
6,0.012265412230750186,Facebook,RANDOM,optseed1,0.01592613806252469
7,0.005637534043079971,Facebook,RANDOM,optseed1,0.01592613806252469
8,0.004887348353552859,Facebook,RANDOM,optseed1,0.01592613806252469
9,0.00462738301559792,Facebook,RANDOM,optseed1,0.01592613806252469
10,0.003696105825345736,Facebook,RANDOM,optseed1,0.01592613806252469
11,0.003644696764683867,Facebook,RANDOM,optseed1,0.01592613806252469
12,0.004369165343780493,Facebook,RANDOM,optseed1,0.01592613806252469
13,0.004599887934741533,Facebook,RANDOM,optseed1,0.01592613806252469
14,0.003961376578360981,Facebook,RANDOM,optseed1,0.01592613806252469
15,0.0036181323009745886,Facebook,RANDOM,optseed1,0.01592613806252469
16,0.0034777201356541165,Facebook,RANDOM,optseed1,0.01592613806252469
17,0.0026182223322604604,Facebook,RANDOM,optseed1,0.01592613806252469
18,0.0023420300716661202,Facebook,RANDOM,optseed1,0.01592613806252469
19,0.0012308562939907332,Facebook,RANDOM,optseed1,0.01592613806252469
20,0.0005890840170407493,Facebook,RANDOM,optseed1,0.01592613806252469
21,0.0005713523911097568,Facebook,RANDOM,optseed1,0.01592613806252469
22,0.000699066455004879,Facebook,RANDOM,optseed1,0.01592613806252469
23,0.0008665511265164644,Facebook,RANDOM,optseed1,0.01592613806252469
24,0.0008252867871585376,Facebook,RANDOM,optseed1,0.01592613806252469
25,0.001138895766278782,Facebook,RANDOM,optseed1,0.01592613806252469
26,0.0009903441445902451,Facebook,RANDOM,optseed1,0.01592613806252469
27,0.0004332755632582322,Facebook,RANDOM,optseed1,0.01592613806252469
28,0.00018568952711067098,Facebook,RANDOM,optseed1,0.01592613806252469
29,8.252867871585376e-05,Facebook,RANDOM,optseed1,0.01592613806252469
30,0.0,Facebook,RANDOM,optseed1,0.01592613806252469
31,0.0,Facebook,RANDOM,optseed1,0.01592613806252469
0,0.0001757860856647685,Facebook,GA,optseed3,0.015943729611114704
1,0.009702896756622927,Facebook,GA,optseed3,0.015943729611114704
2,0.04850458034166873,Facebook,GA,optseed3,0.015943729611114704
3,0.06743748452587274,Facebook,GA,optseed3,0.015943729611114704
4,0.04990344144590245,Facebook,GA,optseed3,0.015943729611114704
5,0.029742510522406538,Facebook,GA,optseed3,0.015943729611114704
6,0.012262936370388711,Facebook,GA,optseed3,0.015943729611114704
7,0.005632582322357019,Facebook,GA,optseed3,0.015943729611114704
8,0.004884872493191384,Facebook,GA,optseed3,0.015943729611114704
9,0.004615003713790542,Facebook,GA,optseed3,0.015943729611114704
10,0.0036758947203540987,Facebook,GA,optseed3,0.015943729611114704
11,0.003644696764683867,Facebook,GA,optseed3,0.015943729611114704
12,0.004456548650656103,Facebook,GA,optseed3,0.015943729611114704
13,0.004553814593428359,Facebook,GA,optseed3,0.015943729611114704
14,0.004143276523285719,Facebook,GA,optseed3,0.015943729611114704
15,0.003663147943910509,Facebook,GA,optseed3,0.015943729611114704
16,0.003541056098389539,Facebook,GA,optseed3,0.015943729611114704
17,0.0026182223322604604,Facebook,GA,optseed3,0.015943729611114704
18,0.0023390364993940657,Facebook,GA,optseed3,0.015943729611114704
19,0.0010453632637341477,Facebook,GA,optseed3,0.015943729611114704
20,0.0005942064867541471,Facebook,GA,optseed3,0.015943729611114704
21,0.0005903974708134154,Facebook,GA,optseed3,0.015943729611114704
22,0.0004951720722951226,Facebook,GA,optseed3,0.015943729611114704
23,0.0005903974708134154,Facebook,GA,optseed3,0.015943729611114704
24,0.0012379301807378064,Facebook,GA,optseed3,0.015943729611114704
25,0.0008842358433841475,Facebook,GA,optseed3,0.015943729611114704
26,0.0008417925229017083,Facebook,GA,optseed3,0.015943729611114704
27,0.0004332755632582322,Facebook,GA,optseed3,0.015943729611114704
28,0.00016505735743170752,Facebook,GA,optseed3,0.015943729611114704
29,0.00012379301807378064,Facebook,GA,optseed3,0.015943729611114704
30,0.0,Facebook,GA,optseed3,0.015943729611114704
31,0.0,Facebook,GA,optseed3,0.015943729611114704
0,0.000140548137737175,Wiki-vote,GPR,optseed2,0.00614150446487006
1,0.0029866479269149682,Wiki-vote,GPR,optseed2,0.00614150446487006
2,0.015797610681658466,Wiki-vote,GPR,optseed2,0.00614150446487006
3,0.030023893183415317,Wiki-vote,GPR,optseed2,0.00614150446487006
4,0.020728039353478566,Wiki-vote,GPR,optseed2,0.00614150446487006
5,0.008046380885453269,Wiki-vote,GPR,optseed2,0.00614150446487006
6,0.003368938861560084,Wiki-vote,GPR,optseed2,0.00614150446487006
7,0.0019915671117357696,Wiki-vote,GPR,optseed2,0.00614150446487006
8,0.001960646521433591,Wiki-vote,GPR,optseed2,0.00614150446487006
9,0.0021981728742094166,Wiki-vote,GPR,optseed2,0.00614150446487006
10,0.0021444458128971025,Wiki-vote,GPR,optseed2,0.00614150446487006
11,0.0018724638995307504,Wiki-vote,GPR,optseed2,0.00614150446487006
12,0.001398365015967336,Wiki-vote,GPR,optseed2,0.00614150446487006
13,0.0010255621925509488,Wiki-vote,GPR,optseed2,0.00614150446487006
14,0.0006513865614357534,Wiki-vote,GPR,optseed2,0.00614150446487006
15,0.0005142784130837539,Wiki-vote,GPR,optseed2,0.00614150446487006
16,0.00028912759763075996,Wiki-vote,GPR,optseed2,0.00614150446487006
17,0.0002540677874479702,Wiki-vote,GPR,optseed2,0.00614150446487006
18,0.00012649332396345747,Wiki-vote,GPR,optseed2,0.00614150446487006
19,5.019576347756249e-05,Wiki-vote,GPR,optseed2,0.00614150446487006
20,5.6219255094869997e-05,Wiki-vote,GPR,optseed2,0.00614150446487006
21,0.000140548137737175,Wiki-vote,GPR,optseed2,0.00614150446487006
22,0.000421644413211525,Wiki-vote,GPR,optseed2,0.00614150446487006
23,4.6849379245725e-05,Wiki-vote,GPR,optseed2,0.00614150446487006
24,9.369875849145e-05,Wiki-vote,GPR,optseed2,0.00614150446487006
25,0.0,Wiki-vote,GPR,optseed2,0.00614150446487006
0,0.000140548137737175,Wiki-vote,CMAES,optseed2,0.006194295988015194
1,0.0029866479269149682,Wiki-vote,CMAES,optseed2,0.006194295988015194
2,0.01579901616303584,Wiki-vote,CMAES,optseed2,0.006194295988015194
3,0.030130709768095572,Wiki-vote,CMAES,optseed2,0.006194295988015194
4,0.02085874912157414,Wiki-vote,CMAES,optseed2,0.006194295988015194
