network,method,rep,sampler_seed,best_auc,certainty,effectiveness,final_selfish_ratio,peak_selfish_ratio,final_window_selfish_mean,summary_path,run_dir
BA1000,CMAES,optseed1,4202,0.02036227974653747,0.9355167595069338,0.9965880506041647,5e-05,0.09523,0.00026,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1/logs/summary_cmaes.json,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1
BA1000,CMAES,optseed2,5202,0.020480614208890528,0.7341905193486334,0.9970163093058111,3e-05,0.09517999999999999,0.00024,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed2/logs/summary_cmaes.json,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed2
BA1000,CMAES,optseed3,6202,0.020403891454735493,0.8763686440694214,0.9424193053760803,3e-05,0.09600999999999997,0.00033,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed3/logs/summary_cmaes.json,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed3
BA1000,GA,optseed1,4204,0.020358920770577892,0.6643557128025611,0.9972081992056128,3e-05,0.09518999999999998,0.00023333333333333333,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/ga_optseed1/logs/summary_ga.json,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/ga_optseed1
BA1000,GA,optseed2,5204,0.020635281452863485,0.9016987430635597,0.9980866952781604,2e-05,0.09517999999999999,0.00025666666666666665,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/ga_optseed2/logs/summary_ga.json,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/ga_optseed2
BA1000,GA,optseed3,6204,0.020696043787438913,0.6465741671410578,0.9938563646681787,3e-05,0.09529,0.00029,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/ga_optseed3/logs/summary_ga.json,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/ga_optseed3
BA1000,GPR,optseed1,4201,0.020611549943950105,0.9350412373644952,0.9999999999999999,1e-05,0.09511999999999998,0.00025,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/gpr_optseed1/logs/summary_gpr.json,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/gpr_optseed1
BA1000,GPR,optseed2,5201,0.020660806186404576,0.5,0.9999999999999999,1e-05,0.09521,0.00025,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/gpr_optseed2/logs/summary_gpr.json,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/gpr_optseed2
BA1000,GPR,optseed3,6201,0.02062632579777576,0.9581297439405831,0.9346049723593363,5e-05,0.09641999999999998,0.00042666666666666667,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/gpr_optseed3/logs/summary_gpr.json,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/gpr_optseed3
BA1000,RANDOM,optseed1,4203,0.02065905485888381,0.9125765842116024,0.999308877036269,1e-05,0.09518,0.00027333333333333333,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/random_optseed1/logs/summary_random.json,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/random_optseed1
BA1000,RANDOM,optseed2,5203,0.020719543028265165,0.9516738993258589,0.9615834263354199,6e-05,0.09558,0.0003766666666666667,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/random_optseed2/logs/summary_random.json,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/random_optseed2
BA1000,RANDOM,optseed3,6203,0.020399520284282283,0.7344178064169626,0.9962733074400119,2e-05,0.09520999999999999,0.00027333333333333333,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/random_optseed3/logs/summary_random.json,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/random_optseed3
