trial,state,auc,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec,network,method,rep,run_dir,best_so_far,certainty_bin,effectiveness_bin,certainty_mid,effectiveness_mid
84,TrialState.COMPLETE,0.00614150446487,auc,optseed2,5201,1.0,0.9949981117027552,2.108222066057625e-05,0.00614150446487,0.0302220660576247,9.041930194424924e-05,1550,100,15.5,10,26,14.5,9,25,False,23.138574746903032,22.49132696702145,0.0128878690302371,Wiki-vote,GPR,optseed2,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed2,0.00614150446487,"(0.95, 1.0]","(0.95, 1.0]",0.975,0.975
90,TrialState.COMPLETE,0.0061626198042406,auc,optseed3,6203,0.9069793082263348,0.9343036197578456,1.9676739283204494e-05,0.0061626198042406,0.0303879128601546,7.6832981962989e-05,1531,100,15.31,10,27,14.31,9,26,False,22.19401082303375,22.124125992995687,0.0190259800292551,Wiki-vote,RANDOM,optseed3,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/random_optseed3,0.0061626198042406,"(0.9, 0.95]","(0.9, 0.95]",0.925,0.925
74,TrialState.COMPLETE,0.0061644553283268,auc,optseed3,6201,1.0,0.957926613478163,2.6704146170063247e-05,0.0061644553283268,0.0303288826423049,9.369875849144998e-05,1509,100,15.09,10,24,14.09,9,23,False,23.496760717011057,22.884830867056735,0.0117346959887072,Wiki-vote,GPR,optseed3,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed3,0.0061644553283268,"(0.95, 1.0]","(0.95, 1.0]",0.975,0.975
10,TrialState.COMPLETE,0.0061672242559197,auc,optseed2,5203,0.9832700490470944,0.952636162499656,2.108222066057625e-05,0.0061672242559197,0.030257203092059,9.7446708831108e-05,1491,100,14.91,10,29,13.91,9,28,False,21.78445420600474,21.7212583249202,0.0190665810368955,Wiki-vote,RANDOM,optseed2,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/random_optseed2,0.0061672242559197,"(0.95, 1.0]","(0.95, 1.0]",0.975,0.975
98,TrialState.COMPLETE,0.0061790730153185,auc,optseed2,5201,0.7878678301818395,0.971331294073152,2.8109627547434995e-05,0.0061790730153185,0.0302136331693605,0.0001026001405481,1505,100,15.05,10,26,14.05,9,25,False,21.442253301036544,20.960698912036605,0.0118861870141699,Wiki-vote,GPR,optseed2,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed2,0.00614150446487,"(0.75, 0.8]","(0.95, 1.0]",0.775,0.975
10,TrialState.COMPLETE,0.0061942959880151,auc,optseed2,5202,0.7817014041375738,0.9538683974750926,1.827125790583275e-05,0.0061942959880151,0.0302909346451159,7.96439447177325e-05,1479,100,14.79,10,25,13.79,9,24,False,21.766903704032305,21.703402836923487,0.0171182679478079,Wiki-vote,CMAES,optseed2,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/cmaes_optseed2,0.0061942959880151,"(0.75, 0.8]","(0.95, 1.0]",0.775,0.975
99,TrialState.COMPLETE,0.0061994655387785,auc,optseed2,5201,0.783562354312499,0.9709581382130346,3.092059030217849e-05,0.0061994655387785,0.0302136331693605,0.0001016631529632,1505,100,15.05,10,26,14.05,9,25,False,21.28586072998587,20.769345644046552,0.0123185230186209,Wiki-vote,GPR,optseed2,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed2,0.00614150446487,"(0.75, 0.8]","(0.95, 1.0]",0.775,0.975
95,TrialState.COMPLETE,0.0062030457933705,auc,optseed1,4202,0.8226521169513068,0.9500463111120522,1.4054813773717496e-05,0.0062030457933705,0.0303457484188334,9.697821503865074e-05,1453,100,14.53,10,26,13.53,9,25,False,21.115148092038,21.05201541900169,0.0115338129689916,Wiki-vote,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/cmaes_optseed1,0.0062030457933705,"(0.8, 0.85]","(0.95, 1.0]",0.825,0.975
20,TrialState.COMPLETE,0.0062058658315612,auc,optseed3,6203,0.8669522568456531,0.9343036586339624,1.827125790583275e-05,0.0062058658315612,0.0303921293042867,7.870695713281799e-05,1532,100,15.32,10,27,14.32,9,26,False,22.36422689410392,22.29953075502999,0.0173717109719291,Wiki-vote,RANDOM,optseed3,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/random_optseed3,0.0062058658315612,"(0.85, 0.9]","(0.9, 0.95]",0.875,0.925
90,TrialState.COMPLETE,0.0062083862010582,auc,optseed3,6204,0.5706817910554302,0.9504698599740268,1.9676739283204494e-05,0.0062083862010582,0.0303457484188334,0.0001119700163972,1480,100,14.8,10,27,13.8,9,26,False,20.91708534595091,20.83859071705956,0.0188279279973357,Wiki-vote,GA,optseed3,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/ga_optseed3,0.0062083862010582,"(0.55, 0.6]","(0.95, 1.0]",0.575,0.975
