method,method_label,info_label,info_name,mean_num_shared,mean_total_shared_ratio,mean_num_viewed,mean_total_viewed_ratio,mean_num_fst_viewed,mean_total_fst_viewed_ratio
cmaes,CMA-ES,0,misinformation,436.94,0.43694,4727.92,4.72792,2436.61,2.4366100000000004
ga,GA,0,misinformation,441.68,0.44168,4773.93,4.77393,2458.03,2.4580300000000004
gpr,GPR,0,misinformation,441.68,0.44168,4773.93,4.77393,2458.03,2.4580300000000004
random,Random,0,misinformation,439.81,0.43981000000000003,4750.75,4.75075,2445.3,2.4453
cmaes,CMA-ES,1,corrective,613.34,0.61334,7072.64,7.072640000000001,4486.64,4.48664
ga,GA,1,corrective,639.24,0.63924,7400.84,7.4008400000000005,4680.71,4.68071
gpr,GPR,1,corrective,639.24,0.63924,7400.84,7.4008400000000005,4680.71,4.68071
random,Random,1,corrective,825.0,0.8250000000000001,9645.86,9.64586,5674.35,5.6743500000000004
cmaes,CMA-ES,2,observational,328.8181818181818,0.32881818181818184,3275.7272727272725,3.2757272727272726,966.2727272727273,0.9662727272727273
ga,GA,2,observational,289.5,0.2895,2883.3571428571427,2.8833571428571427,840.0,0.84
gpr,GPR,2,observational,289.5,0.2895,2883.3571428571427,2.8833571428571427,840.0,0.84
random,Random,2,observational,311.0833333333333,0.3110833333333333,3087.2916666666665,3.0872916666666668,957.6666666666666,0.9576666666666667
cmaes,CMA-ES,3,behavior-guiding,209.43,0.20943,2648.92,2.64892,2116.66,2.11666
ga,GA,3,behavior-guiding,152.43,0.15243,2098.92,2.09892,1737.85,1.73785
gpr,GPR,3,behavior-guiding,152.43,0.15243,2098.92,2.09892,1737.85,1.73785
random,Random,3,behavior-guiding,121.61,0.12161,1770.74,1.77074,1510.21,1.51021
