trial,state,value,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec
0,TrialState.COMPLETE,0.022533500003909062,auc,optseed2,5202,0.7173947394943179,0.5364652509067006,3e-05,0.022533500003909062,0.09827000000000002,0.0006233333333333333,1263,100,12.63,8,21,11.63,7,20,False,5.2657651549670845,5.189467029995285,0.014436827972531319
1,TrialState.COMPLETE,0.022010640992263665,auc,optseed2,5202,0.6759251717345456,0.7649485353051565,7.000000000000001e-05,0.022010640992263665,0.09794,0.00045,1310,100,13.1,9,22,12.1,8,21,False,5.336124429944903,5.267447283957154,0.012288832920603454
2,TrialState.COMPLETE,0.02141727245093228,auc,optseed2,5202,0.8238340628322781,0.8327323007575975,3e-05,0.02141727245093228,0.09723000000000002,0.00057,1325,100,13.25,9,24,12.25,8,23,False,6.06471004197374,5.997102989000268,0.011998138972558081
3,TrialState.COMPLETE,0.022141296535513433,auc,optseed2,5202,0.9312385983879216,0.7063250002664025,0.00010999999999999999,0.022141296535513433,0.09754999999999997,0.0005633333333333333,1319,100,13.19,8,23,12.19,7,22,False,5.708094018977135,5.630377138964832,0.012382013024762273
4,TrialState.COMPLETE,0.02161438867964681,auc,optseed2,5202,0.8391057101229757,0.826215620832766,2e-05,0.02161438867964681,0.09706000000000001,0.0005066666666666667,1294,100,12.94,9,22,11.94,8,21,False,5.451847891090438,5.389934463077225,0.011893998016603291
5,TrialState.COMPLETE,0.02175949415376505,auc,optseed2,5202,0.814283774261003,0.8641565323800391,8e-05,0.02175949415376505,0.09734000000000002,0.00047,1313,100,13.13,9,20,12.13,8,19,False,5.915664345026016,5.849816211964935,0.012303952011279762
6,TrialState.COMPLETE,0.021448336334331308,auc,optseed2,5202,0.7036245698617621,0.8528523947205161,4e-05,0.021448336334331308,0.09759999999999999,0.00045,1358,100,13.58,9,22,12.58,8,21,False,5.788447960047051,5.726123329019174,0.011880807927809656
7,TrialState.COMPLETE,0.021477796498290153,auc,optseed2,5202,0.6999788088231929,0.8391642953465444,8e-05,0.021477796498290153,0.09717,0.0005600000000000001,1330,100,13.3,9,25,12.3,8,24,False,6.153204107074998,6.08576519601047,0.012313843006268144
8,TrialState.COMPLETE,0.021340474532108536,auc,optseed2,5202,0.7600545111262933,0.8365206250453627,0.0001,0.021340474532108536,0.09715000000000001,0.0005566666666666667,1338,100,13.38,9,24,12.38,8,23,False,5.892252043937333,5.820448642014526,0.019558546016924083
9,TrialState.COMPLETE,0.02148956564062872,auc,optseed2,5202,0.6933104040010244,0.9046866044069436,2e-05,0.02148956564062872,0.09722,0.0004133333333333333,1332,100,13.32,9,26,12.32,8,25,False,5.935480333981104,5.874334376072511,0.012489584973081946
