trial,state,value,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec
0,TrialState.COMPLETE,0.022808475551715675,auc,optseed3,6204,0.9461702463008493,0.5653331746002598,7.000000000000001e-05,0.022808475551715675,0.09783000000000001,0.0007666666666666668,1272,100,12.72,8,23,11.72,7,22,False,5.045957508031279,4.976515463087708,0.014463727944530547
1,TrialState.COMPLETE,0.020991586071391483,auc,optseed3,6204,0.9934930331410148,0.867175968173087,4e-05,0.020991586071391483,0.09708,0.0003833333333333334,1367,100,13.67,9,24,12.67,8,23,False,5.950191504904069,5.8869160109898075,0.01282340893521905
2,TrialState.COMPLETE,0.02126951588298183,auc,optseed3,6204,0.5016405522791811,0.8440246425536599,4e-05,0.02126951588298183,0.09738000000000001,0.0003533333333333333,1309,100,13.09,9,21,12.09,8,20,False,5.289777253055945,5.219029022962786,0.012011448969133198
3,TrialState.COMPLETE,0.02257296897656531,auc,optseed3,6204,0.9856652993396812,0.6243478434833233,9e-05,0.02257296897656531,0.09739,0.0005866666666666667,1302,100,13.02,9,26,12.02,8,25,False,5.759117951034568,5.685559818986803,0.02175564202480018
4,TrialState.COMPLETE,0.020977853166269572,auc,optseed3,6204,0.6761275432104767,0.9615093945719169,5e-05,0.020977853166269572,0.09543999999999998,0.00038666666666666667,1327,100,13.27,9,21,12.27,8,20,False,5.912896072957665,5.842009570915252,0.01879174797795713
5,TrialState.COMPLETE,0.020990031266781034,auc,optseed3,6204,0.9276672979082009,0.9496582275092169,6e-05,0.020990031266781034,0.09606999999999999,0.0003833333333333333,1368,100,13.68,9,26,12.68,8,25,False,5.600294830976054,5.532380054006353,0.012387663940899074
6,TrialState.COMPLETE,0.02236495144312172,auc,optseed3,6204,0.6465741671410578,0.6133786529725554,5e-05,0.02236495144312172,0.09775,0.0005933333333333333,1310,100,13.1,8,22,12.1,7,21,False,5.7438141639577225,5.6760505279526114,0.018081909976899624
7,TrialState.COMPLETE,0.021988361007327723,auc,optseed3,6204,0.6128284014020696,0.7900973063024266,3e-05,0.021988361007327723,0.09686,0.0005033333333333334,1254,100,12.54,9,21,11.54,8,20,False,5.729507188079879,5.658762198057957,0.018796727992594242
8,TrialState.COMPLETE,0.022171082625746852,auc,optseed3,6204,0.5029977638282461,0.8221755343153575,8e-05,0.022171082625746852,0.09697000000000001,0.0006766666666666667,1269,100,12.69,9,23,11.69,8,22,False,5.728545036981814,5.65872802794911,0.019220802932977676
9,TrialState.COMPLETE,0.021385192759339044,auc,optseed3,6204,0.9119107286390024,0.9661252056471223,6e-05,0.021385192759339044,0.09566999999999998,0.00048333333333333334,1284,100,12.84,9,21,11.84,8,20,False,6.0224632730241865,5.959266490070149,0.0120645189890638
10,TrialState.COMPLETE,0.022016772734704232,auc,optseed3,6204,0.7409204306242787,0.8220330328225971,9e-05,0.022016772734704232,0.09677000000000001,0.0007000000000000001,1284,100,12.84,9,22,11.84,8,21,False,5.648131834925152,5.585008683032356,0.011933278059586883
