trial,state,value,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec
0,TrialState.COMPLETE,0.02271514145241583,auc,optseed1,4201,0.6574356029318504,0.7140980508846468,5e-05,0.02271514145241583,0.09716999999999999,0.00083,1262,100,12.62,8,22,11.62,7,21,False,5.59439033200033,5.529677493032068,0.014318184927105904
1,TrialState.COMPLETE,0.021492054826881067,auc,optseed1,4201,0.6613957813778645,0.9188017433946274,5e-05,0.021492054826881067,0.09756000000000001,0.0003733333333333334,1319,100,13.19,9,24,12.19,8,23,False,5.618308598990552,5.554438679013401,0.012787917978130281
2,TrialState.COMPLETE,0.02255588049893004,auc,optseed1,4201,0.5544625219225228,0.5892410460364207,8e-05,0.02255588049893004,0.09745000000000001,0.0006233333333333334,1274,100,12.74,9,21,11.74,8,20,False,5.325061861076392,5.260772116947919,0.012250190949998796
3,TrialState.COMPLETE,0.02266967181258601,auc,optseed1,4201,0.8791122150037982,0.5933966626686877,4e-05,0.02266967181258601,0.09773,0.00082,1277,100,12.77,8,23,11.77,7,22,False,5.419730428955518,5.352120355004445,0.012321903021074831
4,TrialState.COMPLETE,0.02152501584919171,auc,optseed1,4201,0.5747253777880015,0.8543560229089613,3e-05,0.02152501584919171,0.09744000000000001,0.0005,1347,100,13.47,9,26,12.47,8,25,False,5.705435418989509,5.646902980981395,0.011989719001576304
5,TrialState.COMPLETE,0.022367093875981257,auc,optseed1,4201,0.5150445353969556,0.6663398580501623,4e-05,0.022367093875981257,0.09720000000000001,0.0005233333333333333,1296,100,12.96,9,25,11.96,8,24,False,6.082416657009162,6.019163693999872,0.012290723039768636
6,TrialState.COMPLETE,0.022449401872766034,auc,optseed1,4201,0.5809954747061268,0.5382159586190723,8e-05,0.022449401872766034,0.09825,0.0005233333333333333,1281,100,12.81,8,28,11.81,7,27,False,5.218195463065058,5.155368095962331,0.01176013599615544
7,TrialState.COMPLETE,0.022721512062885516,auc,optseed1,4201,0.6683721514135756,0.6442014329730512,8e-05,0.022721512062885516,0.09728999999999999,0.0006066666666666667,1255,100,12.55,9,24,11.55,8,23,False,5.665430755005218,5.6026223780354485,0.011860317084938288
8,TrialState.COMPLETE,0.02242176924296893,auc,optseed1,4201,0.8762192025388832,0.6887432889951453,5e-05,0.02242176924296893,0.09708000000000001,0.0005533333333333333,1274,100,12.74,8,24,11.74,7,23,False,5.465521698934026,5.393561414908618,0.018726896960288286
9,TrialState.COMPLETE,0.021759081288474164,auc,optseed1,4201,0.671003932934684,0.806722585753488,7.000000000000001e-05,0.021759081288474164,0.09675,0.0005766666666666666,1276,100,12.76,9,25,11.76,8,24,False,5.541930794017389,5.479182397015393,0.01227536192163825
10,TrialState.COMPLETE,0.021097551423894297,auc,optseed1,4201,0.5,0.9376630649560926,4e-05,0.021097551423894297,0.09630999999999998,0.00041666666666666664,1331,100,13.31,8,26,12.31,7,25,False,6.287531003006734,5.510932545061223,0.01266542705707252
11,TrialState.COMPLETE,0.020660806186404576,auc,optseed1,4201,0.5,0.9999999999999999,1e-05,0.020660806186404576,0.09521,0.00025,1324,100,13.24,9,23,12.24,8,22,False,5.680339458049275,5.393766018096358,0.012039418914355338
12,TrialState.COMPLETE,0.020727042794280028,auc,optseed1,4201,0.9999999999999999,0.9999999999999999,2e-05,0.020727042794280028,0.09512999999999998,0.00026,1332,100,13.32,9,22,12.32,8,21,False,5.920267408946529,5.652781239012256,0.012009399011731148
13,TrialState.COMPLETE,0.020727042794280028,auc,optseed1,4201,0.9999999999999999,0.9999999999999999,2e-05,0.020727042794280028,0.09512999999999998,0.00026,1332,100,13.32,9,22,12.32,8,21,False,5.861732620047405,5.58245388395153,0.011999499052762985
