trial,state,value,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec
0,TrialState.COMPLETE,0.021664340595249264,auc,optseed3,6203,0.9360858079656071,0.8538300079102035,6e-05,0.021664340595249264,0.09752,0.0004733333333333333,1318,100,13.18,9,22,12.18,8,21,False,5.798305144999176,5.737452549044974,0.014711621101014316
1,TrialState.COMPLETE,0.022989252540201455,auc,optseed3,6203,0.8092130882164572,0.5005577058861307,9e-05,0.022989252540201455,0.09808000000000001,0.0010366666666666666,1280,100,12.8,8,25,11.8,7,24,False,5.667016063933261,5.61344530293718,0.012194321025162935
2,TrialState.COMPLETE,0.021568494745021066,auc,optseed3,6203,0.6775402386257464,0.8983472312823659,9e-05,0.021568494745021066,0.09695000000000002,0.00043999999999999996,1293,100,12.93,9,20,11.93,8,19,False,5.841883799992502,5.786824272014201,0.012458143988624215
3,TrialState.COMPLETE,0.02093240104748193,auc,optseed3,6203,0.9709011415873456,0.9701167767055071,4e-05,0.02093240104748193,0.09583,0.0003733333333333334,1348,100,13.48,9,25,12.48,8,24,False,5.760693099000491,5.704709660960361,0.0118849080754444
4,TrialState.COMPLETE,0.020818312476419572,auc,optseed3,6203,0.7483392315006011,0.9419205384956151,2e-05,0.020818312476419572,0.09600999999999997,0.00036666666666666667,1357,100,13.57,8,23,12.57,7,22,False,5.8879459840245545,5.834348802920431,0.011904548038728535
5,TrialState.COMPLETE,0.022457469795301322,auc,optseed3,6203,0.7357269215354321,0.6833836950643047,5e-05,0.022457469795301322,0.09745000000000002,0.00055,1283,100,12.83,9,23,11.83,8,22,False,5.658169761067256,5.594558243989013,0.019247082993388176
6,TrialState.COMPLETE,0.02219268506700259,auc,optseed3,6203,0.9344184072427777,0.7061827599810797,0.00010999999999999999,0.02219268506700259,0.09754999999999997,0.0005733333333333334,1309,100,13.09,8,23,12.09,7,22,False,5.94887149007991,5.884625524980947,0.019161871983669698
7,TrialState.COMPLETE,0.02255936521025415,auc,optseed3,6203,0.805563576588383,0.6465173975832713,7.000000000000001e-05,0.02255936521025415,0.09739999999999999,0.0005099999999999999,1259,100,12.59,9,21,11.59,8,20,False,5.595053179888055,5.532489584991708,0.012463895021937788
8,TrialState.COMPLETE,0.02249081901934495,auc,optseed3,6203,0.9661467979075005,0.646091268985626,7.000000000000001e-05,0.02249081901934495,0.09738999999999999,0.0005,1264,100,12.64,9,22,11.64,8,21,False,5.604374957969412,5.550916409003548,0.011755306040868163
9,TrialState.COMPLETE,0.022038630374312654,auc,optseed3,6203,0.9576347062547205,0.7793380668547958,6e-05,0.022038630374312654,0.09731,0.0005566666666666667,1255,100,12.55,8,22,11.55,7,21,False,5.518227610038593,5.464632609044202,0.01251480495557189
10,TrialState.COMPLETE,0.022324788538001385,auc,optseed3,6203,0.7367415250036572,0.7300063175020273,4e-05,0.022324788538001385,0.09753999999999997,0.00065,1287,100,12.87,8,26,11.87,7,25,False,5.378271767986007,5.322040366008878,0.011970488936640322
11,TrialState.COMPLETE,0.02228443180465046,auc,optseed3,6203,0.8761300755216581,0.6703120305578126,3e-05,0.02228443180465046,0.09765,0.00054,1301,100,13.01,8,24,12.01,7,23,False,5.932126005995087,5.875965095008723,0.011798157007433474
12,TrialState.COMPLETE,0.02237652423738187,auc,optseed3,6203,0.9945102025492027,0.5984919776468616,6e-05,0.02237652423738187,0.09800999999999999,0.0006233333333333334,1280,100,12.8,9,23,11.8,8,22,False,5.46631609799806,5.411573113058694,0.011807525996118784
13,TrialState.COMPLETE,0.022565982908431436,auc,optseed3,6203,0.702663079657496,0.5963899117006161,6e-05,0.022565982908431436,0.09784000000000001,0.0006566666666666666,1267,100,12.67,8,22,11.67,7,21,False,5.354282990098,5.29350725596305,0.011884487001225352
14,TrialState.COMPLETE,0.0221961611724021,auc,optseed3,6203,0.5097933528695691,0.7971491914064103,1e-05,0.0221961611724021,0.09716999999999999,0.0005233333333333333,1229,100,12.29,9,23,11.29,8,22,False,5.434440059005283,5.380169390002266,0.012323391973040998
15,TrialState.COMPLETE,0.02192858343539845,auc,optseed3,6203,0.8150220329221916,0.8657534062868026,6e-05,0.02192858343539845,0.09727999999999999,0.0004733333333333333,1315,100,13.15,9,22,12.15,8,21,False,5.796696886885911,5.733168160077184,0.017884706961922348
16,TrialState.COMPLETE,0.02222275743736541,auc,optseed3,6203,0.9581011241558135,0.6049302242262086,6e-05,0.02222275743736541,0.09760000000000002,0.0008066666666666667,1346,100,13.46,8,27,12.46,7,26,False,5.634046492050402,5.56638038798701,0.019398035015910864
17,TrialState.COMPLETE,0.0219636237435341,auc,optseed3,6203,0.9504961492972908,0.7625189277744115,7.000000000000001e-05,0.0219636237435341,0.09815000000000002,0.0004933333333333334,1342,100,13.42,9,25,12.42,8,24,False,5.758781436947174,5.696373583981767,0.019059590995311737
18,TrialState.COMPLETE,0.02241926362714513,auc,optseed3,6203,0.8520666789733687,0.7243121387450486,9e-05,0.02241926362714513,0.09765,0.00067,1287,100,12.87,8,25,11.87,7,24,False,5.448665112955496,5.393094320083037,0.012230321997776628
19,TrialState.COMPLETE,0.021382414850543333,auc,optseed3,6203,0.7609081946118412,0.8482794871530828,5e-05,0.021382414850543333,0.09757000000000002,0.00032666666666666673,1320,100,13.2,9,22,12.2,8,21,False,5.995470989961177,5.934196179034188,0.011827127076685429
20,TrialState.COMPLETE,0.02074613515679778,auc,optseed3,6203,0.8669522568456531,0.9343036586339624,5e-05,0.02074613515679778,0.09645999999999998,0.0003733333333333334,1342,100,13.42,9,24,12.42,8,23,False,5.725815395009704,5.6708938389783725,0.012050990015268326
21,TrialState.COMPLETE,0.021509549384052484,auc,optseed3,6203,0.8632502437266962,0.8546960371171739,3e-05,0.021509549384052484,0.0977,0.00046666666666666666,1321,100,13.21,9,22,12.21,8,21,False,5.830660799983889,5.763843875960447,0.019065140979364514
22,TrialState.COMPLETE,0.021093904739094754,auc,optseed3,6203,0.7912710585400722,0.893434133882409,4e-05,0.021093904739094754,0.09709000000000001,0.0003233333333333333,1346,100,13.46,9,24,12.46,8,23,False,5.9400116968899965,5.876115626073442,0.012396233971230686
23,TrialState.COMPLETE,0.021189361341058328,auc,optseed3,6203,0.989933025301193,0.895420851234014,6e-05,0.021189361341058328,0.09699999999999999,0.0003966666666666667,1317,100,13.17,9,21,12.17,8,20,False,5.884983959025703,5.831444118986838,0.011826287023723125
24,TrialState.COMPLETE,0.021812265518298127,auc,optseed3,6203,0.8815349818094058,0.7721409200467009,8e-05,0.021812265518298127,0.09752000000000001,0.0005066666666666667,1290,100,12.9,9,23,11.9,8,22,False,5.533320173970424,5.477070881985128,0.011833088006824255
25,TrialState.COMPLETE,0.02274176087688093,auc,optseed3,6203,0.690764129599468,0.6547324285153322,3e-05,0.02274176087688093,0.09683,0.0007833333333333334,1224,100,12.24,9,23,11.24,8,22,False,5.505437960964628,5.445057751960121,0.012100780033506453
26,TrialState.COMPLETE,0.023168640448474817,auc,optseed3,6203,0.5081064505142594,0.5139710276964243,7.000000000000001e-05,0.023168640448474817,0.09843,0.0008333333333333333,1232,100,12.32,9,24,11.32,8,23,False,5.379372100927867,5.317588074947707,0.01922027301043272
27,TrialState.COMPLETE,0.022546387225476625,auc,optseed3,6203,0.5162890812013374,0.6464768860380781,4e-05,0.022546387225476625,0.09735999999999999,0.0006933333333333333,1261,100,12.61,8,22,11.61,7,21,False,5.4373088219435886,5.382197103928775,0.012054819031618536
28,TrialState.COMPLETE,0.022188458718354228,auc,optseed3,6203,0.9317376175066809,0.7756755362369698,4e-05,0.022188458718354228,0.09751,0.0007033333333333333,1262,100,12.62,8,22,11.62,7,21,False,5.525134910014458,5.461134627927095,0.012024279916658998
29,TrialState.COMPLETE,0.02258937880446007,auc,optseed3,6203,0.9232216537808163,0.6848533788237308,5e-05,0.02258937880446007,0.09739,0.0006066666666666667,1259,100,12.59,9,23,11.59,8,22,False,5.54934728005901,5.4952576929936185,0.011901348014362156
30,TrialState.COMPLETE,0.022624834725138977,auc,optseed3,6203,0.6322979692140244,0.5418325505883872,3e-05,0.022624834725138977,0.09794,0.0005166666666666667,1264,100,12.64,9,25,11.64,8,24,False,5.6248838159954175,5.563161049969494,0.01725506002549082
31,TrialState.COMPLETE,0.022745029916744985,auc,optseed3,6203,0.727140865473339,0.6025760591245046,8e-05,0.022745029916744985,0.09794,0.0011533333333333333,1314,100,13.14,8,24,12.14,7,23,False,5.618291590013541,5.560912413988262,0.011969169019721448
32,TrialState.COMPLETE,0.02259771920176487,auc,optseed3,6203,0.9093893965716197,0.6531753162222405,5e-05,0.02259771920176487,0.09693,0.0006566666666666666,1238,100,12.38,9,22,11.38,8,21,False,5.649576291907579,5.596550256945193,0.011799277039244771
33,TrialState.COMPLETE,0.022546318828690043,auc,optseed3,6203,0.6116200467669847,0.6217874109820716,6e-05,0.022546318828690043,0.09734,0.00065,1315,100,13.15,8,24,12.15,7,23,False,5.813882566057146,5.763005725922994,0.012250321917235851
34,TrialState.COMPLETE,0.02218025233521582,auc,optseed3,6203,0.6729301748205179,0.7739111261869096,6e-05,0.02218025233521582,0.09755000000000001,0.00063,1266,100,12.66,8,24,11.66,7,23,False,5.469960681046359,5.4041847080225125,0.018978749983944
35,TrialState.COMPLETE,0.022784342750558694,auc,optseed3,6203,0.931385856901945,0.5354447637357742,5e-05,0.022784342750558694,0.09843,0.0007433333333333334,1252,100,12.52,8,22,11.52,7,21,False,5.39406898105517,5.339679160970263,0.012018059031106532
36,TrialState.COMPLETE,0.021534164789759606,auc,optseed3,6203,0.7604381498551573,0.8870721115947795,5e-05,0.021534164789759606,0.09729000000000002,0.00043333333333333337,1332,100,13.32,9,21,12.32,8,20,False,6.010399522958323,5.955411404953338,0.01198265899438411
37,TrialState.COMPLETE,0.02195323144640017,auc,optseed3,6203,0.8399812191781506,0.8070708394566992,8e-05,0.02195323144640017,0.09672,0.0006233333333333334,1255,100,12.55,9,24,11.55,8,23,False,5.513501134933904,5.449061217950657,0.01946649607270956
38,TrialState.COMPLETE,0.0220068366754075,auc,optseed3,6203,0.6191953755321836,0.8205431561807959,7.000000000000001e-05,0.0220068366754075,0.09673,0.0007066666666666666,1278,100,12.78,9,22,11.78,8,21,False,5.745100959087722,5.684068390983157,0.019404324935749173
39,TrialState.COMPLETE,0.022553013635530278,auc,optseed3,6203,0.9076772777516761,0.7476836811585574,8e-05,0.022553013635530278,0.0975,0.0007833333333333334,1287,100,12.87,8,22,11.87,7,21,False,5.780193435028195,5.724119856022298,0.012492015026509762
40,TrialState.COMPLETE,0.021845712888418772,auc,optseed3,6203,0.6616142654704358,0.8993366359411634,7.000000000000001e-05,0.021845712888418772,0.09704000000000003,0.0004966666666666666,1278,100,12.78,9,21,11.78,8,20,False,5.94218444195576,5.890984158962965,0.011907377978786826
41,TrialState.COMPLETE,0.022970820408443945,auc,optseed3,6203,0.7606664966479426,0.5608858425655342,4e-05,0.022970820408443945,0.09774,0.0007266666666666667,1259,100,12.59,8,25,11.59,7,24,False,5.579347408027388,5.522305276943371,0.011741676018573344
42,TrialState.COMPLETE,0.022755938640994375,auc,optseed3,6203,0.5171266812444075,0.6530547281587751,1e-05,0.022755938640994375,0.09705999999999998,0.0006333333333333334,1230,100,12.3,9,20,11.3,8,19,False,5.632227601017803,5.573079796042293,0.01755216298624873
43,TrialState.COMPLETE,0.021641382380290276,auc,optseed3,6203,0.7102063772881697,0.9074986843786972,6e-05,0.021641382380290276,0.09727000000000002,0.0005266666666666667,1313,100,13.13,9,27,12.13,8,26,False,6.113317615003325,6.048310511978343,0.01915815204847604
44,TrialState.COMPLETE,0.02359638631999236,auc,optseed3,6203,0.5680405326794776,0.5116642756764569,6e-05,0.02359638631999236,0.09850999999999999,0.0008833333333333333,1194,100,11.94,9,21,10.94,8,20,False,5.205254243104719,5.152051817043684,0.011961139040067792
45,TrialState.COMPLETE,0.021753930953850066,auc,optseed3,6203,0.9959345166171495,0.8117901918671062,1e-05,0.021753930953850066,0.09649,0.0003933333333333333,1265,100,12.65,9,24,11.65,8,23,False,5.589564056019299,5.526337963994592,0.021885303081944585
46,TrialState.COMPLETE,0.020769633708912348,auc,optseed3,6203,0.8761939956369269,0.9731798532989656,1e-05,0.020769633708912348,0.09558,0.00041,1358,100,13.58,9,22,12.58,8,21,False,5.6829967990051955,5.626941869035363,0.011935768998228014
47,TrialState.COMPLETE,0.022999539528196264,auc,optseed3,6203,0.581985568403885,0.642445161405214,9e-05,0.022999539528196264,0.09749,0.0007133333333333333,1215,100,12.15,9,20,11.15,8,19,False,5.432426535058767,5.375579467043281,0.012100639985874295
48,TrialState.COMPLETE,0.022543186245728816,auc,optseed3,6203,0.8930165944886964,0.7270144446105683,7.000000000000001e-05,0.022543186245728816,0.09766999999999999,0.0005866666666666667,1289,100,12.89,9,24,11.89,8,23,False,5.783245960948989,5.7299565229332075,0.011919738026335835
49,TrialState.COMPLETE,0.022619286618395365,auc,optseed3,6203,0.6687097214247022,0.7206328375220626,0.00010999999999999999,0.022619286618395365,0.09760000000000002,0.0007300000000000001,1277,100,12.77,9,20,11.77,8,19,False,5.668974056956358,5.609631758998148,0.012153691030107439
50,TrialState.COMPLETE,0.020399520284282283,auc,optseed3,6203,0.7344178064169626,0.9962733074400119,2e-05,0.020399520284282283,0.09520999999999999,0.00027333333333333333,1325,100,13.25,9,22,12.25,8,21,False,5.4425719229038805,5.385622923960909,0.012023859075270593
51,TrialState.COMPLETE,0.022539680679913333,auc,optseed3,6203,0.8770289516442085,0.7261018215729131,7.000000000000001e-05,0.022539680679913333,0.09773,0.0006333333333333334,1279,100,12.79,9,23,11.79,8,22,False,5.513608445995487,5.453741792007349,0.01821407105308026
52,TrialState.COMPLETE,0.02176920363193737,auc,optseed3,6203,0.5301525770977438,0.8120843606694177,3e-05,0.02176920363193737,0.09660000000000002,0.0005066666666666667,1283,100,12.83,9,22,11.83,8,21,False,5.680748731945641,5.618069656076841,0.01882874791044742
53,TrialState.COMPLETE,0.021382983302979382,auc,optseed3,6203,0.6514825034613017,0.906092821227399,4e-05,0.021382983302979382,0.09727999999999999,0.00039666666666666664,1333,100,13.33,9,23,12.33,8,22,False,6.0831155750202015,6.030568317044526,0.012106220005080104
54,TrialState.COMPLETE,0.021955472344589045,auc,optseed3,6203,0.962555284631728,0.7712230531679216,0.0001,0.021955472344589045,0.09756999999999999,0.00052,1285,100,12.85,9,26,11.85,8,25,False,5.381206061923876,5.317153909942135,0.01827034098096192
55,TrialState.COMPLETE,0.022972265365439518,auc,optseed3,6203,0.5811387574615525,0.6388478444674104,8e-05,0.022972265365439518,0.09755999999999998,0.0006766666666666667,1216,100,12.16,9,20,11.16,8,19,False,5.498424720019102,5.44530554395169,0.011983179021626711
