trial,state,value,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec,trial_info_arrow,trial_pop_arrow,trial_agent_arrow
0,TrialState.COMPLETE,0.021456576916874356,auc,optseed5,8202,0.9741793365045398,0.8245182034717267,6e-05,0.021456576916874356,0.09702000000000002,0.00053,1300,100,13.0,9,23,12.0,8,22,False,5.322969648055732,5.258242577081546,0.014365957118570805,result/trials/trial_0000_info.arrow,result/trials/trial_0000_pop.arrow,result/trials/trial_0000_agent.arrow
1,TrialState.COMPLETE,0.02245025352504916,auc,optseed5,8202,0.7442673684788607,0.6932145082556647,5e-05,0.02245025352504916,0.09723000000000001,0.0006,1304,100,13.04,9,23,12.04,8,22,False,5.989750273060054,5.9212425500154495,0.012621436035260558,result/trials/trial_0001_info.arrow,result/trials/trial_0001_pop.arrow,result/trials/trial_0001_agent.arrow
2,TrialState.COMPLETE,0.022405141115790332,auc,optseed5,8202,0.7524456000100883,0.7215620756531524,0.0001,0.022405141115790332,0.09757999999999999,0.0006666666666666666,1289,100,12.89,9,23,11.89,8,22,False,5.741283324081451,5.677114760968834,0.0124998539686203,result/trials/trial_0002_info.arrow,result/trials/trial_0002_pop.arrow,result/trials/trial_0002_agent.arrow
3,TrialState.COMPLETE,0.02240509240532131,auc,optseed5,8202,0.6405175105398409,0.7211198913856273,0.00010999999999999999,0.02240509240532131,0.09754000000000002,0.0007366666666666667,1294,100,12.94,9,23,11.94,8,22,False,5.807118136901408,5.744437390938401,0.012006029020994902,result/trials/trial_0003_info.arrow,result/trials/trial_0003_pop.arrow,result/trials/trial_0003_agent.arrow
4,TrialState.COMPLETE,0.022532840799852023,auc,optseed5,8202,0.7643375170100899,0.7449794169241823,0.00010000000000000002,0.022532840799852023,0.09753,0.0008266666666666666,1258,100,12.58,8,21,11.58,7,20,False,5.626012967899442,5.562303400132805,0.012372374068945646,result/trials/trial_0004_info.arrow,result/trials/trial_0004_pop.arrow,result/trials/trial_0004_agent.arrow
5,TrialState.COMPLETE,0.022308706105664277,auc,optseed5,8202,0.8041615094619541,0.7742929031283945,5e-05,0.022308706105664277,0.09756000000000002,0.00059,1254,100,12.54,9,24,11.54,8,23,False,5.393508864799514,5.33139685401693,0.011855677934363484,result/trials/trial_0005_info.arrow,result/trials/trial_0005_pop.arrow,result/trials/trial_0005_agent.arrow
6,TrialState.COMPLETE,0.02125429464996648,auc,optseed5,8202,0.7048859450910127,0.8424766510256053,3e-05,0.02125429464996648,0.09734000000000002,0.00032,1317,100,13.17,9,22,12.17,8,21,False,5.8173456261865795,5.752830497920513,0.012078080093488097,result/trials/trial_0006_info.arrow,result/trials/trial_0006_pop.arrow,result/trials/trial_0006_agent.arrow
7,TrialState.COMPLETE,0.02202156831923666,auc,optseed5,8202,0.8426088019538506,0.808683296930689,4e-05,0.02202156831923666,0.09657000000000002,0.0005333333333333334,1246,100,12.46,9,22,11.46,8,21,False,5.429550461936742,5.351773770991713,0.017745534889400005,result/trials/trial_0007_info.arrow,result/trials/trial_0007_pop.arrow,result/trials/trial_0007_agent.arrow
8,TrialState.COMPLETE,0.022252327823952863,auc,optseed5,8202,0.5727776631020347,0.7610535490471063,4e-05,0.022252327823952863,0.09802000000000001,0.0005133333333333333,1318,100,13.18,8,27,12.18,7,26,False,5.746275132056326,5.683699357090518,0.012383833061903715,result/trials/trial_0008_info.arrow,result/trials/trial_0008_pop.arrow,result/trials/trial_0008_agent.arrow
9,TrialState.COMPLETE,0.02268887009942504,auc,optseed5,8202,0.6640202206334912,0.7246232533720518,9e-05,0.02268887009942504,0.09771999999999999,0.0006866666666666667,1270,100,12.7,8,23,11.7,7,22,False,5.685666029108688,5.62237303587608,0.017464211909100413,result/trials/trial_0009_info.arrow,result/trials/trial_0009_pop.arrow,result/trials/trial_0009_agent.arrow
