trial,state,value,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec,trial_info_arrow,trial_pop_arrow,trial_agent_arrow
0,TrialState.COMPLETE,0.02248585493584354,auc,optseed4,7204,0.9023699804193133,0.6991565544771198,0.00014000000000000001,0.02248585493584354,0.09743,0.0007633333333333333,1268,100,12.68,9,25,11.68,8,24,False,5.9308426710776985,5.855060921981931,0.014441648032516241,result/trials/trial_0000_info.arrow,result/trials/trial_0000_pop.arrow,result/trials/trial_0000_agent.arrow
1,TrialState.COMPLETE,0.022937514944120205,auc,optseed4,7204,0.5111119821375887,0.5163041223208095,9e-05,0.022937514944120205,0.09857,0.00084,1265,100,12.65,9,28,11.65,8,27,False,5.32992501789704,5.265746664023027,0.012153340969234705,result/trials/trial_0001_info.arrow,result/trials/trial_0001_pop.arrow,result/trials/trial_0001_agent.arrow
2,TrialState.COMPLETE,0.021420344944563522,auc,optseed4,7204,0.7362781102805107,0.8765482275612522,8e-05,0.021420344944563522,0.09716,0.00051,1341,100,13.41,8,28,12.41,7,27,False,5.648405818035826,5.58539999788627,0.01766451494768262,result/trials/trial_0002_info.arrow,result/trials/trial_0002_pop.arrow,result/trials/trial_0002_agent.arrow
3,TrialState.COMPLETE,0.021213417968727177,auc,optseed4,7204,0.7712947940604032,0.8942215035500614,6e-05,0.021213417968727177,0.09705000000000003,0.00036333333333333335,1332,100,13.32,9,24,12.32,8,23,False,6.122268578968942,6.060361791867763,0.011721465969458222,result/trials/trial_0003_info.arrow,result/trials/trial_0003_pop.arrow,result/trials/trial_0003_agent.arrow
4,TrialState.COMPLETE,0.021541001519404225,auc,optseed4,7204,0.5182136819016285,0.9185284510109482,6e-05,0.021541001519404225,0.09756999999999998,0.0004133333333333333,1316,100,13.16,9,26,12.16,8,25,False,5.664087689947337,5.602052161004394,0.012213471811264753,result/trials/trial_0004_info.arrow,result/trials/trial_0004_pop.arrow,result/trials/trial_0004_agent.arrow
5,TrialState.COMPLETE,0.020654456852677545,auc,optseed4,7204,0.8380809743767275,0.9993340346907509,2e-05,0.020654456852677545,0.09513999999999999,0.0002833333333333333,1331,100,13.31,9,23,12.31,8,22,False,5.861988172866404,5.79419193812646,0.012227440951392055,result/trials/trial_0005_info.arrow,result/trials/trial_0005_pop.arrow,result/trials/trial_0005_agent.arrow
6,TrialState.COMPLETE,0.0227231437410199,auc,optseed4,7204,0.730818056641261,0.5286619347675057,3e-05,0.0227231437410199,0.09839000000000002,0.0005766666666666666,1305,100,13.05,9,24,12.05,8,23,False,5.532033919123933,5.470777160022408,0.012212280882522464,result/trials/trial_0006_info.arrow,result/trials/trial_0006_pop.arrow,result/trials/trial_0006_agent.arrow
7,TrialState.COMPLETE,0.021996735631800258,auc,optseed4,7204,0.7602214449924323,0.7643878352461718,4e-05,0.021996735631800258,0.09796000000000003,0.00043666666666666664,1315,100,13.15,9,25,12.15,8,24,False,5.322574643185362,5.2655094808433205,0.011850757990032434,result/trials/trial_0007_info.arrow,result/trials/trial_0007_pop.arrow,result/trials/trial_0007_agent.arrow
8,TrialState.COMPLETE,0.021531542354747076,auc,optseed4,7204,0.8134553119375598,0.8497901702960808,7.000000000000001e-05,0.021531542354747076,0.09782,0.0003933333333333333,1315,100,13.15,9,22,12.15,8,21,False,5.8143690610304475,5.7448382650036365,0.012040400179103017,result/trials/trial_0008_info.arrow,result/trials/trial_0008_pop.arrow,result/trials/trial_0008_agent.arrow
9,TrialState.COMPLETE,0.021368409608838016,auc,optseed4,7204,0.9920969246284836,0.8905607277406322,8e-05,0.021368409608838016,0.09708,0.00044333333333333334,1310,100,13.1,9,21,12.1,8,20,False,5.98232973809354,5.912643569987267,0.019185693003237247,result/trials/trial_0009_info.arrow,result/trials/trial_0009_pop.arrow,result/trials/trial_0009_agent.arrow
