trial,state,value,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec,trial_info_arrow,trial_pop_arrow,trial_agent_arrow
0,TrialState.COMPLETE,0.02149572044175295,auc,optseed4,7201,0.5855298891422647,0.8481570078427235,5e-05,0.02149572044175295,0.09747,0.00034,1320,100,13.2,9,21,12.2,8,20,False,5.893918222980574,5.826869016047567,0.014247575076296926,result/trials/trial_0000_info.arrow,result/trials/trial_0000_pop.arrow,result/trials/trial_0000_agent.arrow
1,TrialState.COMPLETE,0.021277825206853694,auc,optseed4,7201,0.7339121065517444,0.9693266222516523,6e-05,0.021277825206853694,0.09577,0.00046666666666666666,1305,100,13.05,9,25,12.05,8,24,False,5.9215492031071335,5.8588200360536575,0.011929588159546256,result/trials/trial_0001_info.arrow,result/trials/trial_0001_pop.arrow,result/trials/trial_0001_agent.arrow
2,TrialState.COMPLETE,0.021920351070369253,auc,optseed4,7201,0.5921053998589025,0.8088701819283928,8e-05,0.021920351070369253,0.09668000000000002,0.0005833333333333334,1259,100,12.59,9,24,11.59,8,23,False,5.464875041041523,5.4035144709050655,0.011954029090702534,result/trials/trial_0002_info.arrow,result/trials/trial_0002_pop.arrow,result/trials/trial_0002_agent.arrow
3,TrialState.COMPLETE,0.021401560068812376,auc,optseed4,7201,0.7474999607320489,0.871021791265068,8e-05,0.021401560068812376,0.0971,0.0003233333333333333,1341,100,13.41,9,23,12.41,8,22,False,5.540026462171227,5.472563539864495,0.012478474993258715,result/trials/trial_0003_info.arrow,result/trials/trial_0003_pop.arrow,result/trials/trial_0003_agent.arrow
4,TrialState.COMPLETE,0.021535555114349167,auc,optseed4,7201,0.570006165309121,0.8517599488902576,6e-05,0.021535555114349167,0.09770000000000001,0.0004566666666666667,1342,100,13.42,9,26,12.42,8,25,False,5.780233534984291,5.7136442239861935,0.011746976058930159,result/trials/trial_0004_info.arrow,result/trials/trial_0004_pop.arrow,result/trials/trial_0004_agent.arrow
5,TrialState.COMPLETE,0.022233915537378,auc,optseed4,7201,0.5048517912126527,0.6834584610217749,5e-05,0.022233915537378,0.09730000000000003,0.0004766666666666667,1321,100,13.21,9,22,12.21,8,21,False,5.557534585008398,5.495359414955601,0.01187152718193829,result/trials/trial_0005_info.arrow,result/trials/trial_0005_pop.arrow,result/trials/trial_0005_agent.arrow
6,TrialState.COMPLETE,0.02273040394018606,auc,optseed4,7201,0.5775943669812551,0.6563657612582123,4e-05,0.02273040394018606,0.09675999999999998,0.0007433333333333334,1228,100,12.28,9,22,11.28,8,21,False,5.448143668007106,5.375100910896435,0.018801718018949032,result/trials/trial_0006_info.arrow,result/trials/trial_0006_pop.arrow,result/trials/trial_0006_agent.arrow
7,TrialState.COMPLETE,0.02263727089393496,auc,optseed4,7201,0.8029571156493844,0.7156899084610575,6e-05,0.02263727089393496,0.09702,0.0009466666666666666,1302,100,13.02,8,23,12.02,7,22,False,6.138661917997524,6.069942821981385,0.019022820983082056,result/trials/trial_0007_info.arrow,result/trials/trial_0007_pop.arrow,result/trials/trial_0007_agent.arrow
8,TrialState.COMPLETE,0.02289573651232668,auc,optseed4,7201,0.6446197035596165,0.5287871188148838,6e-05,0.02289573651232668,0.0984,0.0006433333333333334,1284,100,12.84,9,24,11.84,8,23,False,5.435975986998528,5.3749474990181625,0.011637465097010136,result/trials/trial_0008_info.arrow,result/trials/trial_0008_pop.arrow,result/trials/trial_0008_agent.arrow
9,TrialState.COMPLETE,0.022440767780784524,auc,optseed4,7201,0.6616831415557263,0.5972420863147978,9e-05,0.022440767780784524,0.09784000000000001,0.00063,1281,100,12.81,8,23,11.81,7,22,False,5.303530472097918,5.238306635990739,0.012056060135364532,result/trials/trial_0009_info.arrow,result/trials/trial_0009_pop.arrow,result/trials/trial_0009_agent.arrow
