trial,state,value,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec,trial_info_arrow,trial_pop_arrow,trial_agent_arrow
0,TrialState.COMPLETE,0.02151396637594432,auc,optseed4,7203,0.7275401597518691,0.8898969385626896,5e-05,0.02151396637594432,0.09725,0.00037999999999999997,1306,100,13.06,9,24,12.06,8,23,False,6.01480493391864,5.951795302797109,0.014590969076380134,result/trials/trial_0000_info.arrow,result/trials/trial_0000_pop.arrow,result/trials/trial_0000_agent.arrow
1,TrialState.COMPLETE,0.022560028997576212,auc,optseed4,7203,0.7812129777350729,0.6451956027841075,6e-05,0.022560028997576212,0.09732999999999999,0.0005166666666666667,1262,100,12.62,9,21,11.62,8,20,False,5.491349427960813,5.436280721100047,0.013104621088132262,result/trials/trial_0001_info.arrow,result/trials/trial_0001_pop.arrow,result/trials/trial_0001_agent.arrow
2,TrialState.COMPLETE,0.022372160463719287,auc,optseed4,7203,0.7731710300257664,0.7963851334671392,1e-05,0.022372160463719287,0.09714000000000002,0.0005866666666666667,1206,100,12.06,9,22,11.06,8,21,False,5.511197437997907,5.456312163034454,0.012661645887419581,result/trials/trial_0002_info.arrow,result/trials/trial_0002_pop.arrow,result/trials/trial_0002_agent.arrow
3,TrialState.COMPLETE,0.02155802420096206,auc,optseed4,7203,0.9726606620810985,0.8383301747226158,8e-05,0.02155802420096206,0.09734000000000002,0.0005366666666666666,1309,100,13.09,9,23,12.09,8,22,False,5.8485222570598125,5.792282625101507,0.011979019036516547,result/trials/trial_0003_info.arrow,result/trials/trial_0003_pop.arrow,result/trials/trial_0003_agent.arrow
4,TrialState.COMPLETE,0.022536233144196106,auc,optseed4,7203,0.6685496070640461,0.7464588012086726,0.00010000000000000002,0.022536233144196106,0.09749999999999998,0.0007599999999999999,1262,100,12.62,8,25,11.62,7,24,False,5.42967187310569,5.375253953039646,0.012138551101088524,result/trials/trial_0004_info.arrow,result/trials/trial_0004_pop.arrow,result/trials/trial_0004_agent.arrow
5,TrialState.COMPLETE,0.02125856931252442,auc,optseed4,7203,0.6243859381514666,0.9239231555110724,4e-05,0.02125856931252442,0.09720000000000001,0.00033666666666666665,1352,100,13.52,10,22,12.52,9,21,False,5.813325718976557,5.75860117492266,0.012201990932226181,result/trials/trial_0005_info.arrow,result/trials/trial_0005_pop.arrow,result/trials/trial_0005_agent.arrow
6,TrialState.COMPLETE,0.02145157209135034,auc,optseed4,7203,0.9711738182634411,0.8606793820017495,5e-05,0.02145157209135034,0.09780000000000001,0.0005099999999999999,1326,100,13.26,9,24,12.26,8,23,False,5.722038061125204,5.661395588889718,0.017230489058420062,result/trials/trial_0006_info.arrow,result/trials/trial_0006_pop.arrow,result/trials/trial_0006_agent.arrow
7,TrialState.COMPLETE,0.022496742164234113,auc,optseed4,7203,0.8165520428317322,0.623104684853345,8e-05,0.022496742164234113,0.0973,0.0006666666666666666,1318,100,13.18,9,25,12.18,8,24,False,5.602861690102145,5.533054982079193,0.019451965112239122,result/trials/trial_0007_info.arrow,result/trials/trial_0007_pop.arrow,result/trials/trial_0007_agent.arrow
8,TrialState.COMPLETE,0.02264772631113969,auc,optseed4,7203,0.9343020498669877,0.7294531645289358,6e-05,0.02264772631113969,0.09741,0.0007666666666666668,1276,100,12.76,8,23,11.76,7,22,False,5.631644103908911,5.57606693985872,0.012512465007603168,result/trials/trial_0008_info.arrow,result/trials/trial_0008_pop.arrow,result/trials/trial_0008_agent.arrow
9,TrialState.COMPLETE,0.02208905196746838,auc,optseed4,7203,0.5240710865397284,0.814669958782485,0.0,0.02208905196746838,0.0964,0.0006,1268,100,12.68,9,21,11.68,8,20,False,5.642226547002792,5.586482651066035,0.01206653006374836,result/trials/trial_0009_info.arrow,result/trials/trial_0009_pop.arrow,result/trials/trial_0009_agent.arrow
10,TrialState.COMPLETE,0.022481288080921567,auc,optseed4,7203,0.9434043907137988,0.6243227428982279,0.0001,0.022481288080921567,0.09731999999999999,0.0005766666666666666,1310,100,13.1,9,26,12.1,8,25,False,5.793903624173254,5.738819275982678,0.011872257106006145,result/trials/trial_0010_info.arrow,result/trials/trial_0010_pop.arrow,result/trials/trial_0010_agent.arrow
11,TrialState.COMPLETE,0.022150230008252843,auc,optseed4,7203,0.7343677971077163,0.7109894466943834,0.00010999999999999999,0.022150230008252843,0.09717999999999999,0.00065,1289,100,12.89,9,21,11.89,8,20,False,5.571872832020745,5.509988953825086,0.017270029988139868,result/trials/trial_0011_info.arrow,result/trials/trial_0011_pop.arrow,result/trials/trial_0011_agent.arrow
12,TrialState.COMPLETE,0.022859059809275092,auc,optseed4,7203,0.9523176827261735,0.5025356349151953,7.000000000000001e-05,0.022859059809275092,0.09811,0.00097,1274,100,12.74,9,25,11.74,8,24,False,5.521244094939902,5.462244540918618,0.012025289935991168,result/trials/trial_0012_info.arrow,result/trials/trial_0012_pop.arrow,result/trials/trial_0012_agent.arrow
13,TrialState.COMPLETE,0.02282883608321017,auc,optseed4,7203,0.8510046635369675,0.7153509781164951,6e-05,0.02282883608321017,0.09702999999999999,0.0009533333333333334,1268,100,12.68,8,23,11.68,7,22,False,6.125955641036853,6.073689995799214,0.011957019101828337,result/trials/trial_0013_info.arrow,result/trials/trial_0013_pop.arrow,result/trials/trial_0013_agent.arrow
14,TrialState.COMPLETE,0.02260368208211899,auc,optseed4,7203,0.7205718165193923,0.6347208358746599,7.000000000000001e-05,0.02260368208211899,0.0972,0.0006266666666666666,1277,100,12.77,9,24,11.77,8,23,False,5.739766156999394,5.681595453061163,0.011809456860646605,result/trials/trial_0014_info.arrow,result/trials/trial_0014_pop.arrow,result/trials/trial_0014_agent.arrow
15,TrialState.COMPLETE,0.021474006987794288,auc,optseed4,7203,0.7683034592880005,0.8354755769139238,7.000000000000001e-05,0.021474006987794288,0.09711000000000002,0.0005766666666666666,1327,100,13.27,9,23,12.27,8,22,False,5.9123178261797875,5.857680013170466,0.012003928888589144,result/trials/trial_0015_info.arrow,result/trials/trial_0015_pop.arrow,result/trials/trial_0015_agent.arrow
16,TrialState.COMPLETE,0.021562691931520498,auc,optseed4,7203,0.5717299318662501,0.8257601013466029,2e-05,0.021562691931520498,0.09713000000000001,0.00048,1303,100,13.03,9,22,12.03,8,21,False,5.612412740942091,5.548083025962114,0.01938652410171926,result/trials/trial_0016_info.arrow,result/trials/trial_0016_pop.arrow,result/trials/trial_0016_agent.arrow
17,TrialState.COMPLETE,0.021411115724102182,auc,optseed4,7203,0.9683390444600392,0.9175754667651699,5e-05,0.021411115724102182,0.09751,0.0005066666666666667,1331,100,13.31,9,22,12.31,8,21,False,5.809528804849833,5.7536615380086005,0.012094710022211075,result/trials/trial_0017_info.arrow,result/trials/trial_0017_pop.arrow,result/trials/trial_0017_agent.arrow
