trial,state,value,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec
0,TrialState.COMPLETE,0.016457040916077248,auc,optseed2,5202,0.7173947394943179,0.5364652509067006,5.6944788313939106e-05,0.016457040916077248,0.06880911116613023,0.000394487084261781,1692,100,16.92,10,29,15.92,9,28,False,35.61570148903411,35.546168813016266,0.014531429042108357
1,TrialState.COMPLETE,0.016731017957156345,auc,optseed2,5202,0.6759251717345456,0.7649485353051565,4.208962614508542e-05,0.016731017957156345,0.06898242139143353,0.00041016753321779323,1586,100,15.86,10,30,14.86,9,29,False,35.915480782976374,35.84593904693611,0.012040519970469177
2,TrialState.COMPLETE,0.016726850929959156,auc,optseed2,5202,0.8238340628322781,0.8327323007575975,4.9517207229512264e-05,0.016726850929959156,0.06880415944540727,0.00030618139803581746,1569,100,15.69,10,30,14.69,9,29,False,34.893327728961594,34.831978528993204,0.011807626928202808
3,TrialState.COMPLETE,0.016762934222860907,auc,optseed2,5202,0.9312385983879216,0.7063250002664025,2.9710324337707355e-05,0.016762934222860907,0.0689130973013122,0.00036477675992407357,1612,100,16.12,10,29,15.12,9,28,False,35.450619887094945,35.39028344792314,0.012065250077284873
4,TrialState.COMPLETE,0.016748928857260603,auc,optseed2,5202,0.8391057101229757,0.826215620832766,4.704134686803664e-05,0.016748928857260603,0.06880663530576875,0.000319385986630354,1570,100,15.7,10,30,14.7,9,29,False,36.391109043965116,36.32721826399211,0.011893988004885614
5,TrialState.COMPLETE,0.016510585500500996,auc,optseed2,5202,0.814283774261003,0.8641565323800391,5.942064867541471e-05,0.016510585500500996,0.06875216637781628,0.00041202442848889994,1641,100,16.41,10,31,15.41,9,30,False,33.69765503506642,33.626814553979784,0.018066309043206275
6,TrialState.COMPLETE,0.01618580874240929,auc,optseed2,5202,0.7036245698617621,0.8528523947205161,3.466204506065858e-05,0.01618580874240929,0.06872493191384006,0.00038478996451266816,1701,100,17.01,10,31,16.01,9,30,False,34.43337096006144,34.37127290992066,0.01186525693628937
7,TrialState.COMPLETE,0.016438018265834405,auc,optseed2,5202,0.6582890561504342,0.8172592989806785,5.69447883139391e-05,0.016438018265834405,0.06886358009408271,0.00034496987703226873,1622,100,16.22,10,30,15.22,9,29,False,36.92187829397153,36.84808145905845,0.011788145988248289
8,TrialState.COMPLETE,0.01678827618378738,auc,optseed2,5202,0.7160910560079856,0.8401091783726691,2.9710324337707355e-05,0.01678827618378738,0.068781876702154,0.0004378146405876042,1566,100,15.66,10,32,14.66,9,31,False,34.653301388956606,34.58968740096316,0.01776579604484141
9,TrialState.COMPLETE,0.016888819231428865,auc,optseed2,5202,0.6247207607159806,0.8775957890949457,5.446892795246348e-05,0.016888819231428865,0.0688115870264917,0.00040954856812742426,1554,100,15.54,10,35,14.54,9,34,False,33.51567257591523,33.45559034997132,0.012114549987018108
10,TrialState.COMPLETE,0.016230697075127955,auc,optseed2,5202,0.7135730607271806,0.9382407625822422,7.6751671205744e-05,0.016230697075127955,0.06851943550383759,0.00035528596187175043,1624,100,16.24,10,31,15.24,9,30,False,33.24978250497952,33.18825458304491,0.011681414907798171
11,TrialState.COMPLETE,0.01671072549729845,auc,optseed2,5202,0.6339796415484292,0.7845742137405101,6.189650903689034e-05,0.01671072549729845,0.06899975241396385,0.000385408929603037,1580,100,15.8,10,29,14.8,9,28,False,35.76551554503385,35.704904382932,0.011822656961157918
12,TrialState.COMPLETE,0.01648158498977782,auc,optseed2,5202,0.7890299145927899,0.9556475021264781,3.9613765783609805e-05,0.01648158498977782,0.06843278039118593,0.0003565238920524882,1618,100,16.18,10,31,15.18,9,30,False,37.10003210906871,37.03521612798795,0.012053309008479118
13,TrialState.COMPLETE,0.016428524403512623,auc,optseed2,5202,0.8283116843642382,0.7902144897797887,5.694478831393911e-05,0.016428524403512623,0.0689948006932409,0.0003705537674341834,1587,100,15.87,10,30,14.87,9,29,False,34.67502412002068,34.599276022054255,0.017724995967000723
14,TrialState.COMPLETE,0.01679228586596754,auc,optseed2,5202,0.6161870186379705,0.8851930041869891,4.208962614508542e-05,0.01679228586596754,0.0687917801435999,0.00034765205909053395,1576,100,15.76,10,35,14.76,9,34,False,34.21339294093195,34.15047093096655,0.012011009966954589
15,TrialState.COMPLETE,0.016278900401099954,auc,optseed2,5202,0.6812701754511712,0.7919104322513664,4.456548650656104e-05,0.016278900401099954,0.06899232483287943,0.000351572171329537,1629,100,16.29,10,33,15.29,9,32,False,34.96457732503768,34.887760134995915,0.01924944296479225
16,TrialState.COMPLETE,0.01657303439079921,auc,optseed2,5202,0.691763854208793,0.7211287220786629,2.7234463976231744e-05,0.01657303439079921,0.06898984897251795,0.00036126929107864984,1604,100,16.04,10,32,15.04,9,31,False,36.21058479207568,36.144996332004666,0.011958008981309831
17,TrialState.COMPLETE,0.01688645948952324,auc,optseed2,5202,0.7701628267447744,0.7848470652246125,6.437236939836594e-05,0.01688645948952324,0.06899975241396385,0.00039696294462325657,1563,100,15.63,10,28,14.63,9,27,False,35.54736111708917,35.486047056969255,0.012273392057977617
18,TrialState.COMPLETE,0.01659184434634819,auc,optseed2,5202,0.7103018370852066,0.9290065673907297,6.684822975984154e-05,0.01659184434634819,0.06861351819757366,0.00038293306924156145,1597,100,15.97,10,34,14.97,9,33,False,34.78073036496062,34.705815966939554,0.018753757001832128
19,TrialState.COMPLETE,0.016378060651515355,auc,optseed2,5202,0.723705100837684,0.8627217008960892,6.189650903689032e-05,0.016378060651515355,0.06872740777420153,0.0004673186432285219,1666,100,16.66,10,31,15.66,9,30,False,35.21352179907262,35.14441521896515,0.011985099059529603
20,TrialState.COMPLETE,0.01693426621013282,auc,optseed2,5202,0.7089481804764612,0.8739382304059161,5.69447883139391e-05,0.01693426621013282,0.0688016835850458,0.0003556986052653297,1529,100,15.29,10,30,14.29,9,29,False,33.44600950903259,33.37885031104088,0.012429064023308456
21,TrialState.COMPLETE,0.016795744289755676,auc,optseed2,5202,0.7190718854235706,0.8276105288648754,5.69447883139391e-05,0.016795744289755676,0.06877692498143105,0.0003086572583972931,1553,100,15.53,10,29,14.53,9,28,False,36.388762566959485,36.31994197005406,0.018212361028417945
22,TrialState.COMPLETE,0.01653511434259013,auc,optseed2,5202,0.7200693902196187,0.7825667459767656,5.199306759098787e-05,0.01653511434259013,0.06895766278781877,0.0003202112734175126,1603,100,16.03,10,29,15.03,9,28,False,36.26920865208376,36.196436499012634,0.018183579901233315
23,TrialState.COMPLETE,0.016836660135558467,auc,optseed2,5202,0.7614288304275574,0.570840969435008,4.2089626145085416e-05,0.016836660135558467,0.0687620698192622,0.0004456548650656103,1597,100,15.97,11,29,14.97,10,28,False,35.577365634962916,35.5152402149979,0.011811416945420206
24,TrialState.COMPLETE,0.016604680895044358,auc,optseed2,5202,0.7346578501276386,0.6290524954043102,2.475860361475613e-05,0.016604680895044358,0.0687323594949245,0.00041594454072790295,1599,100,15.99,10,31,14.99,9,30,False,35.70396396203432,35.62812785303686,0.01757960405666381
25,TrialState.COMPLETE,0.01633407208085547,auc,optseed2,5202,0.7243900169214043,0.8547233759581665,4.9517207229512264e-05,0.01633407208085547,0.068729883634563,0.0003682842287694974,1652,100,16.52,10,31,15.52,9,30,False,35.26917895395309,35.199239884037524,0.01194113795645535
26,TrialState.COMPLETE,0.016730319375296746,auc,optseed2,5202,0.7235022132222266,0.7730325749475917,3.7137905422134186e-05,0.016730319375296746,0.06897994553107205,0.0002995791037385492,1603,100,16.03,10,30,15.03,9,29,False,36.16400117299054,36.09430927503854,0.01904689008370042
27,TrialState.COMPLETE,0.016756582774143793,auc,optseed2,5202,0.6923631104646599,0.7720488007915295,3.9613765783609805e-05,0.016756582774143793,0.068984897251795,0.00033671700916068333,1597,100,15.97,10,30,14.97,9,29,False,35.91841594700236,35.8482037440408,0.017993777990341187
28,TrialState.COMPLETE,0.016536004534033266,auc,optseed2,5202,0.7539224256376289,0.7611571425200104,4.208962614508542e-05,0.016536004534033266,0.06894280762564992,0.00043657671040686635,1609,100,16.09,10,30,15.09,9,29,False,35.9682014840655,35.902422931976616,0.011828657006844878
29,TrialState.COMPLETE,0.016682061609915793,auc,optseed2,5202,0.693917848777506,0.7797168478724799,3.961376578360981e-05,0.016682061609915793,0.06895023520673434,0.0003045308244615004,1596,100,15.96,10,31,14.96,9,30,False,36.55067090294324,36.48162991297431,0.01889161905273795
30,TrialState.COMPLETE,0.01614487145586724,auc,optseed2,5202,0.6724902569485318,0.9126081176517978,4.7041346868036646e-05,0.01614487145586724,0.06865560782371874,0.0003259882809276224,1661,100,16.61,10,29,15.61,9,28,False,33.522634497028776,33.45193099800963,0.01915851200465113
31,TrialState.COMPLETE,0.016257805895805586,auc,optseed2,5202,0.6558911106128886,0.9823590779451254,5.446892795246349e-05,0.016257805895805586,0.06834860113889576,0.00031360897912024424,1640,100,16.4,10,32,15.4,9,31,False,36.73055696696974,36.65173079399392,0.019184501958079636
32,TrialState.COMPLETE,0.01683029815082093,auc,optseed2,5202,0.6768271549093572,0.878846820479135,3.713790542213419e-05,0.01683029815082093,0.0688115870264917,0.00035095320623916814,1568,100,15.68,10,35,14.68,9,34,False,33.984616930014454,33.92376954504289,0.012099740910343826
33,TrialState.COMPLETE,0.01653761029312721,auc,optseed2,5202,0.6926512917523953,0.9332466975535396,5.69447883139391e-05,0.01653761029312721,0.06860113889576629,0.000423784765205909,1592,100,15.92,10,31,14.92,9,30,False,34.91131392796524,34.839955060975626,0.018895738990977407
34,TrialState.COMPLETE,0.016656284719990203,auc,optseed2,5202,0.6824060040108978,0.8260164816816651,4.7041346868036646e-05,0.016656284719990203,0.06883139390938352,0.0002484113229347198,1569,100,15.69,10,28,14.69,9,27,False,36.46479331795126,36.39597887103446,0.01883957802783698
35,TrialState.COMPLETE,0.017044582482476905,auc,optseed2,5202,0.7109449939852489,0.8758331869491349,4.456548650656103e-05,0.017044582482476905,0.0688214904679376,0.000351572171329537,1520,100,15.2,10,30,14.2,9,29,False,33.97420047991909,33.910857726004906,0.011691445019096136
36,TrialState.COMPLETE,0.016951705421185084,auc,optseed2,5202,0.6853747719699748,0.8440753210428461,1.9806882891804906e-05,0.016951705421185084,0.0688214904679376,0.00039242386729388464,1533,100,15.33,10,32,14.33,9,31,False,34.13204451906495,34.06000432302244,0.017094588023610413
