trial,state,value,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec
0,TrialState.COMPLETE,0.016799330234958713,auc,optseed1,4201,0.6574356029318504,0.7140980508846468,1.2379301807378064e-05,0.016799330234958713,0.06894033176528844,0.00039696294462325657,1588,100,15.88,10,30,14.88,9,29,False,36.25532702100463,36.1845899609616,0.015403468976728618
1,TrialState.COMPLETE,0.016351554409264373,auc,optseed1,4201,0.6613957813778645,0.9188017433946274,5.942064867541471e-05,0.016351554409264373,0.0686184699182966,0.00041780143599900966,1618,100,16.18,10,32,15.18,9,31,False,37.43796815397218,37.36696863104589,0.012793038971722126
2,TrialState.COMPLETE,0.017332167354222324,auc,optseed1,4201,0.5544625219225228,0.5892410460364207,3.9613765783609805e-05,0.017332167354222324,0.06867789056697203,0.000460510027234464,1537,100,15.37,10,36,14.37,9,35,False,35.570926340064034,35.50817274407018,0.012070019962266088
3,TrialState.COMPLETE,0.016864330170020814,auc,optseed1,4201,0.8791122150037982,0.5933966626686877,2.723446397623174e-05,0.016864330170020814,0.06870264917058677,0.0002913262358669638,1582,100,15.82,10,35,14.82,9,34,False,36.68005386192817,36.61106045299675,0.01900170010048896
4,TrialState.COMPLETE,0.016250762730647194,auc,optseed1,4201,0.5747253777880015,0.8543560229089613,4.7041346868036646e-05,0.016250762730647194,0.068729883634563,0.00038355203433193037,1672,100,16.72,10,32,15.72,9,31,False,34.945722465985455,34.876503984909505,0.018145409994758666
5,TrialState.COMPLETE,0.016585623901528842,auc,optseed1,4201,0.5150445353969556,0.6663398580501623,5.69447883139391e-05,0.016585623901528842,0.06886853181480565,0.0003977882314104151,1639,100,16.39,11,29,15.39,10,28,False,36.58023424609564,36.52119768108241,0.011846887995488942
6,TrialState.COMPLETE,0.016515481508597222,auc,optseed1,4201,0.5809954747061268,0.5382159586190723,7.922753156721961e-05,0.016515481508597222,0.06880663530576875,0.0005116778080382933,1685,100,16.85,10,29,15.85,9,28,False,36.22289904509671,36.166744553949684,0.011968208942562342
7,TrialState.COMPLETE,0.016667706781541735,auc,optseed1,4201,0.6683721514135756,0.6442014329730512,4.7041346868036646e-05,0.016667706781541735,0.06887843525625155,0.00037385491458281754,1616,100,16.16,11,29,15.16,10,28,False,36.144363444997,36.08699830097612,0.011885846965014935
8,TrialState.COMPLETE,0.016740585242342513,auc,optseed1,4201,0.8762192025388832,0.6887432889951453,4.208962614508542e-05,0.016740585242342513,0.0689130973013122,0.000319385986630354,1598,100,15.98,10,32,14.98,9,31,False,34.891918323002756,34.824958177050576,0.01184941700194031
9,TrialState.COMPLETE,0.016913128556515524,auc,optseed1,4201,0.671003932934684,0.806722585753488,3.218618469918297e-05,0.016913128556515524,0.0689650903689032,0.00030700668482297596,1525,100,15.25,10,28,14.25,9,27,False,34.61337127501611,34.553480622009374,0.011840497027151287
10,TrialState.COMPLETE,0.016285167265144434,auc,optseed1,4201,0.5011359426212978,0.9855341445682317,5.446892795246348e-05,0.016285167265144434,0.06833127011636543,0.00029215152265412234,1612,100,16.12,10,29,15.12,9,28,False,36.777054685982876,36.196369647048414,0.012400993960909545
11,TrialState.COMPLETE,0.016269201179168268,auc,optseed1,4201,0.5324106063256582,0.9999999999999999,4.9517207229512264e-05,0.016269201179168268,0.06837335974251052,0.000343112981761162,1640,100,16.4,9,32,15.4,8,31,False,36.8345544320764,36.56085912103299,0.012065990013070405
12,TrialState.COMPLETE,0.016481417668941227,auc,optseed1,4201,0.5,0.9505722368292997,4.951720722951226e-05,0.016481417668941227,0.06848229759841545,0.00041099282000495174,1600,100,16.0,10,28,15.0,9,27,False,35.602858530008234,35.33330838801339,0.012081079999916255
13,TrialState.COMPLETE,0.01626876086705368,auc,optseed1,4201,0.6257736675570641,0.9999999999999999,3.9613765783609805e-05,0.01626876086705368,0.06837335974251052,0.0003455888421226376,1634,100,16.34,9,32,15.34,8,31,False,37.04006571392529,36.74116510094609,0.012163680046796799
14,TrialState.COMPLETE,0.016239537212412062,auc,optseed1,4201,0.6304043380667593,0.9999999999999999,3.9613765783609805e-05,0.016239537212412062,0.06837335974251052,0.00034806470248411323,1637,100,16.37,9,32,15.37,8,31,False,37.295797697035596,36.939633509959094,0.012575475964695215
15,TrialState.COMPLETE,0.016441718383275718,auc,optseed1,4201,0.7176874849566259,0.9999999999999999,3.9613765783609805e-05,0.016441718383275718,0.068375835602872,0.0003977882314104151,1594,100,15.94,9,30,14.94,8,29,False,37.254284795955755,36.93690176808741,0.01264232606627047
16,TrialState.COMPLETE,0.016222879943606206,auc,optseed1,4201,0.5719994064660039,0.9999999999999999,3.9613765783609805e-05,0.016222879943606206,0.06837335974251052,0.00036126929107864984,1641,100,16.41,9,32,15.41,8,31,False,37.626603309996426,37.32475008198526,0.012350652948953211
17,TrialState.COMPLETE,0.01636615954164078,auc,optseed1,4201,0.5,0.9999999999999999,4.951720722951226e-05,0.01636615954164078,0.06837335974251052,0.00034146240818684495,1628,100,16.28,9,32,15.28,8,31,False,37.60214041604195,37.34316703490913,0.012561006005853415
18,TrialState.COMPLETE,0.016320867612050857,auc,optseed1,4201,0.5949131378095632,0.9999999999999999,4.208962614508542e-05,0.016320867612050857,0.06837335974251052,0.0003670462985887596,1629,100,16.29,9,32,15.29,8,31,False,37.14844942896161,36.841860647080466,0.011916927993297577
19,TrialState.COMPLETE,0.016274848357399525,auc,optseed1,4201,0.9999999999999999,0.9999999999999999,4.951720722951226e-05,0.016274848357399525,0.0683560287199802,0.00042502269538664686,1614,100,16.14,9,30,15.14,8,29,False,35.35859422001522,35.05651167000178,0.012739156954921782
20,TrialState.COMPLETE,0.016423079699241058,auc,optseed1,4201,0.8982400143075568,0.9999999999999999,3.9613765783609805e-05,0.016423079699241058,0.0683560287199802,0.00036807790707270776,1590,100,15.9,9,28,14.9,8,27,False,36.499722382985055,36.20774360897485,0.012558575952425599
21,TrialState.COMPLETE,0.016274848357399525,auc,optseed1,4201,0.9999999999999999,0.9999999999999999,4.951720722951226e-05,0.016274848357399525,0.0683560287199802,0.00042502269538664686,1614,100,16.14,9,30,15.14,8,29,False,35.42168908100575,35.14351468801033,0.012006609002128243
