trial,state,value,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec
0,TrialState.COMPLETE,0.01653464501049899,auc,optseed2,5203,0.7368569825558742,0.5215976459550953,5.199306759098787e-05,0.01653464501049899,0.06875711809853924,0.0004019146653462078,1638,100,16.38,10,34,15.38,9,33,False,35.19982588104904,35.13435940199997,0.014664469985291362
1,TrialState.COMPLETE,0.01673735536466793,auc,optseed2,5203,0.5409439645395849,0.8902923012994686,2.9710324337707352e-05,0.01673735536466793,0.06878435256251547,0.00034249401667079315,1580,100,15.8,10,35,14.8,9,34,False,33.3011868710164,33.24554727599025,0.012276221998035908
2,TrialState.COMPLETE,0.016980881767268443,auc,optseed2,5203,0.7931772627319535,0.5974806046042811,2.723446397623174e-05,0.016980881767268443,0.06867789056697203,0.0003656020467112322,1565,100,15.65,10,33,14.65,9,32,False,35.67893956194166,35.614641188061796,0.019607907044701278
3,TrialState.COMPLETE,0.016279205758676318,auc,optseed2,5203,0.7332897435613703,0.9537040362335032,3.218618469918297e-05,0.016279205758676318,0.06849220103986135,0.0003744738796731864,1664,100,16.64,10,37,15.64,9,36,False,38.14336036797613,38.08780718303751,0.011991078965365887
4,TrialState.COMPLETE,0.016621181204682697,auc,optseed2,5203,0.8592124194470392,0.5412522794910942,5.942064867541471e-05,0.016621181204682697,0.06877444912106957,0.00038582157299661636,1657,100,16.57,10,32,15.57,9,31,False,35.29013139696326,35.22977486799937,0.012010638951323926
5,TrialState.COMPLETE,0.01657746114464442,auc,optseed2,5203,0.7484555541378886,0.9681954395277282,4.208962614508542e-05,0.01657746114464442,0.06841792522901709,0.00040273995213336634,1600,100,16.0,10,30,15.0,9,29,False,34.742156488006,34.672514769947156,0.023607303970493376
6,TrialState.COMPLETE,0.01648617998484864,auc,optseed2,5203,0.9946226767401332,0.7769614752668489,5.446892795246349e-05,0.01648617998484864,0.06895766278781877,0.0004320376330774944,1647,100,16.47,10,32,15.47,9,31,False,35.36558224109467,35.302904275013134,0.018725397065281868
7,TrialState.COMPLETE,0.016921227452600683,auc,optseed2,5203,0.6459819296862181,0.7391999976697612,4.9517207229512264e-05,0.016921227452600683,0.06893785590492696,0.00037468020136997604,1540,100,15.4,10,29,14.4,9,28,False,35.387415094068274,35.325551968067884,0.01931014400906861
8,TrialState.COMPLETE,0.01697070504288202,auc,optseed2,5203,0.9109323332751316,0.7738192179157051,4.7041346868036646e-05,0.01697070504288202,0.06895766278781877,0.00039201122390030536,1571,100,15.71,10,30,14.71,9,29,False,36.164062542957254,36.10815835604444,0.01281184796243906
9,TrialState.COMPLETE,0.01656153083568029,auc,optseed2,5203,0.5859710927608791,0.6658134502289741,5.446892795246348e-05,0.01656153083568029,0.06886853181480565,0.0003885037550548816,1645,100,16.45,11,34,15.45,10,33,False,37.11338703299407,37.051560866995715,0.019326794077642262
10,TrialState.COMPLETE,0.01642648700125621,auc,optseed2,5203,0.9832700490470943,0.952636162499656,2.723446397623174e-05,0.01642648700125621,0.0684674424362466,0.00032206816868861934,1603,100,16.03,10,31,15.03,9,30,False,37.347743168938905,37.281827194965445,0.022515640943311155
11,TrialState.COMPLETE,0.016546480978414987,auc,optseed2,5203,0.6291935727341351,0.9725070789678234,3.466204506065858e-05,0.016546480978414987,0.06838821490467938,0.0003134026574234547,1597,100,15.97,10,32,14.97,9,31,False,34.61926065408625,34.555949409957975,0.018592876032926142
12,TrialState.COMPLETE,0.01670017027613699,auc,optseed2,5203,0.7608056293405201,0.5176652451535654,5.69447883139391e-05,0.01670017027613699,0.06875464223817777,0.0003649830816208632,1617,100,16.17,10,34,15.17,9,33,False,34.92277306097094,34.86219761800021,0.011942108976654708
13,TrialState.COMPLETE,0.016691816797604966,auc,optseed2,5203,0.7715979054187447,0.6687500887673754,6.684822975984154e-05,0.016691816797604966,0.06886605595444417,0.0004827927704877445,1608,100,16.08,11,30,15.08,10,29,False,37.125346542103216,37.063820168958046,0.019185101962648332
14,TrialState.COMPLETE,0.01630887935028244,auc,optseed2,5203,0.8451998660021389,0.7230341568469703,4.208962614508542e-05,0.01630887935028244,0.0689650903689032,0.0003406371213996864,1653,100,16.53,10,32,15.53,9,31,False,36.20884469291195,36.145155284088105,0.018677906948141754
15,TrialState.COMPLETE,0.01652093372377143,auc,optseed2,5203,0.5759513149137978,0.6386703768518376,3.713790542213419e-05,0.01652093372377143,0.06885615251299827,0.0004341008500453908,1627,100,16.27,10,30,15.27,9,29,False,35.061180034070276,35.00809678900987,0.011744205956347287
16,TrialState.COMPLETE,0.01660262988375826,auc,optseed2,5203,0.7509519380793324,0.6740109329111641,3.9613765783609805e-05,0.01660262988375826,0.06894280762564992,0.0003367170091606834,1640,100,16.4,11,30,15.4,10,29,False,35.98416457895655,35.92119509901386,0.019236663007177413
17,TrialState.COMPLETE,0.016160549638412302,auc,optseed2,5203,0.8686810774311124,0.9759745560174047,6.437236939836593e-05,0.016160549638412302,0.06831889081455805,0.00038726582487414373,1640,100,16.4,10,32,15.4,9,31,False,34.79554984602146,34.74143408902455,0.011917038005776703
18,TrialState.COMPLETE,0.0164705427205658,auc,optseed2,5203,0.669869152867387,0.7684881989563668,4.9517207229512264e-05,0.0164705427205658,0.0689948006932409,0.00033176528843773207,1638,100,16.38,10,31,15.38,9,30,False,36.016610393999144,35.95479742891621,0.017493722960352898
19,TrialState.COMPLETE,0.016945966506314122,auc,optseed2,5203,0.9843454690020224,0.5709840101903487,2.2282743253280514e-05,0.016945966506314122,0.06875959395890073,0.0004827927704877445,1586,100,15.86,10,38,14.86,9,37,False,36.52102077903692,36.45955900696572,0.01862437603995204
