trial,state,value,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec,trial_info_arrow,trial_pop_arrow,trial_agent_arrow
0,TrialState.COMPLETE,0.01662203581759096,auc,optseed5,8202,0.9741793365045398,0.8245182034717267,6.189650903689032e-05,0.01662203581759096,0.06883634563010647,0.00031360897912024424,1572,100,15.72,10,29,14.72,9,28,False,36.170062612975016,36.10333859012462,0.014957132982090116,result/trials/trial_0000_info.arrow,result/trials/trial_0000_pop.arrow,result/trials/trial_0000_agent.arrow
1,TrialState.COMPLETE,0.01656149819263757,auc,optseed5,8202,0.7442673684788607,0.6932145082556647,3.713790542213419e-05,0.01656149819263757,0.06895766278781877,0.00028637451514401256,1622,100,16.22,10,33,15.22,9,32,False,34.71252343500964,34.64426963287406,0.01205585990101099,result/trials/trial_0001_info.arrow,result/trials/trial_0001_pop.arrow,result/trials/trial_0001_agent.arrow
2,TrialState.COMPLETE,0.01632156188880355,auc,optseed5,8202,0.7524456000100883,0.7215620756531524,2.9710324337707352e-05,0.01632156188880355,0.0689650903689032,0.00032206816868861934,1648,100,16.48,10,36,15.48,9,35,False,35.9749090319965,35.91393341496587,0.012027339078485966,result/trials/trial_0002_info.arrow,result/trials/trial_0002_pop.arrow,result/trials/trial_0002_agent.arrow
3,TrialState.COMPLETE,0.016720690633988275,auc,optseed5,8202,0.6405175105398409,0.7211198913856273,3.4662045060658575e-05,0.016720690633988275,0.06898984897251795,0.00041367500206321696,1584,100,15.84,10,31,14.84,9,30,False,35.44486861000769,35.38275034097023,0.011761815985664725,result/trials/trial_0003_info.arrow,result/trials/trial_0003_pop.arrow,result/trials/trial_0003_agent.arrow
4,TrialState.COMPLETE,0.01671720033340509,auc,optseed5,8202,0.7643375170100899,0.7449794169241823,6.189650903689032e-05,0.01671720033340509,0.06891557316167368,0.0004316249896839152,1597,100,15.97,10,29,14.97,9,28,False,35.950502728810534,35.88711803383194,0.011966939084231853,result/trials/trial_0004_info.arrow,result/trials/trial_0004_pop.arrow,result/trials/trial_0004_agent.arrow
5,TrialState.COMPLETE,0.01681576269969082,auc,optseed5,8202,0.8041615094619541,0.7742929031283945,2.2282743253280514e-05,0.01681576269969082,0.06895766278781877,0.00027213831806552775,1591,100,15.91,10,35,14.91,9,34,False,36.149842818966135,36.087151122046635,0.01188610796816647,result/trials/trial_0005_info.arrow,result/trials/trial_0005_pop.arrow,result/trials/trial_0005_agent.arrow
6,TrialState.COMPLETE,0.016762129132453764,auc,optseed5,8202,0.7048859450910127,0.8424766510256053,1.4855162168853678e-05,0.016762129132453764,0.06876702153998514,0.00041140546339853097,1562,100,15.62,10,32,14.62,9,31,False,33.740778285078704,33.675995784113184,0.012368472991511226,result/trials/trial_0006_info.arrow,result/trials/trial_0006_pop.arrow,result/trials/trial_0006_agent.arrow
7,TrialState.COMPLETE,0.016679841217229603,auc,optseed5,8202,0.8479648347932971,0.7078596788249722,2.723446397623174e-05,0.016679841217229603,0.06894280762564992,0.00035858710902038457,1618,100,16.18,10,32,15.18,9,31,False,36.63558644684963,36.55985261918977,0.01918993191793561,result/trials/trial_0007_info.arrow,result/trials/trial_0007_pop.arrow,result/trials/trial_0007_agent.arrow
8,TrialState.COMPLETE,0.01658970560276525,auc,optseed5,8202,0.6177014737140403,0.675733896047984,3.71379054221342e-05,0.01658970560276525,0.06890814558058926,0.000362300899562598,1644,100,16.44,11,30,15.44,10,29,False,36.34734566695988,36.27478105598129,0.016234768088907003,result/trials/trial_0008_info.arrow,result/trials/trial_0008_pop.arrow,result/trials/trial_0008_agent.arrow
9,TrialState.COMPLETE,0.01651290267865801,auc,optseed5,8202,0.6938672254960826,0.6424073194817435,4.208962614508542e-05,0.01651290267865801,0.06888091111661303,0.00035838078732359493,1637,100,16.37,11,31,15.37,10,30,False,35.51049498002976,35.44869688502513,0.011858976911753416,result/trials/trial_0009_info.arrow,result/trials/trial_0009_pop.arrow,result/trials/trial_0009_agent.arrow
10,TrialState.COMPLETE,0.01665991174074333,auc,optseed5,8202,0.6944905591375227,0.6805671267329376,5.199306759098787e-05,0.01665991174074333,0.06891062144095074,0.0004223405133283816,1632,100,16.32,10,32,15.32,9,31,False,36.64315707492642,36.57882317900658,0.011716415174305439,result/trials/trial_0010_info.arrow,result/trials/trial_0010_pop.arrow,result/trials/trial_0010_agent.arrow
11,TrialState.COMPLETE,0.01698284116481612,auc,optseed5,8202,0.6625215869314374,0.7069759908621327,3.218618469918297e-05,0.01698284116481612,0.0689130973013122,0.00033919286952215896,1569,100,15.69,10,27,14.69,9,26,False,35.33703064988367,35.277612081961706,0.011680995812639594,result/trials/trial_0011_info.arrow,result/trials/trial_0011_pop.arrow,result/trials/trial_0011_agent.arrow
