trial,state,value,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec,trial_info_arrow,trial_pop_arrow,trial_agent_arrow
0,TrialState.COMPLETE,0.016373805039363434,auc,optseed5,8204,0.7246827994200287,0.9359567704692382,6.684822975984154e-05,0.016373805039363434,0.06853924238672938,0.0004138813237600066,1628,100,16.28,10,32,15.28,9,31,False,34.37092761718668,34.3004193790257,0.01501523400656879,result/trials/trial_0000_info.arrow,result/trials/trial_0000_pop.arrow,result/trials/trial_0000_agent.arrow
1,TrialState.COMPLETE,0.016487933500574262,auc,optseed5,8204,0.7257212001965541,0.7027926217678998,3.218618469918297e-05,0.016487933500574262,0.06896756622926467,0.000317735413056037,1659,100,16.59,10,29,15.59,9,28,False,35.85907816910185,35.789687304990366,0.011988799087703228,result/trials/trial_0001_info.arrow,result/trials/trial_0001_pop.arrow,result/trials/trial_0001_agent.arrow
2,TrialState.COMPLETE,0.016747679787920574,auc,optseed5,8204,0.6793556446287075,0.6378697468191463,4.456548650656104e-05,0.016747679787920574,0.06884129735082942,0.00040273995213336634,1586,100,15.86,10,30,14.86,9,29,False,34.991469206055626,34.927683777874336,0.011837906902655959,result/trials/trial_0002_info.arrow,result/trials/trial_0002_pop.arrow,result/trials/trial_0002_agent.arrow
3,TrialState.COMPLETE,0.016831131229230356,auc,optseed5,8204,0.6424347217518043,0.5694867138562983,3.218618469918296e-05,0.016831131229230356,0.06875464223817777,0.00037715606173145173,1608,100,16.08,11,31,15.08,10,30,False,35.9718366661109,35.89653877308592,0.01828179182484746,result/trials/trial_0003_info.arrow,result/trials/trial_0003_pop.arrow,result/trials/trial_0003_agent.arrow
4,TrialState.COMPLETE,0.016719229661800897,auc,optseed5,8204,0.5644466403368835,0.5732855912880801,3.218618469918296e-05,0.016719229661800897,0.06874721465709335,0.00036477675992407357,1603,100,16.03,10,29,15.03,9,28,False,35.14825878315605,35.08323428011499,0.011910627828910947,result/trials/trial_0004_info.arrow,result/trials/trial_0004_pop.arrow,result/trials/trial_0004_agent.arrow
5,TrialState.COMPLETE,0.01652005664506363,auc,optseed5,8204,0.7127049735177423,0.6483962373590457,4.7041346868036646e-05,0.01652005664506363,0.0689031938598663,0.000385408929603037,1622,100,16.22,10,31,15.22,9,30,False,35.22045995015651,35.1497239000164,0.019230383215472102,result/trials/trial_0005_info.arrow,result/trials/trial_0005_pop.arrow,result/trials/trial_0005_agent.arrow
6,TrialState.COMPLETE,0.016385316828203586,auc,optseed5,8204,0.6251819871941726,0.5212353613094842,3.9613765783609805e-05,0.016385316828203586,0.06874969051745482,0.00036395147313691506,1661,100,16.61,10,31,15.61,9,30,False,35.554622530937195,35.4913545679301,0.011881198035553098,result/trials/trial_0006_info.arrow,result/trials/trial_0006_pop.arrow,result/trials/trial_0006_agent.arrow
7,TrialState.COMPLETE,0.01686705413273522,auc,optseed5,8204,0.80989762443591,0.5492610664864416,3.218618469918297e-05,0.01686705413273522,0.06878930428323843,0.0003532227449038541,1574,100,15.74,10,31,14.74,9,30,False,34.994001056067646,34.927231821930036,0.01708295801654458,result/trials/trial_0007_info.arrow,result/trials/trial_0007_pop.arrow,result/trials/trial_0007_agent.arrow
8,TrialState.COMPLETE,0.016786290382132696,auc,optseed5,8204,0.9519849494978507,0.6349326920390823,3.218618469918297e-05,0.016786290382132696,0.06877940084179253,0.0004704134686803664,1573,100,15.73,10,29,14.73,9,28,False,34.600323054008186,34.52972958702594,0.018739036982879043,result/trials/trial_0008_info.arrow,result/trials/trial_0008_pop.arrow,result/trials/trial_0008_agent.arrow
9,TrialState.COMPLETE,0.016396735475247896,auc,optseed5,8204,0.980641196039828,0.9389387755410687,6.684822975984156e-05,0.016396735475247896,0.06851200792275317,0.00045019394239498225,1597,100,15.97,10,31,14.97,9,30,False,33.43056896002963,33.35894415015355,0.019124511862173676,result/trials/trial_0009_info.arrow,result/trials/trial_0009_pop.arrow,result/trials/trial_0009_agent.arrow
