trial,state,value,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec,trial_info_arrow,trial_pop_arrow,trial_agent_arrow
0,TrialState.COMPLETE,0.01607358884677981,auc,optseed6,9203,0.5947941498106812,0.9813172703577855,4.951720722951226e-05,0.01607358884677981,0.06834860113889576,0.00031608483948171993,1660,100,16.6,10,33,15.6,9,32,False,36.2590149641037,36.20354263088666,0.01486372179351747,result/trials/trial_0000_info.arrow,result/trials/trial_0000_pop.arrow,result/trials/trial_0000_agent.arrow
1,TrialState.COMPLETE,0.01634643941517914,auc,optseed6,9203,0.7985982798939337,0.9406226895421004,5.69447883139391e-05,0.01634643941517914,0.06851943550383759,0.00035611124865890894,1612,100,16.12,10,31,15.12,9,30,False,33.60691134305671,33.552674405043945,0.013231554068624973,result/trials/trial_0001_info.arrow,result/trials/trial_0001_pop.arrow,result/trials/trial_0001_agent.arrow
2,TrialState.COMPLETE,0.016400925071176117,auc,optseed6,9203,0.7902526331331194,0.9743382599016694,5.446892795246349e-05,0.016400925071176117,0.06832879425600397,0.0003581744656268053,1587,100,15.87,10,32,14.87,9,31,False,34.421472461894155,34.35703095514327,0.01909100078046322,result/trials/trial_0002_info.arrow,result/trials/trial_0002_pop.arrow,result/trials/trial_0002_agent.arrow
3,TrialState.COMPLETE,0.016654099567726337,auc,optseed6,9203,0.7610709674310394,0.7003442522626375,3.466204506065858e-05,0.016654099567726337,0.06896013864818024,0.00033424114879920775,1618,100,16.18,10,31,15.18,9,30,False,35.60602948698215,35.545379164861515,0.017641403945162892,result/trials/trial_0003_info.arrow,result/trials/trial_0003_pop.arrow,result/trials/trial_0003_agent.arrow
4,TrialState.COMPLETE,0.016626943594244742,auc,optseed6,9203,0.8594985406962103,0.53792524930476,6.189650903689032e-05,0.016626943594244742,0.06880911116613023,0.00041016753321779323,1658,100,16.58,10,29,15.58,9,28,False,35.749770832946524,35.68569200998172,0.018409823067486286,result/trials/trial_0004_info.arrow,result/trials/trial_0004_pop.arrow,result/trials/trial_0004_agent.arrow
5,TrialState.COMPLETE,0.01626812649854783,auc,optseed6,9203,0.9048973865448093,0.902267186811893,2.4758603614756132e-05,0.01626812649854783,0.06866303540480317,0.0003497152760584303,1635,100,16.35,10,37,15.35,9,36,False,34.20146701298654,34.13862572493963,0.017575204139575362,result/trials/trial_0005_info.arrow,result/trials/trial_0005_pop.arrow,result/trials/trial_0005_agent.arrow
6,TrialState.COMPLETE,0.0162019166616344,auc,optseed6,9203,0.5365232047126338,0.9797744418642251,5.942064867541471e-05,0.0162019166616344,0.06834364941817281,0.0003878847899645127,1637,100,16.37,10,32,15.37,9,31,False,34.7974502381403,34.74194269487634,0.01207523001357913,result/trials/trial_0006_info.arrow,result/trials/trial_0006_pop.arrow,result/trials/trial_0006_agent.arrow
7,TrialState.COMPLETE,0.016852875371000876,auc,optseed6,9203,0.8913409444187905,0.87640423420367,4.7041346868036646e-05,0.016852875371000876,0.06881406288685317,0.0003474457373937443,1543,100,15.43,10,35,14.43,9,34,False,33.61407596687786,33.548813309986144,0.019486146047711372,result/trials/trial_0007_info.arrow,result/trials/trial_0007_pop.arrow,result/trials/trial_0007_agent.arrow
8,TrialState.COMPLETE,0.01638964157298754,auc,optseed6,9203,0.6981183921202653,0.9703956895694505,4.7041346868036646e-05,0.01638964157298754,0.06835355285961871,0.0003466204506065858,1613,100,16.13,11,30,15.13,10,29,False,35.766879030968994,35.70034476998262,0.019457055954262614,result/trials/trial_0008_info.arrow,result/trials/trial_0008_pop.arrow,result/trials/trial_0008_agent.arrow
9,TrialState.COMPLETE,0.016428150058332588,auc,optseed6,9203,0.9618515729035879,0.6531703162420508,5.942064867541471e-05,0.016428150058332588,0.06890071799950484,0.0004134686803664273,1649,100,16.49,10,30,15.49,9,29,False,35.837454648921266,35.77307084295899,0.01949698617681861,result/trials/trial_0009_info.arrow,result/trials/trial_0009_pop.arrow,result/trials/trial_0009_agent.arrow
