network,network_label,method,rank_final_selfish_ratio,rank_normalized_selfish_auc,rank_peak_selfish_ratio,rank_final_window_selfish_mean,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,best_certainty,best_effectiveness
ba_1000,BA1000,random,1,1,1,1,0.0,0.020811762539647723,0.09607999999999998,0.00035000000000000005,0.5465513839029497,0.9486078789766634
ba_1000,BA1000,ga,2,2,2,2,1e-05,0.02192171923376761,0.09715,0.0005166666666666667,0.8659969709057025,0.7993292420985183
ba_1000,BA1000,gpr,2,2,2,2,1e-05,0.02192171923376761,0.09715,0.0005166666666666667,0.8659969709057025,0.7993292420985183
ba_1000,BA1000,cmaes,2,4,4,4,1e-05,0.02270077325301977,0.09833,0.0007833333333333334,0.97562918915332,0.5181274621747493
facebook,Facebook,ga,2,1,1,1,1.733102253032929e-05,0.016498174691876203,0.06872245605347858,0.00027750268218205824,0.5704621124873813,0.9010984903770198
facebook,Facebook,random,2,1,1,1,1.733102253032929e-05,0.016498174691876203,0.06872245605347858,0.00027750268218205824,0.5704621124873813,0.9010984903770198
facebook,Facebook,gpr,2,3,4,3,1.733102253032929e-05,0.01673935866597928,0.06879425600396137,0.0003812824956672443,0.5809335802500349,0.5631692672834638
facebook,Facebook,cmaes,1,4,3,4,1.4855162168853678e-05,0.016864300405252802,0.06876702153998514,0.0004310060245935461,0.8023887944199164,0.8429600702632805
wiki-vote,Wiki-vote,ga,3,1,2,1,1.4054813773717497e-05,0.00624484012262873,0.03033731553056922,9.510423986882173e-05,0.9037200775820313,0.9480456499617467
wiki-vote,Wiki-vote,random,2,2,2,3,1.2649332396345749e-05,0.006253243416985178,0.03033731553056922,9.885219020847974e-05,0.8629778394351197,0.9485551299762885
wiki-vote,Wiki-vote,cmaes,1,3,1,4,1.1243851018973999e-05,0.006307799003451964,0.030314827828531274,0.00010072616537830873,0.9124817788563351,0.9441215149884041
wiki-vote,Wiki-vote,gpr,4,4,4,2,1.40548137737175e-05,0.006361068308554446,0.0303387210119466,9.697821503865074e-05,0.5080293153166033,0.9269859152486077
