network,network_label,method,total_agents,n_iter,mean_n_steps,min_t_max,max_t_max,old_best_score_from_summary,best_certainty,best_effectiveness,pop_path,final_selfish_ratio,final_selfish_ratio_std,normalized_selfish_auc,normalized_selfish_auc_std,peak_selfish_ratio,peak_selfish_ratio_std,final_window_selfish_mean,final_window_selfish_mean_std,rank_final_selfish_ratio,rank_normalized_selfish_auc,rank_peak_selfish_ratio,rank_final_window_selfish_mean
ba_1000,BA1000,random,1000,100,13.69,8,24,0.0,0.5465513839029497,0.9486078789766634,experiments/optimization_ba1000/optimize_runs/random/result/trial_best_pop.arrow,0.0,0.0,0.020811762539647723,0.003125187350440991,0.09607999999999998,0.013086101810931346,0.00035000000000000005,0.0009093293738867362,1,1,1,1
ba_1000,BA1000,ga,1000,100,12.27,8,18,1e-05,0.8659969709057025,0.7993292420985183,experiments/optimization_ba1000/optimize_runs/ga/result/trial_best_pop.arrow,1e-05,0.0001,0.02192171923376761,0.0031097759050781075,0.09715,0.013240872594761534,0.0005166666666666667,0.0007862097057776856,2,2,2,2
ba_1000,BA1000,gpr,1000,100,12.27,8,18,1e-05,0.8659969709057025,0.7993292420985183,experiments/optimization_ba1000/optimize_runs/gpr/result/trial_best_pop.arrow,1e-05,0.0001,0.02192171923376761,0.0031097759050781075,0.09715,0.013240872594761534,0.0005166666666666667,0.0007862097057776856,2,2,2,2
ba_1000,BA1000,cmaes,1000,100,12.6,8,23,1e-05,0.97562918915332,0.5181274621747493,experiments/optimization_ba1000/optimize_runs/cmaes/result/trial_best_pop.arrow,1e-05,0.0001,0.02270077325301977,0.0032131667709787135,0.09833,0.013179456772116249,0.0007833333333333334,0.0013985522416467104,2,4,4,4
facebook,Facebook,ga,4039,100,15.86,9,34,1.733102253032929e-05,0.5704621124873813,0.9010984903770198,experiments/optimization_facebook/optimize_runs/ga/result/trial_best_pop.arrow,1.733102253032929e-05,6.348908144992394e-05,0.016498174691876203,0.0029609642825114677,0.06872245605347858,0.01091254045775738,0.00027750268218205824,0.0003193546192162305,2,1,1,1
facebook,Facebook,random,4039,100,15.86,9,34,1.733102253032929e-05,0.5704621124873813,0.9010984903770198,experiments/optimization_facebook/optimize_runs/random/result/trial_best_pop.arrow,1.733102253032929e-05,6.348908144992394e-05,0.016498174691876203,0.0029609642825114677,0.06872245605347858,0.01091254045775738,0.00027750268218205824,0.0003193546192162305,2,1,1,1
facebook,Facebook,gpr,4039,100,16.17,9,27,1.733102253032929e-05,0.5809335802500349,0.5631692672834638,experiments/optimization_facebook/optimize_runs/gpr/result/trial_best_pop.arrow,1.733102253032929e-05,6.348908144992396e-05,0.01673935866597928,0.0029617767142951605,0.06879425600396137,0.010987281775900441,0.0003812824956672443,0.0005266521465186792,2,3,4,3
facebook,Facebook,cmaes,4039,100,15.47,9,30,1.4855162168853676e-05,0.8023887944199164,0.8429600702632805,experiments/optimization_facebook/optimize_runs/cmaes/result/trial_best_pop.arrow,1.4855162168853678e-05,5.909464139042883e-05,0.016864300405252802,0.003122140929078222,0.06876702153998514,0.010982905276890817,0.0004310060245935461,0.0006534796704078637,1,4,3,4
wiki-vote,Wiki-vote,ga,7115,100,14.55,9,23,1.4054813773717499e-05,0.9037200775820313,0.9480456499617467,experiments/optimization_wiki_vote/optimize_runs/ga/result/trial_best_pop.arrow,1.4054813773717497e-05,4.2376857987036346e-05,0.00624484012262873,0.000933786025641309,0.03033731553056922,0.0038914158478974,9.510423986882173e-05,0.00012232329612914201,3,1,2,1
wiki-vote,Wiki-vote,random,7115,100,14.6,9,25,1.2649332396345747e-05,0.8629778394351197,0.9485551299762885,experiments/optimization_wiki_vote/optimize_runs/random/result/trial_best_pop.arrow,1.2649332396345749e-05,4.0424946066712775e-05,0.006253243416985178,0.0009917699551827302,0.03033731553056922,0.003892236164617037,9.885219020847974e-05,0.00012204022817826372,2,2,2,3
wiki-vote,Wiki-vote,cmaes,7115,100,15.02,9,26,1.1243851018973999e-05,0.9124817788563351,0.9441215149884041,experiments/optimization_wiki_vote/optimize_runs/cmaes/result/trial_best_pop.arrow,1.1243851018973999e-05,4.321608516012973e-05,0.006307799003451964,0.0010123480394565367,0.030314827828531274,0.003843658369519825,0.00010072616537830873,0.0001348937068840018,1,3,1,4
wiki-vote,Wiki-vote,gpr,7115,100,14.84,9,24,1.4054813773717499e-05,0.5080293153166033,0.9269859152486077,experiments/optimization_wiki_vote/optimize_runs/gpr/result/trial_best_pop.arrow,1.40548137737175e-05,4.6849379245725e-05,0.006361068308554446,0.0008877838016837571,0.0303387210119466,0.0038094163380434183,9.697821503865074e-05,0.00010555008755660616,4,4,4,2
