network,network_label,method,t,mean_selfish_ratio,std_selfish_ratio,n_iter_at_t
ba_1000,BA1000,random,0,0.00013000000000000002,0.0003666666666666666,100
ba_1000,BA1000,random,1,0.00307,0.0019656391768931997,100
ba_1000,BA1000,random,2,0.02098,0.007625025252483437,100
ba_1000,BA1000,random,3,0.06951,0.02143748015872098,100
ba_1000,BA1000,random,4,0.09231,0.013736844946744839,100
ba_1000,BA1000,random,5,0.04443,0.013666485586383514,100
ba_1000,BA1000,random,6,0.01401,0.009032483466675019,100
ba_1000,BA1000,random,7,0.00622,0.008161971439412035,100
ba_1000,BA1000,random,8,0.00722,0.013240266102486251,100
ba_1000,BA1000,random,9,0.008183673469387755,0.014808291727686844,98
ba_1000,BA1000,random,10,0.007213483146067416,0.013512176251367067,89
ba_1000,BA1000,random,11,0.005097222222222222,0.009571318248827813,72
ba_1000,BA1000,random,12,0.0035,0.0068284630025170516,44
ba_1000,BA1000,random,13,0.0016666666666666668,0.002966479394838266,36
ba_1000,BA1000,random,14,0.0013214285714285713,0.0019446711885935965,28
ba_1000,BA1000,random,15,0.0003846153846153846,0.0008038369524685004,26
ba_1000,BA1000,random,16,5e-05,0.00022360679774997898,20
ba_1000,BA1000,random,17,0.00016666666666666666,0.00038348249442368525,18
ba_1000,BA1000,random,18,0.00016666666666666666,0.0005773502691896258,12
ba_1000,BA1000,random,19,0.00022222222222222223,0.00044095855184409844,9
ba_1000,BA1000,random,20,0.00016666666666666666,0.0004082482904638631,6
ba_1000,BA1000,random,21,0.0,0.0,5
ba_1000,BA1000,random,22,0.0,0.0,3
ba_1000,BA1000,random,23,0.0,0.0,2
ba_1000,BA1000,random,24,0.0,,1
ba_1000,BA1000,gpr,0,0.00013000000000000002,0.0003666666666666666,100
ba_1000,BA1000,gpr,1,0.00307,0.001965639176893199,100
ba_1000,BA1000,gpr,2,0.02098,0.007625025252483438,100
ba_1000,BA1000,gpr,3,0.06899,0.02129470698212459,100
ba_1000,BA1000,gpr,4,0.09394,0.014591280085909333,100
ba_1000,BA1000,gpr,5,0.044669999999999994,0.014557482716125855,100
ba_1000,BA1000,gpr,6,0.01368,0.009300678806550965,100
ba_1000,BA1000,gpr,7,0.00561,0.009150696832769213,100
ba_1000,BA1000,gpr,8,0.0042699999999999995,0.009736793697883894,100
ba_1000,BA1000,gpr,9,0.004115789473684211,0.011190671607148383,95
ba_1000,BA1000,gpr,10,0.004013513513513514,0.010573284041929532,74
ba_1000,BA1000,gpr,11,0.00316,0.007765333744486794,50
ba_1000,BA1000,gpr,12,0.0015937500000000001,0.0031197536606639006,32
ba_1000,BA1000,gpr,13,0.0007727272727272728,0.001477830397570264,22
ba_1000,BA1000,gpr,14,0.00041176470588235296,0.0007122871199007256,17
ba_1000,BA1000,gpr,15,0.0002142857142857143,0.00042581531362632,14
ba_1000,BA1000,gpr,16,9.090909090909092e-05,0.00030151134457776364,11
ba_1000,BA1000,gpr,17,0.0,0.0,8
ba_1000,BA1000,gpr,18,0.0,0.0,4
ba_1000,BA1000,cmaes,0,0.00013000000000000002,0.0003666666666666666,100
ba_1000,BA1000,cmaes,1,0.00307,0.0019656391768931992,100
ba_1000,BA1000,cmaes,2,0.02099,0.007638941964921213,100
ba_1000,BA1000,cmaes,3,0.07087,0.02132796097126772,100
ba_1000,BA1000,cmaes,4,0.09519999999999999,0.014227587371871684,100
ba_1000,BA1000,cmaes,5,0.044669999999999994,0.013895755474317328,100
ba_1000,BA1000,cmaes,6,0.01372,0.010622141921001572,100
ba_1000,BA1000,cmaes,7,0.00598,0.010264167346313646,100
ba_1000,BA1000,cmaes,8,0.005849999999999999,0.012452231960900858,100
ba_1000,BA1000,cmaes,9,0.007230769230769231,0.014727960500789665,91
ba_1000,BA1000,cmaes,10,0.008089552238805971,0.013524087762081114,67
ba_1000,BA1000,cmaes,11,0.008642857142857143,0.012247093091775137,42
ba_1000,BA1000,cmaes,12,0.00584375,0.008872245142632598,32
ba_1000,BA1000,cmaes,13,0.002148148148148148,0.0033015579504659465,27
ba_1000,BA1000,cmaes,14,0.0009130434782608696,0.0014744195615489714,23
ba_1000,BA1000,cmaes,15,0.00028571428571428574,0.0005606119105813881,21
ba_1000,BA1000,cmaes,16,0.00022222222222222223,0.0004277926319464986,18
ba_1000,BA1000,cmaes,17,0.0,0.0,14
ba_1000,BA1000,cmaes,18,0.00018181818181818183,0.0006030226891555273,11
ba_1000,BA1000,cmaes,19,0.0,0.0,6
ba_1000,BA1000,cmaes,20,0.0,0.0,3
ba_1000,BA1000,cmaes,21,0.0,0.0,3
ba_1000,BA1000,cmaes,22,0.0,,1
ba_1000,BA1000,cmaes,23,0.0,,1
ba_1000,BA1000,ga,0,0.00013000000000000002,0.00036666666666666667,100
ba_1000,BA1000,ga,1,0.00307,0.0019656391768931992,100
