method,method_label,info_label,info_name,mean_num_shared,mean_total_shared_ratio,mean_num_viewed,mean_total_viewed_ratio,mean_num_fst_viewed,mean_total_fst_viewed_ratio
cmaes,CMA-ES,0,misinformation,1237.19,0.17388475052705554,16499.61,2.31898945888967,8135.64,1.1434490513000704
ga,GA,0,misinformation,1233.78,0.17340548137737175,16468.81,2.314660576247365,8117.08,1.1408404778636683
gpr,GPR,0,misinformation,1236.17,0.1737413914265636,16479.74,2.3161967673928325,8123.96,1.1418074490513002
random,Random,0,misinformation,1234.62,0.17352354181307098,16472.1,2.31512297962052,8117.76,1.1409360505973296
cmaes,CMA-ES,1,corrective,1766.78,0.24831763879128602,25242.9,3.5478425860857348,12430.87,1.7471356289529165
ga,GA,1,corrective,1544.01,0.21700773014757554,22295.77,3.133628952916374,11654.58,1.6380295151089248
gpr,GPR,1,corrective,1805.8,0.2538018271257906,26114.52,3.670347153900211,12672.12,1.78104286718201
random,Random,1,corrective,1550.38,0.21790302178496138,22452.78,3.155696416022488,11680.18,1.6416275474349966
cmaes,CMA-ES,2,observational,266.0,0.03738580463808855,3353.8695652173915,0.4713801216046931,835.0652173913044,0.11736686119343702
ga,GA,2,observational,198.36363636363637,0.027879639685683258,2500.0454545454545,0.35137673289465277,621.3181818181819,0.08732511339679296
gpr,GPR,2,observational,239.92307692307693,0.03372074166171145,3012.403846153846,0.42338775068922646,760.6730769230769,0.10691118438834532
random,Random,2,observational,211.9512195121951,0.029789349193562208,2668.0975609756097,0.3749961434962206,663.0975609756098,0.09319712733318479
cmaes,CMA-ES,3,behavior-guiding,505.03,0.07098102600140548,10821.32,1.5209163738580465,8997.71,1.2646113843991567
ga,GA,3,behavior-guiding,505.1,0.0709908643710471,10839.82,1.5235165144061842,9010.62,1.2664258608573438
gpr,GPR,3,behavior-guiding,511.41,0.07187772312016866,10843.94,1.5240955727336614,9004.4,1.2655516514406184
random,Random,3,behavior-guiding,505.85,0.07109627547434998,10851.82,1.5252030920590303,9020.03,1.2677484188334507
