trial,state,value,certainty,effectiveness,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec
0,TrialState.COMPLETE,3.232607167955025e-05,0.6872700594236812,0.9753571532049581,22.69977995508816,22.67859910998959,0.005467145936563611
1,TrialState.COMPLETE,2.9515108924806747e-05,0.7343554571096322,0.6831798909615361,23.415230468963273,23.395603202981874,0.003075737040489912
2,TrialState.COMPLETE,2.5298664792691495e-05,0.7447609747619225,0.6712972373063778,20.915650035021827,20.898813772015274,0.004326111986301839
3,TrialState.COMPLETE,3.3731553056921995e-05,0.8558760141188257,0.7772091415091806,23.860628161928616,23.844173093908466,0.0029558149399235845
4,TrialState.COMPLETE,2.389318341531975e-05,0.507372258401687,0.760326020988489,21.904305597068742,21.88779801898636,0.002887214068323374
5,TrialState.COMPLETE,2.8109627547434998e-05,0.8234353113768116,0.6440270396330459,22.093176100985147,22.077336160931736,0.0029607649194076657
6,TrialState.COMPLETE,3.9353478566408996e-05,0.8423252798802541,0.6644756174171147,21.517702063079923,21.500672418042086,0.004377142991870642
7,TrialState.COMPLETE,2.389318341531975e-05,0.7861258615212351,0.6683325244622512,21.258560162968934,21.238606053055264,0.0028628039872273803
8,TrialState.COMPLETE,3.794799718903725e-05,0.5630457699276782,0.7134460769407324,22.816189236938953,22.800161364022642,0.002840823959559202
9,TrialState.COMPLETE,3.3731553056921995e-05,0.588431670737817,0.7717054909745154,22.822008026996627,22.80509414302651,0.004379182937555015
10,TrialState.COMPLETE,2.9515108924806747e-05,0.6207459661722056,0.9569315154590958,21.1717081470415,21.153598988894373,0.004194890963844955
11,TrialState.COMPLETE,3.513703443429375e-05,0.5100295487455943,0.6240536500501913,21.457043953007087,21.441738468012773,0.0028703849529847503
12,TrialState.COMPLETE,1.827125790583275e-05,0.6008501151355473,0.762685868089574,22.055829251999967,22.040735031012446,0.002837394014932215
13,TrialState.COMPLETE,2.6704146170063247e-05,0.6569073774551677,0.7723883642136911,22.048336582025513,22.027466770028695,0.0028665349818766117
14,TrialState.COMPLETE,3.232607167955025e-05,0.6425741416981379,0.7896333473096482,22.693406357895583,22.677569878054783,0.002978835953399539
15,TrialState.COMPLETE,2.9515108924806747e-05,0.8110592784052579,0.8110905182625394,21.310743862064555,21.29436091403477,0.0028985149692744017
16,TrialState.COMPLETE,3.3731553056921995e-05,0.5319870009971561,0.8127283300957668,21.964729816070758,21.947223554947414,0.0043886430794373155
17,TrialState.COMPLETE,2.2487702037947998e-05,0.7700860823255213,0.841422010656348,22.19947008206509,22.182443085941486,0.004340772982686758
18,TrialState.COMPLETE,2.5298664792691495e-05,0.6417577175959788,0.7464416126184519,21.43226871395018,21.41518071910832,0.004390593036077917
19,TrialState.COMPLETE,2.2487702037947998e-05,0.8138743291416677,0.8931975946465375,22.872885789023712,22.85002793406602,0.004148750100284815
20,TrialState.COMPLETE,2.2487702037947998e-05,0.7706621071920176,0.8332485594517809,22.548729836009443,22.533041776972823,0.0028147740522399545
