trial,state,value,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec
0,TrialState.COMPLETE,0.006271300594426982,auc,optseed3,6202,0.9104568167465054,0.9698482942980018,1.827125790583275e-05,0.006271300594426982,0.030223471539002112,8.6202857812134e-05,1517,100,15.17,10,27,14.17,9,26,False,22.509603159036487,22.441775863058865,0.014827730949036777
1,TrialState.COMPLETE,0.006569117207554133,auc,optseed3,6202,0.7585938738072986,0.8592121882384196,2.1082220660576246e-05,0.006569117207554133,0.030334504567814474,0.00015132349496369172,1444,100,14.44,10,25,13.44,9,24,False,23.96871713595465,23.900706926942803,0.01212842098902911
2,TrialState.COMPLETE,0.0070983838238787575,auc,optseed3,6202,0.6280096682530655,0.5771460218773491,3.373155305692199e-05,0.0070983838238787575,0.03086296556570626,0.00016209885219020852,1328,100,13.28,9,25,12.28,8,24,False,20.856178901041858,20.778749863035046,0.01929872401524335
3,TrialState.COMPLETE,0.006842024052766457,auc,optseed3,6202,0.7746264683239003,0.7528040246527377,2.6704146170063247e-05,0.006842024052766457,0.03050175685172172,0.00015179198875614898,1381,100,13.81,9,23,12.81,8,22,False,24.115124752977863,24.043188338982873,0.018947990029118955
4,TrialState.COMPLETE,0.006533899762066619,auc,optseed3,6202,0.8150930329081386,0.8744539679144065,3.654251581166549e-05,0.006533899762066619,0.030299367533380184,0.0001171234481143125,1419,100,14.19,10,30,13.19,9,29,False,22.879945580032654,22.814479051041417,0.011986618977971375
5,TrialState.COMPLETE,0.006887233222457389,auc,optseed3,6202,0.8054941026990805,0.7812406165425179,2.6704146170063247e-05,0.006887233222457389,0.030529866479269155,0.0001733427032091825,1334,100,13.34,9,24,12.34,8,23,False,22.42123046494089,22.346496468991973,0.01911008101888001
6,TrialState.COMPLETE,0.0070795152224013315,auc,optseed3,6202,0.6518923016550431,0.6740259062911753,2.9515108924806747e-05,0.0070795152224013315,0.03061560084328882,0.00015788240805809323,1370,100,13.7,9,27,12.7,8,26,False,22.913748622057028,22.845345288980752,0.017011557007208467
7,TrialState.COMPLETE,0.006291427100460567,auc,optseed3,6202,0.8439375243634797,0.9485132821158307,1.2649332396345749e-05,0.006291427100460567,0.030342937456078703,9.510423986882173e-05,1452,100,14.52,10,26,13.52,9,25,False,21.466977257980034,21.395849733962677,0.01713690801989287
8,TrialState.COMPLETE,0.007021872474888002,auc,optseed3,6202,0.6667075380770201,0.6437881762003914,3.3731553056921995e-05,0.007021872474888002,0.030687280393534785,0.00017521667837901148,1311,100,13.11,9,28,12.11,8,27,False,22.740058508934453,22.676237089908682,0.0172809399664402
9,TrialState.COMPLETE,0.006721426424321569,auc,optseed3,6202,0.7995835464125757,0.8464558714309858,3.7947997189037244e-05,0.006721426424321569,0.030385101897399864,0.00016256734598266574,1361,100,13.61,9,25,12.61,8,24,False,22.728467084933072,22.65841728297528,0.017058028024621308
10,TrialState.COMPLETE,0.006611554214776047,auc,optseed3,6202,0.8867094397888404,0.8132943624154013,3.09205903021785e-05,0.006611554214776047,0.030386507378777235,0.00011946591707659875,1418,100,14.18,10,25,13.18,9,24,False,23.95153434702661,23.88511462707538,0.019148751976899803
11,TrialState.COMPLETE,0.006537706312076185,auc,optseed3,6202,0.7952367495613653,0.8763467967260272,1.827125790583275e-05,0.006537706312076185,0.03027828531271961,9.83836964160225e-05,1422,100,14.22,10,22,13.22,9,21,False,23.117586344014853,23.04811091790907,0.01715113897807896
12,TrialState.COMPLETE,0.0069337707380876775,auc,optseed3,6202,0.8295310017819167,0.659014733395797,2.5298664792691498e-05,0.0069337707380876775,0.030664792691496835,0.0001452330756617475,1349,100,13.49,9,24,12.49,8,23,False,22.180490226019174,22.10522102296818,0.019029670977033675
13,TrialState.COMPLETE,0.006354743865916105,auc,optseed3,6202,0.9856727206791956,0.8649306932344942,2.951510892480675e-05,0.006354743865916105,0.030355586788475053,0.00010119465917076599,1498,100,14.98,10,27,13.98,9,26,False,23.00495317799505,22.936511264997534,0.011881437967531383
14,TrialState.COMPLETE,0.006786776814945782,auc,optseed3,6202,0.8145099236306556,0.7695518827303479,3.513703443429375e-05,0.006786776814945782,0.03053408292340127,0.00014851253220894822,1355,100,13.55,9,24,12.55,8,23,False,22.51070108206477,22.436327559989877,0.017203659052029252
15,TrialState.COMPLETE,0.0063812937435977456,auc,optseed3,6202,0.7856780177919009,0.9739788087231172,2.5298664792691495e-05,0.0063812937435977456,0.030205200281096273,0.00012227687983134224,1432,100,14.32,10,23,13.32,9,22,False,22.84693357697688,22.778520724968985,0.017372251022607088
16,TrialState.COMPLETE,0.006542823384265272,auc,optseed3,6202,0.8168184037153751,0.900122860758958,3.7947997189037244e-05,0.006542823384265272,0.030189739985945194,8.667135160459125e-05,1512,100,15.12,10,25,14.12,9,24,False,23.76366885995958,23.687219413928688,0.01928766304627061
17,TrialState.COMPLETE,0.006858020885891401,auc,optseed3,6202,0.7202842452340597,0.7833601020091305,2.3893183415319746e-05,0.006858020885891401,0.030511595221363322,0.0001639728273600375,1337,100,13.37,9,25,12.37,8,24,False,22.499187748064287,22.43685577600263,0.011719586094841361
18,TrialState.COMPLETE,0.00678983812739842,auc,optseed3,6202,0.800217658696275,0.718911218594077,4.638088545326775e-05,0.00678983812739842,0.03050175685172172,0.00013398922464277348,1346,100,13.46,9,28,12.46,8,27,False,21.93009156396147,21.858256150968373,0.017283721012063324
19,TrialState.COMPLETE,0.006253457441345015,auc,optseed3,6202,0.9638550975445417,0.9473117494168777,1.827125790583275e-05,0.006253457441345015,0.030316233309908645,9.885219020847974e-05,1469,100,14.69,10,29,13.69,9,28,False,21.360918059013784,21.282353569054976,0.01986087008845061
20,TrialState.COMPLETE,0.006261677043932383,auc,optseed3,6202,0.8196203027598823,0.9236203911276384,1.827125790583275e-05,0.006261677043932383,0.030382290934645124,9.416725228390723e-05,1537,100,15.37,10,27,14.37,9,26,False,22.849362586042844,22.773903812048957,0.017118348041549325
21,TrialState.COMPLETE,0.006260315927354576,auc,optseed3,6202,0.9214904787772074,0.950736266769425,1.4054813773717497e-05,0.006260315927354576,0.03034715390021082,9.510423986882173e-05,1460,100,14.6,10,23,13.6,9,22,False,21.603193596936762,21.538702319026925,0.018579295952804387
22,TrialState.COMPLETE,0.007082076946375817,auc,optseed3,6202,0.7626266303947196,0.7439366510807558,2.9515108924806747e-05,0.007082076946375817,0.030508784258608576,0.00020332630592644646,1298,100,12.98,9,24,11.98,8,23,False,21.59299174800981,21.51653519202955,0.019278993015177548
23,TrialState.COMPLETE,0.006532277367058566,auc,optseed3,6202,0.8619318543257832,0.837351286772523,2.9515108924806747e-05,0.006532277367058566,0.030344342937456085,0.00011759194190676975,1386,100,13.86,9,25,12.86,8,24,False,22.399587253923528,22.327316786977462,0.019164722063578665
24,TrialState.COMPLETE,0.006783639709773216,auc,optseed3,6202,0.7589046708892098,0.7999718988540565,4.21644413211525e-05,0.006783639709773216,0.030438510189739986,0.00013726868118997423,1366,100,13.66,9,23,12.66,8,22,False,22.417680062935688,22.350052950088866,0.01714641891885549
25,TrialState.COMPLETE,0.006633225356912754,auc,optseed3,6202,0.9946442566755657,0.8152010139277778,2.1082220660576246e-05,0.006633225356912754,0.030368236120871406,0.00013070976809557273,1362,100,13.62,10,23,12.62,9,22,False,22.81776893895585,22.74918776494451,0.012240031966939569
26,TrialState.COMPLETE,0.00671179076274074,auc,optseed3,6202,0.9475601875396844,0.9014891057577655,2.8109627547434995e-05,0.00671179076274074,0.030182712579058336,9.9320684000937e-05,1471,100,14.71,10,23,13.71,9,22,False,23.980613304069266,23.909440019051544,0.017126679071225226
27,TrialState.COMPLETE,0.00626291332121973,auc,optseed3,6202,0.8663172345652177,0.9558998636890125,1.827125790583275e-05,0.00626291332121973,0.030292340126493324,8.2454907472476e-05,1486,100,14.86,10,25,13.86,9,24,False,21.460297909914516,21.39012645801995,0.017184739001095295
28,TrialState.COMPLETE,0.006495545307917615,auc,optseed3,6202,0.9193635877817184,0.9386800340236416,3.09205903021785e-05,0.006495545307917615,0.030371047083626146,0.0001227453736237995,1459,100,14.59,10,25,13.59,9,24,False,22.126382519025356,22.06341925903689,0.011919897980988026
29,TrialState.COMPLETE,0.006364395287642624,auc,optseed3,6202,0.8233492790241818,0.9466704732878951,1.9676739283204498e-05,0.006364395287642624,0.03029796205200281,0.00011103302881236824,1454,100,14.54,10,26,13.54,9,25,False,21.363651561085135,21.287295445916243,0.019182472955435514
