trial,state,value,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec
0,TrialState.COMPLETE,0.007027816794910564,auc,optseed3,6204,0.9461702463008493,0.5653331746002598,2.9515108924806747e-05,0.007027816794910564,0.03077301475755447,0.00015272897634106348,1359,100,13.59,9,23,12.59,8,22,False,21.111122084083036,21.033461914979853,0.014723219908773899
1,TrialState.COMPLETE,0.00654323925990349,auc,optseed3,6204,0.9934930331410148,0.867175968173087,2.951510892480675e-05,0.00654323925990349,0.030302178496134927,0.00011899742328414147,1449,100,14.49,9,27,13.49,8,26,False,24.9262180699734,24.86192212498281,0.012145821005105972
2,TrialState.COMPLETE,0.006695249554798436,auc,optseed3,6204,0.5016405522791811,0.8440246425536599,3.2326071679550243e-05,0.006695249554798436,0.030330288123682367,0.000142422112907004,1347,100,13.47,9,24,12.47,8,23,False,22.777244449942373,22.707258229027502,0.018567655002698302
3,TrialState.COMPLETE,0.00704028884128785,auc,optseed3,6204,0.9856652993396812,0.6243478434833233,3.092059030217849e-05,0.00704028884128785,0.030751932536893883,0.00016350433356758024,1331,100,13.31,8,28,12.31,7,27,False,21.742757983971387,21.670372984954156,0.017425682046450675
4,TrialState.COMPLETE,0.006297542259063896,auc,optseed3,6204,0.6761275432104767,0.9615093945719169,2.3893183415319746e-05,0.006297542259063896,0.030317638791286017,9.697821503865074e-05,1463,100,14.63,10,24,13.63,9,23,False,22.598776962026022,22.526762658031657,0.01880996802356094
5,TrialState.COMPLETE,0.0062167474365688825,auc,optseed3,6204,0.9276672979082009,0.9496582275092169,1.4054813773717497e-05,0.0062167474365688825,0.030344342937456078,9.83836964160225e-05,1452,100,14.52,10,26,13.52,9,25,False,20.935682831914164,20.866280938033015,0.018952300073578954
6,TrialState.COMPLETE,0.007129703893881797,auc,optseed3,6204,0.6465741671410578,0.6133786529725554,3.7947997189037244e-05,0.007129703893881797,0.03074490513000703,0.00017474818458655423,1308,100,13.08,9,27,12.08,8,26,False,21.33611751103308,21.27611140604131,0.011496752966195345
7,TrialState.COMPLETE,0.006770470749302695,auc,optseed3,6204,0.6128284014020696,0.7900973063024266,2.5298664792691498e-05,0.006770470749302695,0.030463808854532683,0.0001283672991332865,1387,100,13.87,9,28,12.87,8,27,False,23.872614732012153,23.7975829920033,0.01890891999937594
8,TrialState.COMPLETE,0.006595046878859388,auc,optseed3,6204,0.5029977638282461,0.8221755343153575,2.5298664792691498e-05,0.006595046878859388,0.03043148278285314,0.000164909814944952,1427,100,14.27,10,28,13.27,9,27,False,22.438708717934787,22.367308280081488,0.019000531057827175
9,TrialState.COMPLETE,0.006436335320401447,auc,optseed3,6204,0.9119107286390024,0.9661252056471223,3.2326071679550243e-05,0.006436335320401447,0.030275474349964863,0.00011478097915202623,1450,100,14.5,10,30,13.5,9,29,False,21.257643701974303,21.182958637014963,0.01910258107818663
10,TrialState.COMPLETE,0.006636857441268644,auc,optseed3,6204,0.7409204306242787,0.8220330328225971,2.6704146170063247e-05,0.006636857441268644,0.030451159522136336,0.00015553993909580698,1397,100,13.97,10,24,12.97,9,23,False,22.2208913739305,22.148598116007634,0.019141742028295994
11,TrialState.COMPLETE,0.0068982910074277945,auc,optseed3,6204,0.5329380424607584,0.6580482287145111,3.513703443429375e-05,0.0068982910074277945,0.030664792691496835,0.00014570156945420474,1349,100,13.49,9,26,12.49,8,25,False,21.924076223978773,21.84759194799699,0.018727527000010014
12,TrialState.COMPLETE,0.006241114861261228,auc,optseed3,6204,0.5074375904786611,0.9549407538508584,1.827125790583275e-05,0.006241114861261228,0.03030077301475756,9.83836964160225e-05,1484,100,14.84,10,26,13.84,9,25,False,22.002802656963468,21.94040657300502,0.011691854917444289
13,TrialState.COMPLETE,0.006824700895521545,auc,optseed3,6204,0.9562278498140959,0.7221109291645376,2.6704146170063243e-05,0.006824700895521545,0.03048910751932537,0.00012321386741625674,1302,100,13.02,10,25,12.02,9,24,False,21.33305560599547,21.259362251963466,0.01903292105998844
14,TrialState.COMPLETE,0.006476784161479641,auc,optseed3,6204,0.5900127650405635,0.9643395281353371,2.2487702037947998e-05,0.006476784161479641,0.030299367533380184,0.00013258374326540176,1417,100,14.17,10,25,13.17,9,24,False,23.281643404974602,23.220599167980254,0.011733235907740891
15,TrialState.COMPLETE,0.0065746597193702214,auc,optseed3,6204,0.5509834636643232,0.8756670361390332,3.5137034434293754e-05,0.0065746597193702214,0.030304989458889674,0.00011665495432185525,1412,100,14.12,10,23,13.12,9,22,False,23.016282049939036,22.944193775067106,0.018759537022560835
16,TrialState.COMPLETE,0.0069793744740058485,auc,optseed3,6204,0.8978457298640378,0.5147472709176075,2.3893183415319746e-05,0.0069793744740058485,0.03083485593815882,0.00015835090185055048,1399,100,13.99,9,24,12.99,8,23,False,21.636217769002542,21.55919230589643,0.019307934097014368
17,TrialState.COMPLETE,0.007060110341712544,auc,optseed3,6204,0.6762729454608161,0.6197132341786602,2.2487702037947998e-05,0.007060110341712544,0.030757554462403372,0.00016444132115249474,1355,100,13.55,9,26,12.55,8,25,False,22.78034315595869,22.709630887024105,0.018825448001734912
18,TrialState.COMPLETE,0.006475486052615681,auc,optseed3,6204,0.9067520405820622,0.8563252408355406,1.9676739283204498e-05,0.006475486052615681,0.030347153900210828,0.00015366596392597798,1462,100,14.62,10,25,13.62,9,24,False,22.968470225925557,22.896547911921516,0.0188018879853189
