trial,state,value,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec
0,TrialState.COMPLETE,0.007147238252255669,auc,optseed2,5201,0.7522627707434957,0.548229620364149,3.7947997189037244e-05,0.007147238252255669,0.030829234012649333,0.00020332630592644649,1334,100,13.34,9,24,12.34,8,23,False,21.79022059298586,21.724834676017053,0.014828152023255825
1,TrialState.COMPLETE,0.007041075848907924,auc,optseed2,5201,0.8593272173219653,0.6644519884340043,4.216444132115249e-05,0.007041075848907924,0.03061560084328882,0.00018083860388849848,1347,100,13.47,8,23,12.47,7,22,False,21.520559779019095,21.455353533034213,0.011850617011077702
2,TrialState.COMPLETE,0.0063056229489370655,auc,optseed2,5201,0.9417362110380071,0.9569431096735215,2.3893183415319746e-05,0.0063056229489370655,0.030310611384399156,9.791520262356524e-05,1471,100,14.71,10,23,13.71,9,22,False,23.163747638929635,23.105736416066065,0.01177359709981829
3,TrialState.COMPLETE,0.007248950200457472,auc,optseed2,5201,0.5390539633476925,0.5342426601739045,3.092059030217849e-05,0.007248950200457472,0.03085312719606465,0.0002126961817755915,1292,100,12.92,8,24,11.92,7,23,False,20.592380393994972,20.52917111106217,0.011772737023420632
4,TrialState.COMPLETE,0.006567824114903169,auc,optseed2,5201,0.7069802131744076,0.8674753130072764,2.8109627547434995e-05,0.006567824114903169,0.030302178496134927,0.00012696181775591475,1452,100,14.52,9,25,13.52,8,24,False,23.694294395972975,23.616533595020883,0.019084861036390066
5,TrialState.COMPLETE,0.006971768804875201,auc,optseed2,5201,0.752704759177037,0.6296174114485883,4.356992269852424e-05,0.006971768804875201,0.030799718903724523,0.00023096743968142424,1335,100,13.35,8,25,12.35,7,24,False,21.545402446994558,21.477180075948127,0.01877992693334818
6,TrialState.COMPLETE,0.006987185131452004,auc,optseed2,5201,0.6593381045323343,0.5070397242042128,2.2487702037947995e-05,0.006987185131452004,0.030891075193253688,0.000172405715624268,1359,100,13.59,9,25,12.59,8,24,False,21.805857494007796,21.735689551918767,0.018868318060413003
7,TrialState.COMPLETE,0.006507148339737693,auc,optseed2,5201,0.9089273576589321,0.8374492768322208,2.6704146170063243e-05,0.006507148339737693,0.030344342937456078,0.00011009604122745374,1391,100,13.91,9,25,12.91,8,24,False,22.364061143016443,22.292416612035595,0.018590455991216004
8,TrialState.COMPLETE,0.006522556689201386,auc,optseed2,5201,0.512903944591979,0.8941247769786701,2.2487702037947998e-05,0.006522556689201386,0.03024314827828532,0.00010119465917076599,1471,100,14.71,10,25,13.71,9,24,False,23.8297326649772,23.751984564005397,0.01918162195943296
9,TrialState.COMPLETE,0.006300107583003468,auc,optseed2,5201,0.9145533026873293,0.9578200284646889,2.3893183415319746e-05,0.006300107583003468,0.030324666198172878,0.00010447411571796675,1478,100,14.78,10,25,13.78,9,24,False,23.18953476799652,23.12497457896825,0.011590084992349148
10,TrialState.COMPLETE,0.006344673302041458,auc,optseed2,5201,0.8124355546012347,0.9999999999999999,2.1082220660576246e-05,0.006344673302041458,0.030158819395643004,0.00010775357226516749,1486,100,14.86,10,31,13.86,9,30,False,22.5924942700658,22.03703987400513,0.012273702071979642
11,TrialState.COMPLETE,0.00627756820999499,auc,optseed2,5201,0.9999999999999999,0.9999999999999999,1.827125790583275e-05,0.00627756820999499,0.030141953619114547,0.00010119465917076599,1475,100,14.75,10,25,13.75,9,24,False,22.685956201981753,22.37908480700571,0.012116029975004494
12,TrialState.COMPLETE,0.006313339282811223,auc,optseed2,5201,0.9287663125665708,0.9999999999999999,2.108222066057625e-05,0.006313339282811223,0.030141953619114547,0.00011759194190676974,1490,100,14.9,10,23,13.9,9,22,False,22.87907909997739,22.523368867929094,0.01213481102604419
13,TrialState.COMPLETE,0.00628327792662138,auc,optseed2,5201,0.5900354482293717,0.9999999999999999,2.9515108924806747e-05,0.00628327792662138,0.030195361911454676,9.323026469899273e-05,1503,100,15.03,10,26,14.03,9,25,False,23.49768219795078,23.1105592319509,0.011737096006982028
14,TrialState.COMPLETE,0.0062575679911753565,auc,optseed2,5201,0.5,0.9710898464351302,1.827125790583275e-05,0.0062575679911753565,0.030220660576247362,0.00010166315296322324,1493,100,14.93,10,26,13.93,9,25,False,21.364357798942365,20.892070655943826,0.012257062015123665
15,TrialState.COMPLETE,0.00641426695621797,auc,optseed2,5201,0.6240878405153076,0.9673106977525985,2.1082220660576246e-05,0.00641426695621797,0.030278285312719606,0.00010119465917076599,1439,100,14.39,10,24,13.39,9,23,False,22.0755649600178,21.535245578968897,0.011863246909342706
16,TrialState.COMPLETE,0.006300354144251709,auc,optseed2,5201,0.5,0.9999999999999999,2.389318341531975e-05,0.006300354144251709,0.030226282501756855,9.650972124619349e-05,1501,100,15.01,10,24,14.01,9,23,False,23.170837359968573,22.769208246958442,0.011683305958285928
17,TrialState.COMPLETE,0.006300354144251709,auc,optseed2,5201,0.5,0.9999999999999999,2.389318341531975e-05,0.006300354144251709,0.030226282501756855,9.650972124619349e-05,1501,100,15.01,10,24,14.01,9,23,False,23.022207138943486,22.677144270041026,0.012203932041302323
18,TrialState.COMPLETE,0.006796413935763188,auc,optseed2,5201,0.5,0.7798079370042674,1.827125790583275e-05,0.006796413935763188,0.03056921995783556,0.00016256734598266574,1356,100,13.56,9,27,12.56,8,26,False,23.204038276104257,22.73349843302276,0.011872568051330745
19,TrialState.COMPLETE,0.00661100984967657,auc,optseed2,5201,0.9999999999999999,0.8993211495334619,2.5298664792691498e-05,0.00661100984967657,0.030179901616303587,0.000103068634340595,1475,100,14.75,10,25,13.75,9,24,False,23.7204294889234,23.288402913021855,0.011723996023647487
20,TrialState.COMPLETE,0.00644554450018766,auc,optseed2,5201,0.9999999999999999,0.9810893005665264,2.9515108924806747e-05,0.00644554450018766,0.030150386507378776,0.00012321386741625674,1492,100,14.92,10,25,13.92,9,24,False,23.17556293506641,22.75369096803479,0.012083580018952489
21,TrialState.COMPLETE,0.006356157781860784,auc,optseed2,5201,0.8925046893315376,0.9999999999999999,2.3893183415319746e-05,0.006356157781860784,0.030141953619114547,0.00011993441086905599,1467,100,14.67,10,23,13.67,9,22,False,22.218000120017678,21.82681935792789,0.011582804028876126
22,TrialState.COMPLETE,0.006300354144251709,auc,optseed2,5201,0.5,0.9999999999999999,2.389318341531975e-05,0.006300354144251709,0.030226282501756855,9.650972124619349e-05,1501,100,15.01,10,24,14.01,9,23,False,23.264254212961532,22.919046193012036,0.011689775972627103
