trial,state,value,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec,trial_info_arrow,trial_pop_arrow,trial_agent_arrow
0,TrialState.COMPLETE,0.006688729527864625,auc,optseed4,7202,0.7713962710945015,0.7918205204963198,2.2487702037947998e-05,0.006688729527864625,0.0304230498945889,0.0001283672991332865,1400,100,14.0,9,28,13.0,8,27,False,23.14812052785419,23.08001618902199,0.01478348090313375,result/trials/trial_0000_info.arrow,result/trials/trial_0000_pop.arrow,result/trials/trial_0000_agent.arrow
1,TrialState.COMPLETE,0.006326846135766372,auc,optseed4,7202,0.858445045702909,0.9613564510576332,1.9676739283204498e-05,0.006326846135766372,0.0303035839775123,0.0001152494729444835,1490,100,14.9,9,29,13.9,8,28,False,21.84640473499894,21.78083525481634,0.012071518925949931,result/trials/trial_0001_info.arrow,result/trials/trial_0001_pop.arrow,result/trials/trial_0001_agent.arrow
2,TrialState.COMPLETE,0.006811487466620252,auc,optseed4,7202,0.7452725954947825,0.746414961305761,2.8109627547434995e-05,0.006811487466620252,0.030487702037947997,0.00015132349496369172,1337,100,13.37,9,26,12.37,8,25,False,21.232292158994824,21.17199648008682,0.01169139496050775,result/trials/trial_0002_info.arrow,result/trials/trial_0002_pop.arrow,result/trials/trial_0002_agent.arrow
3,TrialState.COMPLETE,0.007027786891403483,auc,optseed4,7202,0.7912635324953583,0.5648343284008004,2.9515108924806747e-05,0.007027786891403483,0.030829234012649337,0.00016069337081283674,1348,100,13.48,9,25,12.48,8,24,False,20.632005102932453,20.56394255417399,0.01710323803126812,result/trials/trial_0003_info.arrow,result/trials/trial_0003_pop.arrow,result/trials/trial_0003_agent.arrow
4,TrialState.COMPLETE,0.007209664347518574,auc,optseed4,7202,0.7064504277657007,0.6110607161978288,2.9515108924806747e-05,0.007209664347518574,0.030721011946591704,0.00019442492386975872,1301,100,13.01,9,26,12.01,8,25,False,21.663809249177575,21.598313909955323,0.012634487124159932,result/trials/trial_0004_info.arrow,result/trials/trial_0004_pop.arrow,result/trials/trial_0004_agent.arrow
5,TrialState.COMPLETE,0.007054578107134186,auc,optseed4,7202,0.7497810698555109,0.6543631982893515,1.546029515108925e-05,0.007054578107134186,0.03067463106113844,0.0001695947528695245,1359,100,13.59,9,26,12.59,8,25,False,22.07784964609891,22.004532107152045,0.01921373186632991,result/trials/trial_0005_info.arrow,result/trials/trial_0005_pop.arrow,result/trials/trial_0005_agent.arrow
6,TrialState.COMPLETE,0.006704135280030593,auc,optseed4,7202,0.7366302405686596,0.8233335821829058,2.5298664792691498e-05,0.006704135280030593,0.030465214335910054,0.0001414851253220895,1361,100,13.61,9,24,12.61,8,23,False,22.42779576103203,22.36018489790149,0.017297031125053763,result/trials/trial_0006_info.arrow,result/trials/trial_0006_pop.arrow,result/trials/trial_0006_agent.arrow
7,TrialState.COMPLETE,0.006507913789624282,auc,optseed4,7202,0.9501527909160861,0.8858610262861576,3.092059030217849e-05,0.006507913789624282,0.03029515108924807,0.00013726868118997423,1457,100,14.57,9,25,13.57,8,24,False,21.987386577995494,21.91221031709574,0.018928298959508538,result/trials/trial_0007_info.arrow,result/trials/trial_0007_pop.arrow,result/trials/trial_0007_agent.arrow
8,TrialState.COMPLETE,0.006823718607255318,auc,optseed4,7202,0.6429551125998769,0.7557987576791482,2.8109627547434995e-05,0.006823718607255318,0.030545326774420237,0.000144296088076833,1397,100,13.97,9,26,12.97,8,25,False,23.310239766025916,23.239360524108633,0.019684948958456516,result/trials/trial_0008_info.arrow,result/trials/trial_0008_pop.arrow,result/trials/trial_0008_agent.arrow
9,TrialState.COMPLETE,0.0067529338256858695,auc,optseed4,7202,0.7872507258280117,0.7496937673227158,3.092059030217849e-05,0.0067529338256858695,0.03053829936753338,0.00013352073085031623,1367,100,13.67,9,26,12.67,8,25,False,23.919688838068396,23.856511326041073,0.0116070038639009,result/trials/trial_0009_info.arrow,result/trials/trial_0009_pop.arrow,result/trials/trial_0009_agent.arrow
