trial,state,value,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec,trial_info_arrow,trial_pop_arrow,trial_agent_arrow
0,TrialState.COMPLETE,0.007047662491818417,auc,optseed6,9204,0.7162349157268024,0.7157468706439241,3.654251581166549e-05,0.007047662491818417,0.030622628250175688,0.00017568517217146873,1330,100,13.3,9,23,12.3,8,22,False,22.992112500127405,22.917272452963516,0.015055184019729495,result/trials/trial_0000_info.arrow,result/trials/trial_0000_pop.arrow,result/trials/trial_0000_agent.arrow
1,TrialState.COMPLETE,0.00708859563409564,auc,optseed6,9204,0.9001771852594511,0.6486267560752077,2.6704146170063243e-05,0.00708859563409564,0.03069290231904427,0.00023284141485125322,1314,100,13.14,9,23,12.14,8,22,False,23.860335720004514,23.799363042926416,0.011940129101276398,result/trials/trial_0001_info.arrow,result/trials/trial_0001_pop.arrow,result/trials/trial_0001_agent.arrow
2,TrialState.COMPLETE,0.007048005851362169,auc,optseed6,9204,0.8688350206887583,0.6421033276242776,2.3893183415319743e-05,0.007048005851362169,0.030661981728742092,0.00017100023424689622,1299,100,12.99,9,23,11.99,8,22,False,22.636929295025766,22.567176275886595,0.017162448959425092,result/trials/trial_0002_info.arrow,result/trials/trial_0002_pop.arrow,result/trials/trial_0002_agent.arrow
3,TrialState.COMPLETE,0.006713581029698037,auc,optseed6,9204,0.9605810399421622,0.7265780595855542,2.951510892480675e-05,0.006713581029698037,0.030548137737174984,0.00011571796673694073,1375,100,13.75,10,23,12.75,9,22,False,22.499733944889158,22.429190207039937,0.019023600965738297,result/trials/trial_0003_info.arrow,result/trials/trial_0003_pop.arrow,result/trials/trial_0003_agent.arrow
4,TrialState.COMPLETE,0.007136576107490097,auc,optseed6,9204,0.8727169881557137,0.6011981392927808,4.075895994378074e-05,0.007136576107490097,0.030815179198875615,0.00019629889903958773,1310,100,13.1,9,23,12.1,8,22,False,21.690671360120177,21.619507914874703,0.019325964152812958,result/trials/trial_0004_info.arrow,result/trials/trial_0004_pop.arrow,result/trials/trial_0004_agent.arrow
5,TrialState.COMPLETE,0.006661933222115728,auc,optseed6,9204,0.7938158068070196,0.7878109811067084,3.3731553056922e-05,0.006661933222115728,0.030442726633872104,0.00012930428671820097,1382,100,13.82,9,24,12.82,8,23,False,22.401709208032116,22.340683921938762,0.011874607997015119,result/trials/trial_0005_info.arrow,result/trials/trial_0005_pop.arrow,result/trials/trial_0005_agent.arrow
6,TrialState.COMPLETE,0.0062853463237786044,auc,optseed6,9204,0.8732475373631259,0.9562519990624849,2.108222066057625e-05,0.0062853463237786044,0.03028390723822909,0.00011009604122745374,1469,100,14.69,10,25,13.69,9,24,False,21.404955360107124,21.342022370081395,0.01175096700899303,result/trials/trial_0006_info.arrow,result/trials/trial_0006_pop.arrow,result/trials/trial_0006_agent.arrow
7,TrialState.COMPLETE,0.006463206972043268,auc,optseed6,9204,0.570342362373051,0.9180497017414719,2.9515108924806747e-05,0.006463206972043268,0.030383696416022496,0.00011243851018973998,1492,100,14.92,10,27,13.92,9,26,False,26.345995102077723,26.27523136115633,0.01902330992743373,result/trials/trial_0007_info.arrow,result/trials/trial_0007_pop.arrow,result/trials/trial_0007_agent.arrow
8,TrialState.COMPLETE,0.00699079107485203,auc,optseed6,9204,0.6998627053581798,0.569462329998961,3.2326071679550243e-05,0.00699079107485203,0.03076598735066761,0.0001452330756617475,1357,100,13.57,9,23,12.57,8,22,False,20.34621942206286,20.282297460827976,0.01229038299061358,result/trials/trial_0008_info.arrow,result/trials/trial_0008_pop.arrow,result/trials/trial_0008_agent.arrow
9,TrialState.COMPLETE,0.006931090466970244,auc,optseed6,9204,0.7224795192293669,0.7388089799384354,2.389318341531975e-05,0.006931090466970244,0.030591707659873502,0.00016163035839775124,1364,100,13.64,9,23,12.64,8,22,False,22.27714350586757,22.208131075836718,0.019132511923089623,result/trials/trial_0009_info.arrow,result/trials/trial_0009_pop.arrow,result/trials/trial_0009_agent.arrow
10,TrialState.COMPLETE,0.0071194891566497154,auc,optseed6,9204,0.8241001342638394,0.5116195473224541,3.373155305692199e-05,0.0071194891566497154,0.03082220660576247,0.00020192082454907473,1334,100,13.34,8,25,12.34,7,24,False,21.239058556966484,21.168928323779255,0.017062987899407744,result/trials/trial_0010_info.arrow,result/trials/trial_0010_pop.arrow,result/trials/trial_0010_agent.arrow
11,TrialState.COMPLETE,0.006821494743562761,auc,optseed6,9204,0.9631954465934116,0.7037912920972986,4.4975404075895996e-05,0.006821494743562761,0.03068446943078005,0.00016725228390723822,1380,100,13.8,9,24,12.8,8,23,False,22.23713843198493,22.168058081995696,0.019361834041774273,result/trials/trial_0011_info.arrow,result/trials/trial_0011_pop.arrow,result/trials/trial_0011_agent.arrow
12,TrialState.COMPLETE,0.0066862711501724,auc,optseed6,9204,0.9778429712258101,0.8017190427137082,2.6704146170063247e-05,0.0066862711501724,0.030462403373155308,0.00013258374326540173,1388,100,13.88,9,24,12.88,8,23,False,20.920886490959674,20.850587765919045,0.017444882076233625,result/trials/trial_0012_info.arrow,result/trials/trial_0012_pop.arrow,result/trials/trial_0012_agent.arrow
13,TrialState.COMPLETE,0.006773619729179099,auc,optseed6,9204,0.682150910059593,0.8248837716826793,1.9676739283204498e-05,0.006773619729179099,0.030449754040758968,0.0001433591004919185,1368,100,13.68,10,25,12.68,9,24,False,22.531407351139933,22.466809133067727,0.018950639059767127,result/trials/trial_0013_info.arrow,result/trials/trial_0013_pop.arrow,result/trials/trial_0013_agent.arrow
14,TrialState.COMPLETE,0.006402322915731113,auc,optseed6,9204,0.7008871879555408,0.9134184081407779,2.2487702037947998e-05,0.006402322915731113,0.03031482782853128,0.000123682361208714,1472,100,14.72,10,24,13.72,9,23,False,25.427441397914663,25.356131352018565,0.017264170106500387,result/trials/trial_0014_info.arrow,result/trials/trial_0014_pop.arrow,result/trials/trial_0014_agent.arrow
15,TrialState.COMPLETE,0.006321183209684782,auc,optseed6,9204,0.8451065078231375,0.9565246554288093,2.389318341531975e-05,0.006321183209684782,0.030290934645115956,0.00011478097915202623,1469,100,14.69,10,23,13.69,9,22,False,21.79023192403838,21.726620465982705,0.01167603605426848,result/trials/trial_0015_info.arrow,result/trials/trial_0015_pop.arrow,result/trials/trial_0015_agent.arrow
16,TrialState.COMPLETE,0.007093883030976691,auc,optseed6,9204,0.7219722811799164,0.6442941630091145,2.8109627547434995e-05,0.007093883030976691,0.030667603654251575,0.00020941672522839072,1315,100,13.15,9,25,12.15,8,24,False,22.82826777198352,22.7630930559244,0.011704976204782724,result/trials/trial_0016_info.arrow,result/trials/trial_0016_pop.arrow,result/trials/trial_0016_agent.arrow
17,TrialState.COMPLETE,0.006976503137367536,auc,optseed6,9204,0.7084016516973739,0.7403957656076265,2.5298664792691498e-05,0.006976503137367536,0.030573436401967677,0.00018083860388849848,1373,100,13.73,9,23,12.73,8,22,False,22.051375759998336,21.975150445941836,0.019127481849864125,result/trials/trial_0017_info.arrow,result/trials/trial_0017_pop.arrow,result/trials/trial_0017_agent.arrow
18,TrialState.COMPLETE,0.007071505608813379,auc,optseed6,9204,0.6080585810310501,0.6342162943477172,3.65425158116655e-05,0.007071505608813379,0.030742094167252283,0.000200515343171703,1309,100,13.09,8,23,12.09,7,22,False,23.14383435808122,23.079948007129133,0.011590105015784502,result/trials/trial_0018_info.arrow,result/trials/trial_0018_pop.arrow,result/trials/trial_0018_agent.arrow
19,TrialState.COMPLETE,0.007065896234406918,auc,optseed6,9204,0.9834831429229145,0.510949333745979,2.9515108924806747e-05,0.007065896234406918,0.030830639494026705,0.0001433591004919185,1329,100,13.29,9,25,12.29,8,24,False,21.770928520010784,21.709450566908345,0.011774766957387328,result/trials/trial_0019_info.arrow,result/trials/trial_0019_pop.arrow,result/trials/trial_0019_agent.arrow
20,TrialState.COMPLETE,0.006384837992961605,auc,optseed6,9204,0.6405991748371158,0.9155666385706605,2.9515108924806747e-05,0.006384837992961605,0.030358397751229803,0.00010822206605762474,1520,100,15.2,9,25,14.2,8,24,False,25.683338922914118,25.618423230946064,0.019102181075140834,result/trials/trial_0020_info.arrow,result/trials/trial_0020_pop.arrow,result/trials/trial_0020_agent.arrow
21,TrialState.COMPLETE,0.007038587701830556,auc,optseed6,9204,0.9312517780583631,0.6863016637417079,2.9515108924806747e-05,0.007038587701830556,0.03067744202389318,0.0001794331225111267,1338,100,13.38,8,27,12.38,7,26,False,23.128262487938628,23.05806664400734,0.017602073960006237,result/trials/trial_0021_info.arrow,result/trials/trial_0021_pop.arrow,result/trials/trial_0021_agent.arrow
22,TrialState.COMPLETE,0.006396515140673036,auc,optseed6,9204,0.5217801907013848,0.9802890145185644,2.3893183415319746e-05,0.006396515140673036,0.030148981026001404,0.00011290700398219723,1427,100,14.27,9,24,13.27,8,23,False,21.89342936896719,21.825919477036223,0.016896205954253674,result/trials/trial_0022_info.arrow,result/trials/trial_0022_pop.arrow,result/trials/trial_0022_agent.arrow
23,TrialState.COMPLETE,0.00656041224977806,auc,optseed6,9204,0.896892911887742,0.8976097394853658,2.3893183415319746e-05,0.00656041224977806,0.030125087842586093,8.573436401967675e-05,1479,100,14.79,10,25,13.79,9,24,False,23.493380658095703,23.424286597874016,0.017329140100628138,result/trials/trial_0023_info.arrow,result/trials/trial_0023_pop.arrow,result/trials/trial_0023_agent.arrow
24,TrialState.COMPLETE,0.006901985605869006,auc,optseed6,9204,0.912187183332368,0.5811648831607739,3.2326071679550243e-05,0.006901985605869006,0.030910751932536895,0.00013258374326540173,1370,100,13.7,9,31,12.7,8,30,False,20.726573249092326,20.65958892297931,0.01708844816312194,result/trials/trial_0024_info.arrow,result/trials/trial_0024_pop.arrow,result/trials/trial_0024_agent.arrow
25,TrialState.COMPLETE,0.0070130258283524335,auc,optseed6,9204,0.7577441062930346,0.6646756137087411,3.09205903021785e-05,0.0070130258283524335,0.030601546029515106,0.000164909814944952,1354,100,13.54,8,25,12.54,7,24,False,21.502167055848986,21.438989623915404,0.011779436841607094,result/trials/trial_0025_info.arrow,result/trials/trial_0025_pop.arrow,result/trials/trial_0025_agent.arrow
26,TrialState.COMPLETE,0.007243851316211417,auc,optseed6,9204,0.5109951910110897,0.6124876022921328,3.7947997189037244e-05,0.007243851316211417,0.030744905130007022,0.00019957835558678845,1298,100,12.98,9,28,11.98,8,27,False,22.268416044069454,22.205787238897756,0.011777815874665976,result/trials/trial_0026_info.arrow,result/trials/trial_0026_pop.arrow,result/trials/trial_0026_agent.arrow
27,TrialState.COMPLETE,0.0066471501389020705,auc,optseed6,9204,0.5819544807044246,0.822644490386348,1.9676739283204498e-05,0.0066471501389020705,0.030460997891777947,0.00013258374326540173,1388,100,13.88,9,24,12.88,8,23,False,23.029097338905558,22.96566145401448,0.011742056114599109,result/trials/trial_0027_info.arrow,result/trials/trial_0027_pop.arrow,result/trials/trial_0027_agent.arrow
28,TrialState.COMPLETE,0.006292138668761224,auc,optseed6,9204,0.524378129366108,0.9998572771912173,3.09205903021785e-05,0.006292138668761224,0.030227687983134226,9.838369641602249e-05,1502,100,15.02,10,25,14.02,9,24,False,23.181575634982437,23.113282423932105,0.017244290094822645,result/trials/trial_0028_info.arrow,result/trials/trial_0028_pop.arrow,result/trials/trial_0028_agent.arrow
29,TrialState.COMPLETE,0.0067305299880693805,auc,optseed6,9204,0.8688682894234148,0.7894206308575101,2.8109627547434995e-05,0.0067305299880693805,0.030458186929023197,0.00012930428671820097,1392,100,13.92,9,24,12.92,8,23,False,23.227551468182355,23.158641969086602,0.017133448971435428,result/trials/trial_0029_info.arrow,result/trials/trial_0029_pop.arrow,result/trials/trial_0029_agent.arrow
30,TrialState.COMPLETE,0.006483251589261729,auc,optseed6,9204,0.7367477768066582,0.8776563850779251,1.6865776528460998e-05,0.006483251589261729,0.030313422347153902,9.27617709065355e-05,1442,100,14.42,10,27,13.42,9,26,False,23.530072753084823,23.46660466794856,0.019482885021716356,result/trials/trial_0030_info.arrow,result/trials/trial_0030_pop.arrow,result/trials/trial_0030_agent.arrow
31,TrialState.COMPLETE,0.006775307842812099,auc,optseed6,9204,0.7069509613501117,0.8465345610640405,2.8109627547434995e-05,0.006775307842812099,0.030385101897399864,0.0001527289763410635,1358,100,13.58,9,25,12.58,8,24,False,22.052964558126405,21.984064780175686,0.018841048004105687,result/trials/trial_0031_info.arrow,result/trials/trial_0031_pop.arrow,result/trials/trial_0031_agent.arrow
32,TrialState.COMPLETE,0.006415143903040475,auc,optseed6,9204,0.7194049844791481,0.9145050397290173,3.3731553056922e-05,0.006415143903040475,0.030369641602248774,0.00011384399156711173,1490,100,14.9,10,27,13.9,9,26,False,25.574636613950133,25.503788652829826,0.01918874215334654,result/trials/trial_0032_info.arrow,result/trials/trial_0032_pop.arrow,result/trials/trial_0032_agent.arrow
33,TrialState.COMPLETE,0.006282665533543187,auc,optseed6,9204,0.7863115472306844,0.9184690114414853,3.65425158116655e-05,0.006282665533543187,0.030375263527758264,9.791520262356524e-05,1496,100,14.96,10,27,13.96,9,26,False,22.557009187992662,22.484710359945893,0.01933572394773364,result/trials/trial_0033_info.arrow,result/trials/trial_0033_pop.arrow,result/trials/trial_0033_agent.arrow
34,TrialState.COMPLETE,0.006985771381817082,auc,optseed6,9204,0.7200639543167312,0.5861017213823314,2.6704146170063247e-05,0.006985771381817082,0.030877020379479973,0.00015600843288826423,1376,100,13.76,9,26,12.76,8,25,False,22.273954038973898,22.2058217599988,0.011684775119647384,result/trials/trial_0034_info.arrow,result/trials/trial_0034_pop.arrow,result/trials/trial_0034_agent.arrow
35,TrialState.COMPLETE,0.007002334425393695,auc,optseed6,9204,0.6352562424406956,0.5153056394578361,3.092059030217849e-05,0.007002334425393695,0.03086156008432888,0.00015179198875614898,1388,100,13.88,9,25,12.88,8,24,False,22.2461164558772,22.175670029129833,0.0192526129540056,result/trials/trial_0035_info.arrow,result/trials/trial_0035_pop.arrow,result/trials/trial_0035_agent.arrow
36,TrialState.COMPLETE,0.007037452335177286,auc,optseed6,9204,0.7377125960419494,0.5412696309436884,2.108222066057625e-05,0.007037452335177286,0.030780042164441322,0.00019255094869992975,1365,100,13.65,9,24,12.65,8,23,False,21.225130146136507,21.156229907181114,0.017461842158809304,result/trials/trial_0036_info.arrow,result/trials/trial_0036_pop.arrow,result/trials/trial_0036_agent.arrow
37,TrialState.COMPLETE,0.007040185303572757,auc,optseed6,9204,0.9517528985589137,0.5981524426468856,4.4975404075895996e-05,0.007040185303572757,0.030822206605762473,0.00018177559147341299,1326,100,13.26,9,28,12.26,8,27,False,21.320925936102867,21.255364736076444,0.01928365300409496,result/trials/trial_0037_info.arrow,result/trials/trial_0037_pop.arrow,result/trials/trial_0037_agent.arrow
38,TrialState.COMPLETE,0.0071805375434523065,auc,optseed6,9204,0.5242759980993594,0.6823691211050462,2.951510892480675e-05,0.0071805375434523065,0.030671820098383696,0.000166783790114781,1336,100,13.36,9,28,12.36,8,27,False,24.034087223000824,23.96156370313838,0.01913094101473689,result/trials/trial_0038_info.arrow,result/trials/trial_0038_pop.arrow,result/trials/trial_0038_agent.arrow
39,TrialState.COMPLETE,0.0070524555564225825,auc,optseed6,9204,0.7889469377053616,0.63253392570017,5.4813773717498245e-05,0.0070524555564225825,0.030756148981025997,0.0002515811665495432,1336,100,13.36,8,25,12.36,7,24,False,23.860371730057523,23.784399080090225,0.01939103496260941,result/trials/trial_0039_info.arrow,result/trials/trial_0039_pop.arrow,result/trials/trial_0039_agent.arrow
40,TrialState.COMPLETE,0.0070163026445848355,auc,optseed6,9204,0.6037022932910501,0.5868582148355392,2.8109627547434995e-05,0.0070163026445848355,0.030877020379479973,0.00016069337081283674,1364,100,13.64,9,25,12.64,8,24,False,22.10580604011193,22.0359889511019,0.019069080939516425,result/trials/trial_0040_info.arrow,result/trials/trial_0040_pop.arrow,result/trials/trial_0040_agent.arrow
