trial,state,value,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec,trial_info_arrow,trial_pop_arrow,trial_agent_arrow
0,TrialState.COMPLETE,0.0068621803663041605,auc,optseed6,9201,0.7681846613188574,0.7559532600798013,3.2326071679550243e-05,0.0068621803663041605,0.03057765284609979,0.00014991801358631997,1365,100,13.65,9,25,12.65,8,24,False,22.515916211996228,22.45151089504361,0.0147988919634372,result/trials/trial_0000_info.arrow,result/trials/trial_0000_pop.arrow,result/trials/trial_0000_agent.arrow
1,TrialState.COMPLETE,0.007012403657145948,auc,optseed6,9201,0.5246027957621933,0.6741885597621797,2.8109627547434995e-05,0.007012403657145948,0.030617006324666192,0.00015788240805809323,1387,100,13.87,9,29,12.87,8,28,False,22.862949223956093,22.797974650980905,0.011949328007176518,result/trials/trial_0001_info.arrow,result/trials/trial_0001_pop.arrow,result/trials/trial_0001_agent.arrow
2,TrialState.COMPLETE,0.006590314207278089,auc,optseed6,9201,0.7202761870099852,0.8318809792482014,2.3893183415319746e-05,0.006590314207278089,0.030414617006324668,0.00013211524947294448,1392,100,13.92,10,24,12.92,9,23,False,23.06759252399206,22.99615493696183,0.021520419046282768,result/trials/trial_0002_info.arrow,result/trials/trial_0002_pop.arrow,result/trials/trial_0002_agent.arrow
3,TrialState.COMPLETE,0.007091582907142311,auc,optseed6,9201,0.7609173671611223,0.6962689782418577,3.2326071679550243e-05,0.007091582907142311,0.030694307800421643,0.00014851253220894822,1385,100,13.85,9,29,12.85,8,28,False,23.33072062395513,23.267005224945024,0.011820435989648104,result/trials/trial_0003_info.arrow,result/trials/trial_0003_pop.arrow,result/trials/trial_0003_agent.arrow
4,TrialState.COMPLETE,0.006352110457718241,auc,optseed6,9201,0.6120654037521333,0.9473677009283651,1.9676739283204498e-05,0.006352110457718241,0.030302178496134934,0.000118060435699227,1437,100,14.37,10,27,13.37,9,26,False,21.005376790184528,20.943315590033308,0.011577744036912918,result/trials/trial_0004_info.arrow,result/trials/trial_0004_pop.arrow,result/trials/trial_0004_agent.arrow
5,TrialState.COMPLETE,0.0065532229351250035,auc,optseed6,9201,0.5634848357668656,0.8922533173503473,3.513703443429375e-05,0.0065532229351250035,0.030274068868587495,0.0001021316467556805,1451,100,14.51,10,23,13.51,9,22,False,23.16288036899641,23.096393587999046,0.011662925127893686,result/trials/trial_0005_info.arrow,result/trials/trial_0005_pop.arrow,result/trials/trial_0005_agent.arrow
6,TrialState.COMPLETE,0.006581140343318263,auc,optseed6,9201,0.7947908081963785,0.8290106284256271,2.6704146170063247e-05,0.006581140343318263,0.0304132115249473,0.00013398922464277348,1412,100,14.12,10,26,13.12,9,25,False,23.26005731499754,23.199222519993782,0.011611534049734473,result/trials/trial_0006_info.arrow,result/trials/trial_0006_pop.arrow,result/trials/trial_0006_agent.arrow
7,TrialState.COMPLETE,0.006395423815034221,auc,optseed6,9201,0.8344728187192358,0.9169313071125945,2.389318341531975e-05,0.006395423815034221,0.030359803232607178,9.885219020847974e-05,1500,100,15.0,10,26,14.0,9,25,False,25.82610273687169,25.76348502212204,0.011830137111246586,result/trials/trial_0007_info.arrow,result/trials/trial_0007_pop.arrow,result/trials/trial_0007_agent.arrow
8,TrialState.COMPLETE,0.007197451878375043,auc,optseed6,9201,0.5382477705445825,0.5313851822257061,4.075895994378075e-05,0.007197451878375043,0.030827828531271962,0.00019208245490747247,1344,100,13.44,9,26,12.44,8,25,False,20.5264926799573,20.456830763956532,0.018818587996065617,result/trials/trial_0008_info.arrow,result/trials/trial_0008_pop.arrow,result/trials/trial_0008_agent.arrow
9,TrialState.COMPLETE,0.006277272073126534,auc,optseed6,9201,0.9562755229474608,0.9250487346785263,1.827125790583275e-05,0.006277272073126534,0.03033169360505974,9.1824783321621e-05,1502,100,15.02,10,27,14.02,9,26,False,22.875444067874923,22.80818833783269,0.019031111150979996,result/trials/trial_0009_info.arrow,result/trials/trial_0009_pop.arrow,result/trials/trial_0009_agent.arrow
