dataset,network,strategy,strategy_label,total_agents,mean_final_selfish_ratio,max_final_selfish_ratio,peak_mean_selfish_ratio,mean_total_shared_ratio_misinformation,mean_total_viewed_ratio_misinformation,mean_total_fst_viewed_ratio_misinformation,mean_total_shared_ratio_corrective,mean_total_viewed_ratio_corrective,mean_total_fst_viewed_ratio_corrective,mean_total_shared_ratio_observational,mean_total_viewed_ratio_observational,mean_total_fst_viewed_ratio_observational,mean_total_shared_ratio_behavior_guiding,mean_total_viewed_ratio_behavior_guiding,mean_total_fst_viewed_ratio_behavior_guiding,cluster_level,triad_probability,requested_seed,actual_seed,config_path,graph_path,num_nodes,num_edges,avg_degree,avg_clustering,transitivity,largest_connected_component_ratio,max_degree
powerlaw_cluster,plc_high_seed1,balance,"Balance (0.8, 0.8)",1000,0.00012000000000000004,0.003,0.07891,0.34949,3.85326,1.79369,0.6135499999999999,7.13521,3.83814,0.3093809523809524,3.07052380952381,0.9084761904761905,0.16178,2.20866,1.53367,high,1.0,20261618,20261618,v2/test_2/network/network-plc_high_seed1.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed1/edgelist.txt,1000,9896,19.792,0.36996832659543616,0.195087666766477,1.0,208
powerlaw_cluster,plc_high_seed1,certainty_high,"Certainty high (0.9, 0.5)",1000,0.00011000000000000003,0.002,0.08115,0.35535000000000005,3.90649,1.8098699999999999,0.48073000000000005,5.5506899999999995,3.1421,0.323125,3.21775,0.9001875,0.21428,2.7505,1.80526,high,1.0,20261618,20261618,v2/test_2/network/network-plc_high_seed1.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed1/edgelist.txt,1000,9896,19.792,0.36996832659543616,0.195087666766477,1.0,208
powerlaw_cluster,plc_high_seed1,effective_high,"Effectiveness high (0.5, 0.9)",1000,0.00007000000000000001,0.001,0.0783,0.34735000000000005,3.81165,1.77312,0.5851799999999999,6.831390000000001,3.75403,0.302875,3.0267500000000003,0.9159375000000001,0.14514,2.03779,1.44862,high,1.0,20261618,20261618,v2/test_2/network/network-plc_high_seed1.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed1/edgelist.txt,1000,9896,19.792,0.36996832659543616,0.195087666766477,1.0,208
powerlaw_cluster,plc_high_seed2,balance,"Balance (0.8, 0.8)",1000,0.00013000000000000002,0.002,0.07949,0.32762,3.58914,1.6631,0.64102,7.3659799999999995,3.95214,0.2977,2.9596999999999998,0.847,0.15963999999999998,2.1951799999999997,1.5252999999999999,high,1.0,20262618,20262618,v2/test_2/network/network-plc_high_seed2.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed2/edgelist.txt,1000,9899,19.798,0.3508746188968144,0.19000251193167547,1.0,220
powerlaw_cluster,plc_high_seed2,certainty_high,"Certainty high (0.9, 0.5)",1000,0.00007000000000000001,0.001,0.08086,0.32864,3.6128600000000004,1.67172,0.51513,5.90729,3.30218,0.32305555555555554,3.2363333333333335,0.8971666666666667,0.22491999999999998,2.8483,1.85768,high,1.0,20262618,20262618,v2/test_2/network/network-plc_high_seed2.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed2/edgelist.txt,1000,9899,19.798,0.3508746188968144,0.19000251193167547,1.0,220
powerlaw_cluster,plc_high_seed2,effective_high,"Effectiveness high (0.5, 0.9)",1000,0.00008,0.002,0.07913,0.32857,3.60216,1.6664,0.71065,8.246860000000002,4.32328,0.3208333333333333,3.2316666666666665,0.9410555555555555,0.1419,2.01147,1.42971,high,1.0,20262618,20262618,v2/test_2/network/network-plc_high_seed2.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed2/edgelist.txt,1000,9899,19.798,0.3508746188968144,0.19000251193167547,1.0,220
powerlaw_cluster,plc_high_seed3,balance,"Balance (0.8, 0.8)",1000,0.00008,0.002,0.07945,0.39715,4.37568,2.0972199999999996,0.63081,7.43163,4.09193,0.3183684210526316,3.249263157894737,0.9661052631578947,0.15084,2.09022,1.5127000000000002,high,1.0,20263618,20263618,v2/test_2/network/network-plc_high_seed3.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed3/edgelist.txt,1000,9897,19.794,0.34566725900800016,0.17177110155821487,1.0,253
powerlaw_cluster,plc_high_seed3,certainty_high,"Certainty high (0.9, 0.5)",1000,0.0001800000000000001,0.001,0.08109,0.39335000000000003,4.3398900000000005,2.0829899999999997,0.54398,6.30648,3.5944499999999997,0.3322857142857143,3.3515238095238096,0.9652380952380952,0.21381,2.73273,1.8671600000000002,high,1.0,20263618,20263618,v2/test_2/network/network-plc_high_seed3.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed3/edgelist.txt,1000,9897,19.794,0.34566725900800016,0.17177110155821487,1.0,253
powerlaw_cluster,plc_high_seed3,effective_high,"Effectiveness high (0.5, 0.9)",1000,0.00005,0.001,0.07891,0.39754,4.3665,2.0981799999999997,0.74085,8.75787,4.63914,0.311,3.1694,0.9245599999999999,0.13685,1.94872,1.42712,high,1.0,20263618,20263618,v2/test_2/network/network-plc_high_seed3.toml,v2/test_2/network/powerlaw_cluster/plc_high_seed3/edgelist.txt,1000,9897,19.794,0.34566725900800016,0.17177110155821487,1.0,253
powerlaw_cluster,plc_low_seed1,balance,"Balance (0.8, 0.8)",1000,0.00004,0.001,0.09342,0.39623,4.2671,2.27986,0.7778400000000001,8.965010000000001,5.4037299999999995,0.31428,3.15112,0.93508,0.16976,2.29346,1.86712,low,0.0,20261518,20261518,v2/test_2/network/network-plc_low_seed1.toml,v2/test_2/network/powerlaw_cluster/plc_low_seed1/edgelist.txt,1000,9900,19.8,0.059700986215276204,0.05301696255300798,1.0,138
