dataset,network,strategy,strategy_label,total_agents,mean_final_selfish_ratio,max_final_selfish_ratio,peak_mean_selfish_ratio,mean_total_shared_ratio_misinformation,mean_total_viewed_ratio_misinformation,mean_total_fst_viewed_ratio_misinformation,mean_total_shared_ratio_corrective,mean_total_viewed_ratio_corrective,mean_total_fst_viewed_ratio_corrective,mean_total_shared_ratio_observational,mean_total_viewed_ratio_observational,mean_total_fst_viewed_ratio_observational,mean_total_shared_ratio_behavior_guiding,mean_total_viewed_ratio_behavior_guiding,mean_total_fst_viewed_ratio_behavior_guiding,node_level,cluster_level,attachment_edges_m,target_avg_degree,triad_probability,requested_seed,actual_seed,config_path,graph_path,comm_path,num_nodes,num_edges,avg_degree,avg_clustering,transitivity,largest_connected_component_ratio,max_degree,comm_mean,comm_min,comm_q10,comm_q25,comm_median,comm_q75,comm_q90,comm_max,comm_count_zero,comm_count_one
powerlaw_node_count,pnc_n2000_deg40_high_seed1,balance,"Balance (0.8, 0.8)",2000,0.00001,0.0005,0.133305,0.84736,17.556455000000003,7.055470000000001,1.2037200000000001,28.684695,11.789950000000001,0.33984615384615385,6.707333333333334,1.1347179487179488,0.03519,1.05492,0.9378,n2000,deg40_high,20,40,1.0,20263825,20263825,v2/test_2/network/network-pnc_n2000_deg40_high_seed1.toml,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed1/edgelist.txt,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed1/comm.csv,2000,39583,39.583,0.29966281191953953,0.17202430035156532,1.0,494,0.6062888924704607,0.0,6.236704495899268e-139,2.2637390361964554e-89,1.0,1.0,1.0,1.0,34,1129
powerlaw_node_count,pnc_n2000_deg40_high_seed1,certainty_high,"Certainty high (0.9, 0.5)",2000,0.00001,0.0005,0.134,0.845765,17.55578,7.059025,1.202975,28.627625000000002,11.932585,0.3374111111111111,6.657877777777778,1.1133,0.054405,1.4100350000000001,1.194425,n2000,deg40_high,20,40,1.0,20263825,20263825,v2/test_2/network/network-pnc_n2000_deg40_high_seed1.toml,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed1/edgelist.txt,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed1/comm.csv,2000,39583,39.583,0.29966281191953953,0.17202430035156532,1.0,494,0.6062888924704607,0.0,6.236704495899268e-139,2.2637390361964554e-89,1.0,1.0,1.0,1.0,34,1129
powerlaw_node_count,pnc_n2000_deg40_high_seed1,effective_high,"Effectiveness high (0.5, 0.9)",2000,0.0,0.0,0.133255,0.85028,17.62275,7.07085,1.346435,32.032669999999996,12.82033,0.3415,6.736478723404256,1.1417021276595745,0.03034,0.9705900000000001,0.874785,n2000,deg40_high,20,40,1.0,20263825,20263825,v2/test_2/network/network-pnc_n2000_deg40_high_seed1.toml,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed1/edgelist.txt,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed1/comm.csv,2000,39583,39.583,0.29966281191953953,0.17202430035156532,1.0,494,0.6062888924704607,0.0,6.236704495899268e-139,2.2637390361964554e-89,1.0,1.0,1.0,1.0,34,1129
powerlaw_node_count,pnc_n2000_deg40_high_seed2,balance,"Balance (0.8, 0.8)",2000,0.0,0.0,0.13256500000000002,0.80027,16.677435000000003,6.744165,1.516945,35.368125,13.592425,0.32883962264150945,6.475396226415095,1.0485094339622643,0.11825000000000001,3.2094,2.37236,n2000,deg40_high,20,40,1.0,20264825,20264825,v2/test_2/network/network-pnc_n2000_deg40_high_seed2.toml,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed2/edgelist.txt,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed2/comm.csv,2000,39581,39.581,0.3258074002130052,0.1743301134959393,1.0,559,0.42435443218040064,0.0,9.962646018343726e-138,4.48123806399708e-93,2.2906635635925054e-42,1.0,1.0,1.0,64,776
powerlaw_node_count,pnc_n2000_deg40_high_seed2,certainty_high,"Certainty high (0.9, 0.5)",2000,0.0,0.0,0.13417500000000002,0.8005650000000001,16.72467,6.754995,1.1750450000000001,27.76128,11.18108,0.3353333333333333,6.678813725490196,1.0789607843137254,0.156865,3.92817,2.76173,n2000,deg40_high,20,40,1.0,20264825,20264825,v2/test_2/network/network-pnc_n2000_deg40_high_seed2.toml,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed2/edgelist.txt,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed2/comm.csv,2000,39581,39.581,0.3258074002130052,0.1743301134959393,1.0,559,0.42435443218040064,0.0,9.962646018343726e-138,4.48123806399708e-93,2.2906635635925054e-42,1.0,1.0,1.0,64,776
powerlaw_node_count,pnc_n2000_deg40_high_seed2,effective_high,"Effectiveness high (0.5, 0.9)",2000,0.0,0.0,0.13236,0.799175,16.67197,6.739035,1.504645,35.287254999999995,13.58858,0.3313111111111111,6.517600000000001,1.1320000000000001,0.108205,2.9962199999999997,2.259105,n2000,deg40_high,20,40,1.0,20264825,20264825,v2/test_2/network/network-pnc_n2000_deg40_high_seed2.toml,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed2/edgelist.txt,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed2/comm.csv,2000,39581,39.581,0.3258074002130052,0.1743301134959393,1.0,559,0.42435443218040064,0.0,9.962646018343726e-138,4.48123806399708e-93,2.2906635635925054e-42,1.0,1.0,1.0,64,776
powerlaw_node_count,pnc_n2000_deg40_high_seed3,balance,"Balance (0.8, 0.8)",2000,5e-6,0.0005,0.13437000000000002,0.8763500000000001,18.18195,7.98145,1.424475,34.00743,13.540745000000001,0.3394375,6.7104375,1.1224270833333332,0.032060000000000005,0.993275,0.895505,n2000,deg40_high,20,40,1.0,20265825,20265825,v2/test_2/network/network-pnc_n2000_deg40_high_seed3.toml,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed3/edgelist.txt,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed3/comm.csv,2000,39578,39.578,0.3082201445186221,0.16302080616973208,1.0,623,0.6448836393199993,0.0,1.2650395449991457e-127,8.92781015430652e-87,1.0,1.0,1.0,1.0,9,1113
powerlaw_node_count,pnc_n2000_deg40_high_seed3,certainty_high,"Certainty high (0.9, 0.5)",2000,5e-6,0.0005,0.13505,0.873115,18.123755000000003,7.964685,1.1603050000000001,27.899585,11.486600000000001,0.33874358974358976,6.677910256410257,1.0702307692307693,0.049815,1.3196350000000001,1.141695,n2000,deg40_high,20,40,1.0,20265825,20265825,v2/test_2/network/network-pnc_n2000_deg40_high_seed3.toml,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed3/edgelist.txt,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed3/comm.csv,2000,39578,39.578,0.3082201445186221,0.16302080616973208,1.0,623,0.6448836393199993,0.0,1.2650395449991457e-127,8.92781015430652e-87,1.0,1.0,1.0,1.0,9,1113
powerlaw_node_count,pnc_n2000_deg40_high_seed3,effective_high,"Effectiveness high (0.5, 0.9)",2000,0.0,0.0,0.13443000000000002,0.878385,18.212235,7.99342,1.6044200000000002,38.53578,14.801870000000001,0.33826923076923077,6.692548076923077,1.1110288461538462,0.028050000000000002,0.921775,0.8395,n2000,deg40_high,20,40,1.0,20265825,20265825,v2/test_2/network/network-pnc_n2000_deg40_high_seed3.toml,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed3/edgelist.txt,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_high_seed3/comm.csv,2000,39578,39.578,0.3082201445186221,0.16302080616973208,1.0,623,0.6448836393199993,0.0,1.2650395449991457e-127,8.92781015430652e-87,1.0,1.0,1.0,1.0,9,1113
powerlaw_node_count,pnc_n2000_deg40_low_seed1,balance,"Balance (0.8, 0.8)",2000,0.0,0.0,0.165255,0.7925449999999999,16.174005,7.873475000000001,1.7767750000000002,42.39084,17.62609,0.32859302325581397,6.432313953488372,1.2154069767441862,0.125425,3.376415,2.9071700000000003,n2000,deg40_low,20,40,0.0,20263725,20263725,v2/test_2/network/network-pnc_n2000_deg40_low_seed1.toml,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_low_seed1/edgelist.txt,v2/test_2/network/powerlaw_node_count/pnc_n2000_deg40_low_seed1/comm.csv,2000,39600,39.6,0.05972764688336392,0.05715163224963424,1.0,374,0.5253429318348877,1.840063223294596e-22,0.030454554403874633,0.3236590880953958,0.5218366908421104,0.7380806763707008,0.9996382280806932,1.0,0,14
