dataset,network,strategy,strategy_label,info_label,info_name,mean_num_shared,mean_total_shared_ratio,mean_num_viewed,mean_total_viewed_ratio,mean_num_fst_viewed,mean_total_fst_viewed_ratio
real_network,facebook,balance,"Balance (0.8, 0.8)",0,misinformation,1395.97,0.34562267888091114,36715.56,9.090259965337955,8755.02,2.1676206981926223
real_network,facebook,balance,"Balance (0.8, 0.8)",1,corrective,1359.49,0.3365907402822481,34467.6,8.533696459519684,13647.78,3.3789997524139643
real_network,facebook,balance,"Balance (0.8, 0.8)",2,observational,511.55,0.12665263679128497,13863.633333333333,3.432442023603202,1440.9,0.35674671948502107
real_network,facebook,balance,"Balance (0.8, 0.8)",3,behavior-guiding,962.98,0.23842040108937856,33345.81,8.25595692002971,8836.72,2.1878484773458777
real_network,facebook,certainty_high,"Certainty high (0.9, 0.5)",0,misinformation,1404.86,0.3478237187422629,36949.55,9.148192621936124,8803.26,2.1795642485763804
real_network,facebook,certainty_high,"Certainty high (0.9, 0.5)",1,corrective,1361.24,0.33702401584550634,34451.03,8.529593958900717,13432.13,3.3256078237187423
real_network,facebook,certainty_high,"Certainty high (0.9, 0.5)",2,observational,579.3809523809524,0.14344663341939898,15102.380952380952,3.7391386363904315,1685.142857142857,0.41721784034237613
real_network,facebook,certainty_high,"Certainty high (0.9, 0.5)",3,behavior-guiding,1014.6,0.25120079227531567,34856.14,8.629893538004456,9085.7,2.249492448625898
real_network,facebook,effective_high,"Effectiveness high (0.5, 0.9)",0,misinformation,1401.31,0.3469447883139391,36861.41,9.126370388710077,8750.13,2.1664100024758604
real_network,facebook,effective_high,"Effectiveness high (0.5, 0.9)",1,corrective,1354.17,0.3352735825699431,34346.48,8.503708838821492,13513.35,3.3457167615746473
real_network,facebook,effective_high,"Effectiveness high (0.5, 0.9)",2,observational,557.04,0.13791532557563754,14628.58,3.621832136667492,1597.74,0.3955781133944046
real_network,facebook,effective_high,"Effectiveness high (0.5, 0.9)",3,behavior-guiding,940.52,0.23285961871750432,32428.9,8.02894280762565,8728.36,2.161020054468928
real_network,wiki-vote,balance,"Balance (0.8, 0.8)",0,misinformation,1226.23,0.1723443429374561,16432.44,2.3095488404778637,8129.68,1.1426113843991568
real_network,wiki-vote,balance,"Balance (0.8, 0.8)",1,corrective,1487.33,0.20904146170063245,21248.77,2.986475052705552,10639.41,1.4953492621222768
real_network,wiki-vote,balance,"Balance (0.8, 0.8)",2,observational,245.08510638297872,0.03444625528924508,3135.1702127659573,0.440642334893318,774.468085106383,0.10885004709857808
real_network,wiki-vote,balance,"Balance (0.8, 0.8)",3,behavior-guiding,593.12,0.08336191145467323,12000.42,1.6866366830639494,9783.55,1.3750597329585383
real_network,wiki-vote,certainty_high,"Certainty high (0.9, 0.5)",0,misinformation,1220.9,0.17159522136331695,16348.68,2.297776528460998,8104.56,1.139080815179199
real_network,wiki-vote,certainty_high,"Certainty high (0.9, 0.5)",1,corrective,1314.25,0.18471539002108223,18825.57,2.6458988053408294,9263.39,1.3019522136331694
real_network,wiki-vote,certainty_high,"Certainty high (0.9, 0.5)",2,observational,356.6170212765957,0.05012185822580404,4570.914893617021,0.6424335760529897,1113.9148936170213,0.15655866389557574
real_network,wiki-vote,certainty_high,"Certainty high (0.9, 0.5)",3,behavior-guiding,744.59,0.10465073787772312,13912.42,1.955364722417428,10999.44,1.545950808151792
real_network,wiki-vote,effective_high,"Effectiveness high (0.5, 0.9)",0,misinformation,1232.14,0.1731749824314828,16483.12,2.316671820098384,8116.06,1.1406971187631765
real_network,wiki-vote,effective_high,"Effectiveness high (0.5, 0.9)",1,corrective,2070.35,0.29098383696416025,29931.98,4.206884047786367,13514.49,1.899436401967674
real_network,wiki-vote,effective_high,"Effectiveness high (0.5, 0.9)",2,observational,288.42857142857144,0.04053809858447947,3648.1785714285716,0.5127447043469532,904.4821428571429,0.1271232807951009
real_network,wiki-vote,effective_high,"Effectiveness high (0.5, 0.9)",3,behavior-guiding,531.14,0.07465073787772313,11148.35,1.5668798313422347,9214.77,1.295118763176388
